document_id,chunk_number,parsed_successfully,raw_output
27,1,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Draft Outer Continental Shelf Air Permit"",
    ""document_number"": ""Page 1 of 29"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""Revolution Wind LLC is authorized to construct up to 100 wind turbine generators (\""WTGs\"") and up to 2 Offshore Substations (\""OSSs\"")."",
      ""scope"": ""Overall wind farm infrastructure"",
      ""numerical_value"": 100,
      ""unit"": ""WTGs"",
      ""source"": ""OCS-R1-05"",
      ""related_domains"": [""wind turbine capacity"", ""electrical infrastructure""]
    },
    {
      ""type"": ""Spatial"",
      ""requirement"": ""All wind turbine generators and offshore substations must be located within federal waters on the OCS, specifically in the Bureau of Ocean Energy Management (“BOEM”) Renewable Energy Lease Area OCS-A 0486 in the Rhode Island-Massachusetts Wind Energy Area."",
      ""scope"": ""Wind farm site location"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""OCS-R1-05"",
      ""related_domains"": [""site planning"", ""leasing"", ""jurisdictional boundaries""]
    }
  ],
  ""regulatory_entities"": [
    {
      ""entity_name"": ""U.S. Environmental Protection Agency Region 1 (\""EPA\"")"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Permitting authority""
    },
    {
      ""entity_name"": ""Bureau of Ocean Energy Management (“BOEM”)"",
      ""jurisdiction"": ""Federal - USA"",
      ""role"": ""Leasing authority""
    }
  ]
}
```"
27,2,False,NO_RELEVANT_DATA_FOUND
27,3,False,NO_RELEVANT_DATA_FOUND
27,4,False,NO_RELEVANT_DATA_FOUND
27,5,False,NO_RELEVANT_DATA_FOUND
27,6,False,NO_RELEVANT_DATA_FOUND
27,7,False,NO_RELEVANT_DATA_FOUND
27,8,False,NO_RELEVANT_DATA_FOUND
27,9,False,NO_RELEVANT_DATA_FOUND
27,10,True,"```json
{
  ""document_metadata"": {
    ""title"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
    ""document_number"": ""Page 8 of 29"",
    ""type_of_wind_farm"": ""Offshore""
  },
  ""regulatory_constraints"": [
    {
      ""type"": ""Technical"",
      ""requirement"": ""The WTGs will not utilize SF6 within the switchgears."",
      ""scope"": ""WTG Switchgears"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [
        ""electrical engineering"",
        ""environmental impact assessment""
      ]
    },
    {
      ""type"": ""Environmental"",
      ""requirement"": ""BACT for SF6 is required for the SWGs located on the OSS (MV and HV)."",
      ""scope"": ""MV and HV SWGs on the OSS"",
      ""numerical_value"": null,
      ""unit"": null,
      ""source"": ""Revolution Wind, LLC Outer Continental Shelf Preconstruction Air Permit No. OCS-R1-05"",
      ""related_domains"": [
        ""air quality"",
        ""emissions control""
      ]
    }
  ],
  ""regulatory_entities"": []
}
```"
