row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
40,11,deepseek-chat,Environmental,North Sea offshore wind projects,1,km,All wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,False,,,
54,11,deepseek-chat,Environmental,European Union waters,1,km,All offshore wind turbines must maintain a minimum distance of 1 km from marine protected areas.,False,,,
58,11,gpt-4o-mini,Technical,Secondary cable systems,600,V,The secondary cable insulation rating will range from 600 V to 2000 V depending on the cable design and the wind turbine generator (WTG) type.,False,,,
67,11,gpt-4o-mini,Technical,Charger AC Ripple Voltage for VRLA Batteries.,0.5,%,Max Voltage ripple: 0.5% of DC float voltage.,False,,,
130,11,gpt-4o-mini,Technical,Installation and commissioning phase,1,year,These tasks should be done at the time of original installation and commissioning and then repeated at 1 year and every 3 years.,False,,,
143,11,gpt-4o-mini,Technical,Electrical testing of cable systems,2,times the operation voltage,It is recommended that system test voltage not be greater than 1.5 to 2 times the operation voltage.,False,,,
181,11,deepseek-chat,Spatial,North Sea wind farm arrays,5,rotor diameters,Minimum spacing between turbines shall be 5 times the rotor diameter in predominant wind direction,False,,,
182,11,gemini-1.5-pro,Technical,Substation medium voltage cable systems,50.0,Hz,"The standardized electrical test requirement at the factory for all completed solid dielectric shielded cable insulation system components, including the cable, joints, and terminations, is a partial discharge test performed during a 50 Hz or 60Hz over voltage.",False,,,
221,11,gemini-1.5-pro,Technical,VRLA Batteries in Substation,0.5,%,Max Voltage ripple: 0.5% of DC float voltage,True,217,217,"Page 217: ""...14 wind energy power plant substation and transmission line maintenance 5.2.9. charger ac ripple voltage/current (vrla batteries on- ly)  max voltage ripple: 0.5% of dc float voltage  max current ripple: 5 a per 100 amp-hr rating of battery 6. generator lead line caution: extreme caution should be used with inspecting transmission line systems. 6.1. inspecting the g..."""
233,11,gpt-4o-mini,Technical,Construction phase,1,%,Inlet and Outlet meets existing grade or design requirements and design requirements of >1% slope.,True,408,408,"Page 408: ""...5. structure width and length per design specifications. yes no 6. bedding material added per specifications. yes n/a no 7. coupling bands installed and tightened. yes n/a no 8. inlet and outlet meets existing grade or design requirements and design requirements of >1% slope. yes no 9. fill meets existing road grade and manufacturers specifications: no humps or dips. yes no 10. end sections installed per design specifications. yes n/a no 11. swppp install..."""
310,11,gemini-1.5-pro,Safety,Wind turbine lightning protection system,1.0,year,"According to IEC 61400-24, the lightning protection system must be inspected every year of operation.",False,,,
333,11,gemini-1.5-pro,Technical,Medium Voltage Cable Systems,50.0,Hz,"The standardized electrical test requirement at the factory for all completed solid dielectric shielded cable insulation system components, including the cable, joints, and terminations, is a partial discharge test performed during a 50 Hz or 60 Hz over voltage.",False,,,
380,11,gpt-4o-mini,Technical,Road design and inspection during construction,2,%,"In some cases, the engineer may not require a crown to the road design. Instead they may design the road with a slope to maintain an existing drainage pattern (usually 1% to 2% max slope).",False,,,
382,11,gpt-4o-mini,Technical,Secondary cable systems,500,V,"The test voltage is dependent on the insulation value but is usually in the range of 500 V to 2,500 V.",False,,,
406,11,gpt-4o-mini,Technical,Foundation construction phase,2,foundations,"At a minimum, two (2) foundation bases and two (2) foundation pedestals shall be inspected and approved by the structural engineer of record prior to concrete placement.",False,,,
407,11,deepseek-chat,Spatial,Wind farm layout,1,kilometers,Minimum 1 km separation between turbines in array,False,,,
424,11,deepseek-chat,Spatial,US Outer Continental Shelf,1,km,Minimum 1km separation required between turbines,False,,,
476,11,gpt-4o-mini,Technical,Grid side of wind power plant POI,30,samples/second,Phasor measurement units (PMUs) are installed on the grid side of a wind power plant point-of-interconnect (POI) and monitor in real-time the state of the electric grid.,False,,,
513,11,claude-3-haiku-20240307,Technical,Terminations,75.0,Percent,"Energized with load infrared (IR) scans of terminations to check for connection integrity or load imbalances, preferably at greater than or equal to 75% load.",False,,,
514,11,gemini-1.5-pro,Technical,"Turbine foundations, Operational phase",10.0,%,"Repeat 10% tension check procedure as stated above on years 2 through 5 of the project. After year 5, when all of the foundations have been tested, and foundations have been properly tracked, revert to a 10% tension check on 20% of the project every 5 years for the remainder of the project, following the same pass/fail criteria.",False,,,
534,11,gemini-1.5-pro,Technical,Main Power Transformer Insulation,0.5,%,The temperature corrected values should not exceed 0.5%.,False,,,
548,11,deepseek-chat,Spatial,Wind farm layout,1,kilometers,Minimum 1km spacing between turbines in array,False,,,
582,11,gpt-4o-mini,Technical,Cable Component: ICEA S-94-649 MV Cable,5,pC,No PD >5pC up to 2Uo,True,"201, 222","201, 222","Page 201: ""...uo). cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table b: cable system insulation test standards.""
Page 222: ""...rs. cable component thresholds ieee 48 terminations no pd >5pc up to 1.5uo ieee 404 joints no pd >5pc up to 1.5uo ieee 386 separable connectors no pd >3pc up to 1.3uo icea s-94-649 mv cable no pd >5pc up to 2uo* table a: cable system insulation test standards."""
643,11,gemini-1.5-pro,Technical,Medium Voltage Cable Systems,5.0,pC,ICEA S-94-649 MV Cable: No PD >5pC up to 2Uo,False,,,
685,11,gemini-1.5-pro,Technical,Insulating fluid in transformers within a wind energy power plant substation,26.0,kV,"If, at any time, the dielectric strength of the fluid drops below 26 kV, it should be filtered until it tests at 26 kV or better.",False,,,
780,11,deepseek-chat,Environmental,North Atlantic offshore wind lease areas,500,meters,Wind turbines must maintain a minimum distance of 500 meters from known marine mammal migration routes.,False,,,
792,11,deepseek-chat,Spatial,U.S. offshore wind lease areas,1,nautical mile,Minimum 1 nautical mile spacing between turbines,False,,,
842,11,gpt-4o-mini,Technical,Secondary cable systems,100,megohm,A DC insulation resistance test ('megger') is typically performed after installation and prior to termination to the transformer and controller.,False,,,
961,11,gpt-4o-mini,Technical,Insulation power factor and capacitance testing.,0.5,%,The temperature corrected values should not exceed 0.5%.,False,,,
1014,11,gemini-1.5-pro,Technical,"Turbine foundations, Operational phase",10.0,%,"If any of the foundations fail the 10% test, then all of the foundations on the project must be 10% tested.",False,,,
1027,11,deepseek-chat,Spatial,German exclusive economic zone,5,rotor diameters,Minimum spacing between turbines shall be 5 times the rotor diameter,False,,,
1114,11,gemini-1.5-pro,Technical,Road Specifications,500.0,ft,Road Checks shall be performed at a minimum every 500'.,True,"404, 406","404, 406","Page 404: ""...in.): actual side- to-side slope: % 1 2 3 4 5 6 7 8 *road checks shall be performed at a minimum every 500'. if needed, use additional sheets.* inspection compliance 9. road width and thickness installed per design tolerances. yes no 10. road section incline grade less than % grade per specificatio...""
Page 406: ""...n.): actual side- to-side slope: % 1 2 3 4 5 6 7 8 *road checks shall be performed at a minimum every 500'. if needed, use additional sheets* inspection compliance 11. road width and thickness installed per design tolerances. yes no 12. road section incline grade less than % grade per specificatio..."""
1119,11,gpt-4o-mini,Safety,Project planning and implementation phase.,5,years,The arc flash hazard analysis and safety program should be implemented at the early stages of a project.,False,,,
1173,11,gemini-1.5-pro,Safety,Wind turbine lightning protection system,2.0,years,"Every second year the inspection should be extended to cover a full inspection, including continuity measurements and an in-depth inspection.",False,,,
1238,11,deepseek-chat,Spatial,All offshore wind farms in EU waters,5,rotor diameters,Minimum distance between turbines shall be 5 times the rotor diameter,False,,,
1255,11,gemini-1.5-pro,Technical,VRLA Batteries,3.0,°C,Negative terminal temperature should be less than 3°C (5°F) above room/area ambient temperature.,False,,,
1256,11,deepseek-chat,Spatial,Wind farm arrays in North Sea development zones,1,nautical mile,Minimum 1 nautical mile separation between turbines,False,,,
1279,11,gemini-1.5-pro,Technical,Road construction,500.0,ft,Road Checks shall be performed at a minimum every 500'.,True,"404, 406","404, 406","Page 404: ""...in.): actual side- to-side slope: % 1 2 3 4 5 6 7 8 *road checks shall be performed at a minimum every 500'. if needed, use additional sheets.* inspection compliance 9. road width and thickness installed per design tolerances. yes no 10. road section incline grade less than % grade per specificatio...""
Page 406: ""...n.): actual side- to-side slope: % 1 2 3 4 5 6 7 8 *road checks shall be performed at a minimum every 500'. if needed, use additional sheets* inspection compliance 11. road width and thickness installed per design tolerances. yes no 12. road section incline grade less than % grade per specificatio..."""
1282,11,gemini-1.5-pro,Technical,Rotor lightning protection system,200.0,kA,The down conductor system must be able to handle impulse current of at least 200kA at 10/350 µs (lightning protection level 1 in accordance with IEC 61400-24) without signs of internal arcing and without temperatures exceeding critical levels in relation to conductor isolation and GFRP/CFRP materials in general.,False,,,
1292,11,gpt-4o-mini,Technical,Operational phase,10,kV,"A DC insulation resistance test at operating voltage or less, i.e. 10 kV or 20 kV for a 35 kV system, is recommended after any failure event to confirm the phase of the fault and to confirm that there is not a second fault before re-energizing.",False,,,
