row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
259,40,claude-3-haiku-20240307,Safety,Project area,10,knots,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system. Each subsequent observation or acoustic detection in the Project area shall trigger an additional 24-hour period.",fuzzy,6,6,"Page 6: ""...(6) all loa holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a north atlantic right whale is sighted at any distance by any project-relat...""",0.7678391959798995
348,40,gpt-4o-mini,Safety,"Project area, operational phase",10.0,kn,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system.",fuzzy,6,6,"Page 6: ""...(6) all loa holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a north atlantic right whale is sighted at any distance by any project-relat...""",0.6083995459704881
552,40,gemini-1.5-pro,Environmental,Offshore wind farm construction (foundation installation and UXO/MEC detonation),48.0,hours,"must provide the initial results of the SFV measurements to NMFS Office of Protected Resources in an interim report after each foundation installation event and each UXO/MEC detonation event as soon as they are available and prior to a subsequent detonation or foundation installation, but no later than 48 hours after each completed foundation installation event and 48 hours after a detonation.",fuzzy,23,23,"Page 23: ""...60 calendar days of nmfs office of protected resources receipt of the draft report, the report shall be considered final. (8) for those foundation piles and uxo/mec detonations requiring sfv measureme...""",0.7644787644787645
1122,40,gpt-4o-mini,Technical,Foundation installation activities (impact pile driving),180.0,days,LOA Holder must submit a Passive Acoustic Monitoring Plan (PAM Plan) to NMFS Office of Protected Resources for review and approval at least 180 days prior to the planned start of foundation installation activities (impact pile driving) and abide by the Plan if approved.,fuzzy,11,11,"Page 11: ""...with this plan prior to the start of any pile driving. the plan must include a description of all monitoring equipment and pam and pso protocols (including number and location of psos) for all pile dr...""",0.6264501160092807
1459,40,claude-3-haiku-20240307,Environmental,Offshore wind farm construction,30,minutes,"Sheet pile or casing pipe installation must only commence when visual clearance zones are fully visible (e.g., not obscured by darkness, rain, fog, etc.) and clear of marine mammals, as determined by the Lead PSO, for at least 30 minutes immediately prior to initiation of vibratory pile driving.",fuzzy,21,21,"Page 21: ""...sheet pile or casing pipe installation must only commence when visual clearance zones are fully visible (e.g., not obscured by darkness, rain, fog, etc.) and clear of marine mammals, as determined by ...""",0.6592427616926503
1703,40,gemini-1.5-pro,Environmental,Fisheries monitoring surveys within the project area,1.0,nmi,"Marine mammal monitoring must be conducted within 1 nmi from the planned survey location by the trained captain and/or a member of the scientific crew for 15 minutes prior to deploying gear, throughout gear deployment and use, and for 15 minutes after haul back.",fuzzy,21,21,"Page 21: ""...marine mammal monitoring must be conducted within 1 nmi from the planned survey location by the trained captain and/or a member of the scientific crew for 15 minutes prior to deploying gear, throughou...""",0.7207702888583218
2040,40,claude-3-haiku-20240307,Environmental,Offshore wind farm site surveys,"[1, 2]",PSOs,"At least one PSO must be on active duty monitoring during HRG surveys conducted during daylight (i.e., from 30 minutes prior to civil sunrise through 30 minutes following civil sunset) and at least two PSOs must be on activity duty monitoring during HRG surveys conducted at night.",fuzzy,21,21,"Page 21: ""...the potential to result in harassment and must be implemented by loa holder: (1) between four and six psos must be present on every 24-hour survey vessel and two to three psos must be present on every...""",0.6542056074766355
2279,40,gpt-4o-mini,Safety,"Transit corridor from port to Lease Area, operational phase",10.0,kn,"If LOA Holder's vessel(s) are traveling at speeds greater than 10 kn in a transit corridor from a port to the Lease Area, in addition to the required dedicated visual observer, LOA Holder must monitor the transit corridor in real-time with PAM prior to and during transits.",fuzzy,6,6,"Page 6: ""...kn or less when any large whale (other than a north atlantic right whale) is observed within 500 meters (m; 1,640 feet (ft)) of an underway vessel; (8) if loa holder's vessel(s) are traveling at speed...""",0.6363636363636364
2587,40,gemini-1.5-pro,Environmental,North Atlantic right whale sightings,24.0,hours,"LOA Holder must submit a summary report to NMFS Greater Atlantic Regional Fisheries (GARFO), NMFS Office of Protected Resources, and NMFS Northeast Fisheries Science Center (NEFSC) within 24 hours with the above information and the vessel/platform from which the sighting was made, activity the vessel/platform was engaged in at time of sighting, project construction and/or survey activity at the time of the sighting (e.g., pile driving, cable installation, HRG survey), distance from vessel/platform to sighting at time of detection, and any mitigation actions taken in response to the sighting.",fuzzy,25,25,"Page 25: ""...loa holder must submit a summary report to nmfs greater atlantic regional fisheries (garfo; nmfs.gar.incidental-take@noaa.gov), nmfs office of protected resources, and nmfs northeast fisheries science...""",0.9292929292929293
2666,40,gemini-1.5-pro,Environmental,Impact pile driving,60.0,minutes,"For North Atlantic right whales, any visual observation or acoustic detection must trigger a delay to the commencement of pile driving. The clearance zone may only be declared clear if no North Atlantic right whale acoustic or visual detections have occurred within the clearance zone during the 60-minute monitoring period",fuzzy,8,8,"Page 8: ""...the animal has been visually observed exiting the clearance zone or until a specific time period has elapsed with no further sightings. the specific time periods are 15 minutes for small odontocetes a...""",0.6850477200424178
