row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
275,2,gpt-4o-mini,Jurisdictional,States with coastlines near the project area,15.0,miles,A State is eligible for payment of revenues if any part of the State's coastline is located within 15 miles of the announced geographic center of the project area of a qualified project.,none,,,,0.0
554,2,gpt-4o-mini,Jurisdictional,Project easements on the Outer Continental Shelf,5.0,dollars per acre per year,"If you have a project easement Rent, unless otherwise provided in the terms of the grant Greater of $5 per acre per year or $450 per year",none,,,,0.0
576,2,gpt-4o-mini,Jurisdictional,Leases on the Outer Continental Shelf,3.0,dollars per acre per year,"All leases Subsequent Rent, unless otherwise provided in the terms of the lease $3 per acre per year Annually",none,,,,0.0
619,2,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf,72.0,hours,Notify BOEM within 72 hours of so learning,exact,62,62,"Page 62: ""...the third-party guaranty is provided. (c) if, during the life of your third-party guaranty, your guarantor no longer meets the criterion referred to in paragraph (a)(1) of this section, you must: (1) notify boem within 72 hours of so learning; and (2) submit a surety bond or other financial assurance covering the obligations previously secured by the third-party guaranty. 30 cfr part 585 (up to date as of 2/18/2025) renewable energy on th...""",1.0
621,2,gemini-1.5-pro,Jurisdictional,Leases for renewable energy projects on the Outer Continental Shelf,3.0,$/acre/year,"Subsequent Rent, unless otherwise provided in the terms of the lease: $3 per acre per year",none,,,,0.0
703,2,gemini-1.5-pro,Jurisdictional,Project easements for renewable energy projects on the Outer Continental Shelf,5.0,$/acre/year,"Rent for a project easement, unless otherwise provided in the terms of the grant: Greater of $5 per acre per year or $450 per year",none,,,,0.0
804,2,deepseek-chat,Environmental,North Sea Exclusive Economic Zone (EEZ),1,km,All turbines must maintain a minimum clearance of 1 km from designated marine protected areas.,none,,,,0.0
887,2,gemini-1.5-pro,Jurisdictional,Commercial leases for renewable energy projects on the Outer Continental Shelf,6.0,years,No more than 6 years of your operations period will be subject to a full waiver of the operating fee.,exact,57,57,"Page 57: ""...out the requested deferral, reduction, or waiver; or (ii) a deferral, reduction, or waiver is necessary to encourage additional activities; and (5) any other information required by the director. (c) no more than 6 years of your operations period will be subject to a full waiver of the operating fee. (a) the financial assurance requirements for each stage of your commercial lease are: 30 cfr part 585 (up to date as of 2/18/2025) renewable energy on the outer continental shelf 30 cfr 585.510(b) 30...""",1.0
1055,2,gpt-4o-mini,Jurisdictional,ROW grants and RUE grants on the Outer Continental Shelf,5.0,dollars per acre per year,"All ROW grants and RUE grants Initial Rent Greater of $5 per acre per year or $450 per year, unless otherwise established in the grant",none,,,,0.0
1310,2,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,90.0,days,BOEM will accept or reject bids within 90 calendar days of auction closure.,none,,,,0.0
1325,2,gpt-4o-mini,Technical,"Outer Continental Shelf, facilities attached to the seabed, decommissioning phase",2.0,years,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS.",none,,,,0.0
1436,2,gemini-1.5-pro,Technical,Outer Continental Shelf,1.0,copy,"Unless otherwise stated, you must submit one electronic copy of all plans, applications, reports, or notices required by this part to BOEM.",none,,,,0.0
1522,2,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,2.0,years,"At least once every 2 years, the Secretary will publish a schedule with a list of locations under consideration for leasing, along with a projection of when lease sales are anticipated to occur for the 5-year period following the schedule's publication.",none,,,,0.0
1669,2,gpt-4o-mini,Jurisdictional,States with coastlines distant from the project area,15.0,miles,A State is not eligible for revenue sharing if all parts of that State's coastline are more than 15 miles from the announced geographic center of the qualified project area.,none,,,,0.0
1826,2,gpt-4o-mini,Jurisdictional,Outer Continental Shelf leasing areas,45.0,days,"Respondents have 45 calendar days from the date the Call is published in the FEDERAL REGISTER to reply, unless BOEM specifies another time period of not less than 30 calendar days in the Call.",none,,,,0.0
1871,2,deepseek-chat,Spatial,North Atlantic offshore wind lease areas,15,nautical miles,No construction within 15 nautical miles of designated shipping lanes.,none,,,,0.0
1875,2,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,72.0,hours,"If there is a change in the designated operator, you must provide written notice to BOEM and identify the new designated operator within 72 hours on a form approved by BOEM.",none,,,,0.0
1931,2,gpt-4o-mini,Jurisdictional,Lease acceptance timeline,10.0,business days,Within 10 business days after you receive the lease you must execute and return the lease.,none,,,,0.0
1937,2,gemini-1.5-pro,Jurisdictional,ROW grants and RUE grants for renewable energy projects on the Outer Continental Shelf,5.0,$/acre/year,"Initial Rent for all ROW grants and RUE grants: Greater of $5 per acre per year or $450 per year, unless otherwise established in the grant",none,,,,0.0
2007,2,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,27.0,percent,BOEM will distribute among the eligible coastal States 27 percent of the following revenues derived from qualified projects.,none,,,,0.0
2143,2,gemini-1.5-pro,Jurisdictional,Lease issuance for renewable energy projects on the Outer Continental Shelf,90.0,calendar days,"Within 90 calendar days of receiving the written estimate of the fee, or longer (as determined at BOEM's discretion), you must pay the fee for any environmental review under § 585.112.",none,,,,0.0
2172,2,gemini-1.5-pro,Jurisdictional,Construction activities or any other activity related to the project where a potential archaeological resource is discovered.,72.0,hours,Notify BOEM of the discovery within 72 hours,exact,97,97,"Page 97: ""...source while conducting construction activities, or any other activity related to your project, you must: (1) immediately halt all seafloor-disturbing activities within the area of the discovery; (2) notify boem of the discovery within 72 hours; and (3) keep the location of the discovery confidential and not take any action that may adversely affect the archaeological resource until we have made an evaluation and instructed you on how to pr...""",1.0
2263,2,gpt-4o-mini,Technical,Western Gulf of Mexico and offshore of the North Slope Borough of Alaska,3.0,copies,You must submit to BOEM three copies of the modeling report and three sets of digital files as supporting information.,none,,,,0.0
2297,2,deepseek-chat,Technical,All offshore structures in the North Sea,50,years,Wind turbine foundations must be designed to withstand a 1-in-50-year extreme wave event,none,,,,0.0
2314,2,gemini-1.5-pro,Technical,Operation,35.0,years,A commercial lease has an operations period of 35 years; or the duration specified in the lease; or the duration included and approved as part of your COP.,none,,,,0.0
2442,2,deepseek-chat,Environmental,North Atlantic migratory routes,1,km,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways,none,,,,0.0
2524,2,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf,7.0,days,"When forfeiture of the guaranty is called for, the agreement must provide that your guarantor will either bring your lease(s) or grant(s) into compliance or provide, within 7 days, sufficient funds to permit BOEM to complete corrective action.",none,,,,0.0
2693,2,gpt-4o-mini,Jurisdictional,Outer Continental Shelf and State submerged lands,30.0,days,"If BOEM determines that there is competitive interest, we will publish a notice of each grant auction in the FEDERAL REGISTER describing auction procedures, allowing interested persons 30 days to comment.",none,,,,0.0
2979,2,gemini-1.5-pro,Technical,Lease,5.0,years,"The preliminary period begins on the effective date of the lease and ends either when a COP is received by BOEM for review or at the expiration of five years, whichever occurs first.",none,,,,0.0
3020,2,gemini-1.5-pro,Jurisdictional,Data and information related to renewable energy projects on the Outer Continental Shelf,3.0,years,"If BOEM determines that release of data and information will result in substantial competitive harm or disclosure of trade secrets, then the data and information will not be released at that time but will be subject to further review every 3 years thereafter.",none,,,,0.0
3144,2,gpt-4o-mini,Jurisdictional,Lease execution timeline for offshore wind farm projects.,10.0,business days,"Within 10 business days after receipt of the unsigned copy, the provisional winner must execute the lease and return it to BOEM.",none,,,,0.0
3150,2,deepseek-chat,Environmental,North Sea installations,15,meters,Turbine foundations must maintain a minimum clearance of 15 meters from the seabed to protect benthic habitats,none,,,,0.0
3278,2,gpt-4o-mini,Jurisdictional,Preliminary period of commercial lease,5.0,years,Each commercial lease has a preliminary period of up to five years.,exact,36,36,"Page 36: ""...gotiated with the applicant (if the lease is issued noncompetitively). in we may order or grant a suspension of the operations period as provided in §§ 585.415 through 585.421 (1) preliminary period. each commercial lease has a preliminary period of up to five years. during the preliminary period, the lessee must submit a cop. the preliminary period begins on the effective date of the lease and ends either when a cop is received by boem for review or at the expir...""",1.0
3348,2,gpt-4o-mini,Financial,Financial assurance for offshore wind farm projects,90.0,days,The expiration date of the letter of credit must not be less than 90 days following the date it becomes effective.,none,,,,0.0
3417,2,gpt-4o-mini,Jurisdictional,Commercial lease renewal process,2.0,years,You must request a renewal from BOEM: No later than two years before the termination date of the operations period of your commercial lease.,none,,,,0.0
3461,2,deepseek-chat,Environmental,North Sea Exclusive Economic Zones,500,meters,Turbine foundations must avoid coral reefs and benthic habitats by a minimum buffer zone.,none,,,,0.0
3635,2,gpt-4o-mini,Jurisdictional,Lease or grant renewal process,180.0,days,You must request a renewal from BOEM: No later than 180 days before the termination date of your limited lease or grant.,none,,,,0.0
3690,2,gpt-4o-mini,Financial,Financial assurance for offshore wind farm projects,1.0,year,The letter of credit must contain a provision for automatic renewal for periods of not less than 1 year in the absence of notice of cancellation to BOEM at least 90 calendar days before the expiration date.,none,,,,0.0
3743,2,deepseek-chat,Environmental,U.S. federal waters,1,km,All offshore wind turbines must maintain a minimum clearance of 1 km from identified marine mammal migration routes.,none,,,,0.0
3751,2,gpt-4o-mini,Technical,Preliminary period of ROW or RUE grants,12.0,months,Each ROW or RUE grant has a preliminary period of 12 months from the effective date of the ROW or RUE grant within which to submit a GAP.,none,,,,0.0
3836,2,deepseek-chat,Technical,All offshore wind structures in U.S. waters,100,years,Wind turbine foundations must withstand a 1-in-100-year extreme wave event.,none,,,,0.0
3997,2,gemini-2.5-flash,Technical,"Air quality modeling performed in support of activities proposed in the plan, specifically for the western Gulf of Mexico (west of 87.5° west longitude) and offshore of the North Slope Borough of Alaska.",3.0,copies/sets,"Submit to BOEM three copies of the modeling report and three sets of digital files as supporting information. The digital files must contain the formatted meteorological files used in the modeling runs, the model input file, and the model output file.",none,,,,0.0
4170,2,deepseek-chat,Spatial,All offshore wind projects in US territorial waters,1,nautical mile,Minimum 1 nautical mile separation between turbines,none,,,,0.0
4288,2,gemini-1.5-pro,Technical,Lease,5.0,years,"Each commercial lease has a preliminary period of up to five years. During the preliminary period, the lessee must submit a COP.",none,,,,0.0
4403,2,gpt-4o-mini,Jurisdictional,Lease or grant compliance timeframe,10.0,business days,"You may avoid forfeiture if, within 10 business days: You agree to and demonstrate in writing to BOEM that you will bring your lease or grant into compliance within the timeframe we prescribe, and you do so.",none,,,,0.0
4407,2,gpt-4o-mini,Financial,Financial assurance for offshore wind farm projects,115.0,percent,"If you use a Treasury security, you must post 115 percent of your financial assurance amount.",none,,,,0.0
4491,2,gpt-4o-mini,Jurisdictional,Lease or grant suspension requests,2.0,years,BOEM will not approve a lease or grant suspension request pursuant to § 585.416 for a period longer than 2 years.,none,,,,0.0
4509,2,gpt-4o-mini,Financial,Financial assurance for offshore wind farm projects,30.0,days,The letter of credit must be irrevocable during its term and will be subject to collection by BOEM if not replaced by another letter of credit or other form of financial assurance at least 30 calendar days before its expiration date.,none,,,,0.0
4549,2,gpt-4o-mini,Cultural,Discovery of potential archaeological resources.,72.0,hours,Notify BOEM of the discovery within 72 hours.,none,,,,0.0
4643,2,deepseek-chat,Environmental,All offshore wind projects in U.S. federal waters,5,km,Pre-construction seabed surveys must assess benthic habitats within a 5 km radius of proposed turbine locations.,none,,,,0.0
4750,2,gemini-1.5-pro,Jurisdictional,Lease acquisition for offshore wind energy projects,10.0,business days,Within 10 business days after you receive the lease you must: (i) Execute and return the lease; and (ii) File financial assurance as required under §§ 585.516 through 585.529.,none,,,,0.0
4781,2,deepseek-chat,Environmental,North Sea Exclusive Economic Zone,1,km,All turbines must maintain a minimum 1km clearance from identified seabird nesting areas during breeding season (March-August),none,,,,0.0
4801,2,gpt-4o-mini,Financial,RUE grants approved by BOEM,450.0,dollars,You must pay rent to ONRR in the amount of $5 per acre per year or a minimum of $450 per year for each RUE grant BOEM approves under subpart D of this part.,none,,,,0.0
4825,2,gpt-4o-mini,Jurisdictional,Execution of leases or grants for offshore wind farms.,15.0,business days,BOEM will not execute a lease or grant until the 15-business-day appeal period closes and all timely filed appeals are resolved.,none,,,,0.0
4847,2,deepseek-chat,Technical,All offshore wind farms in US waters,0.8,nautical miles,Wind turbines must be spaced at least 0.8 nautical miles apart,none,,,,0.0
4898,2,gpt-4o-mini,Financial,Financial assurance for offshore wind farm projects,115.0,percent,"You must monitor the collateral value of your security. If the collateral value of your security falls below the required level of coverage, you must pledge additional security to provide 115 percent of the required amount.",none,,,,0.0
5055,2,gemini-1.5-pro,Jurisdictional,RUE grant,5.0,$/acre/year,"For each RUE grant BOEM approves under subpart D of this part, you must pay rent to ONRR as provided in 30 CFR 1218.51 in the amount of $5 per acre per year or a minimum of $450 per year.",none,,,,0.0
5073,2,gpt-4o-mini,Jurisdictional,Appeals related to provisional winner selection for offshore wind farm leases.,15.0,business days,A bidder that elects to appeal a provisional winner selection decision must file a written appeal with the Director within 15 business days after receipt of the decision.,none,,,,0.0
5186,2,gpt-4o-mini,Financial,Initial payment for limited lease.,12.0,months,You must pay ONRR the initial 12 months' rent 45 days after you receive the lease copies from BOEM.,none,,,,0.0
5214,2,deepseek-chat,Technical,All offshore installations,100,year return period,Substation foundations shall withstand 100-year return period wave loads,none,,,,0.0
5226,2,gemini-1.5-pro,Jurisdictional,Lease acquisition for offshore wind energy projects,45.0,calendar days,You must pay the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease from BOEM under § 585.503(a)(1).,none,,,,0.0
5286,2,gemini-1.5-pro,Jurisdictional,"ROW grant, RUE grant",5.0,years,"Rent payments required by paragraphs (a) and (b) of this section must be made on an annual basis, for a 5-year period, or for multiples of 5 years.",none,,,,0.0
5332,2,gemini-1.5-pro,Technical,ROW or RUE grant application,12.0,months,You must submit a GAP no later than the end of the preliminary period for your grant to remain in effect.,none,,,,0.0
5337,2,gemini-1.5-pro,Jurisdictional,Qualified projects for revenue sharing,3.0,miles,"A qualified project for the purpose of revenue sharing with eligible coastal States is one authorized under subsection 8(p) of the OCS Lands Act, which includes acreage within the area extending 3 miles seaward of State submerged lands.",none,,,,0.0
5355,2,gemini-1.5-pro,Jurisdictional,Lease execution timeline extension request,10.0,business days,"A provisional winner may request in writing an extension of the 10-day time limit in paragraph (b) of this section. BOEM, in its discretion, may grant such a request.",none,,,,0.0
5438,2,gpt-4o-mini,Jurisdictional,Financial obligation timeline,45.0,calendar days,You must pay the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease.,none,,,,0.0
5482,2,gemini-1.5-pro,Jurisdictional,Oral directives from BOEM,10.0,business days,BOEM will document in writing any oral directives within 10 business days.,none,,,,0.0
5581,2,gemini-1.5-pro,Jurisdictional,Lease payments,10.0,business days,Bonus Balance: Within 10 business days of receiving the [lease],none,,,,0.0
5675,2,deepseek-chat,Spatial,Designated shipping routes,1,nautical miles,Minimum 1 nautical mile separation between turbine arrays in shipping lanes,none,,,,0.0
5698,2,gemini-1.5-pro,Jurisdictional,Lease payments,45.0,calendar days,The winning bidder must pay the first 12 months' rent under § 585.503(a) within 45 calendar days after receiving a copy of the executed lease from BOEM.,none,,,,0.0
5905,2,gpt-4o-mini,Financial,ROW grants approved by BOEM,5.0,dollars per acre,You must pay annual rent of $5 per acre for each ROW grant BOEM approves under subpart D of this part.,none,,,,0.0
5946,2,gemini-1.5-pro,Jurisdictional,Commercial lease,45.0,calendar days,You must pay ONRR the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease from BOEM under § 585.500(c)(3).,none,,,,0.0
5992,2,gpt-4o-mini,Jurisdictional,Applicable to the financial status of entities involved in offshore renewable energy projects.,3.0,business days,You must notify BOEM within 3 business days after you learn of any action filed alleging that you are insolvent or bankrupt.,none,,,,0.0
6015,2,gemini-1.5-pro,Jurisdictional,Lease or grant termination,90.0,days,BOEM will terminate that period of liability within 90 days after BOEM receives the request.,none,,,,0.0
6017,2,gpt-4o-mini,Jurisdictional,"Applicable to any merger, name change, or change in business form related to offshore renewable energy projects.",120.0,days,"You must notify BOEM in writing of any merger, name change, or change of business form.",exact,15,15,"Page 15: ""§ 585.110 when must i notify boem of mergers, name changes, or changes of business form? you must notify boem in writing of any merger, name change, or change of business form. you must notify boem as soon as practicable following the merger, name change, or change in business form, but no later than 120 days after the earliest of either the effective date, or the date of f...""",1.0
