row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
39,40,deepseek-chat,Environmental,North Sea offshore wind projects,1,km,All turbines must maintain a minimum clearance of 1 km from marine protected areas.,False,,,
237,40,gemini-1.5-pro,Technical,Offshore wind farm foundation installation (monopiles),3.0,sites,The first three monopile foundation installation sites selected for SFV measurements are representative of the rest of the monopile installation sites such that future pile installation events are anticipated to produce similar sound levels to those piles measured.,False,,,
259,40,claude-3-haiku-20240307,Safety,Project area,10,knots,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system. Each subsequent observation or acoustic detection in the Project area shall trigger an additional 24-hour period.",False,,,
348,40,gpt-4o-mini,Safety,"Project area, operational phase",10.0,kn,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system.",False,,,
351,40,gemini-1.5-pro,Environmental,Transit within the project area,10.0,kn,"All LOA Holder's vessels, regardless of size, must immediately reduce speed to 10 kn or less for at least 24 hours when a North Atlantic right whale is sighted at any distance by any project-related personnel or acoustically detected by any project-related PAM system.",False,,,
552,40,gemini-1.5-pro,Environmental,Offshore wind farm construction (foundation installation and UXO/MEC detonation),48.0,hours,"must provide the initial results of the SFV measurements to NMFS Office of Protected Resources in an interim report after each foundation installation event and each UXO/MEC detonation event as soon as they are available and prior to a subsequent detonation or foundation installation, but no later than 48 hours after each completed foundation installation event and 48 hours after a detonation.",False,,,
670,40,gemini-1.5-pro,Technical,Monopile installation,4000.0,kilojoules,"Hammer energies must not exceed 4,000 kilojoules for monopile installation.",False,,,
671,40,gpt-4o-mini,Technical,Foundation installation and UXO/MEC detonation events,48.0,hours,"must provide the initial results of the SFV measurements to NMFS Office of Protected Resources in an interim report after each foundation installation event and each UXO/MEC detonation event as soon as they are available and prior to a subsequent detonation or foundation installation, but no later than 48 hours after each completed foundation installation event and 48 hours after a detonation.",False,,,
724,40,gpt-4o-mini,Environmental,All project activities involving PSOs or project personnel,24.0,hours,"If a North Atlantic right whale is observed at any time by PSOs or project personnel, LOA Holder must submit a summary report to NMFS within 24 hours.",False,,,
841,40,gpt-4o-mini,Technical,Monopile foundation installation sites,3.0,sites,The SFV Plan must describe how LOA Holder would ensure that the first three monopile foundation installation sites selected for SFV measurements are representative of the rest of the monopile installation sites.,False,,,
851,40,claude-3-haiku-20240307,Environmental,Offshore wind farm construction,30,minutes,"PSOs must monitor the clearance zone for the presence of marine mammals for 30 minutes before, throughout the installation of the sheet piles (and casing pipe, if installed), and for 30 minutes after all vibratory pile driving activities have ceased.",False,,,
923,40,gemini-1.5-pro,Spatial,Offshore wind farm construction (PAM system deployment),1.0,km,"The PAM system components (i.e., acoustic buoys) must not be placed closer than 1 km to the pile being driven",False,,,
934,40,gemini-1.5-pro,Technical,Pin pile installation,2500.0,kJ,"Hammer energies must not exceed 2,500 kJ for pin pile installation.",False,,,
938,40,gemini-1.5-pro,Technical,Monopile installation,2.0,monopiles/day,No more than two monopiles may be installed per day.,False,,,
1043,40,gpt-4o-mini,Technical,Impact pile driving phase,0.5,m[3]/(minute*m),Any bubble curtain(s) must distribute air bubbles using an air flow rate of at least 0.5 m[3]/(minute*m).,False,,,
1060,40,gemini-1.5-pro,Environmental,Transit within the project area,24.0,hours,Each subsequent observation or acoustic detection in the Project area shall trigger an additional 24-hour period.,False,,,
1085,40,gemini-1.5-pro,Technical,Offshore wind farm construction (PAM system performance),10.0,km,The PAM system must be able to detect a vocalization of North Atlantic right whales up to 10 km (6.2 mi).,False,,,
1122,40,gpt-4o-mini,Technical,Foundation installation activities (impact pile driving),180.0,days,LOA Holder must submit a Passive Acoustic Monitoring Plan (PAM Plan) to NMFS Office of Protected Resources for review and approval at least 180 days prior to the planned start of foundation installation activities (impact pile driving) and abide by the Plan if approved.,False,,,
1124,40,claude-3-haiku-20240307,Environmental,Offshore wind farm site surveys,"[4, 6, 2, 3]",PSOs,Between four and six PSOs must be present on every 24-hour survey vessel and two to three PSOs must be present on every 12-hour survey vessel.,False,,,
1156,40,gemini-1.5-pro,Environmental,Offshore wind farm foundation installation,180.0,days,LOA Holder must submit a SFV Plan to NMFS Office of Protected Resources for review and approval at least 180 days prior to planned start of foundation installation activities and abide by the Plan if approved.,False,,,
1420,40,gemini-1.5-pro,Technical,Pin pile installation,3.0,pin piles/day,No more than three pin piles may be installed per day.,False,,,
1441,40,claude-3-haiku-20240307,Environmental,Offshore wind farm site surveys,30,minutes,"PSOs on HRG vessels must begin monitoring 30 minutes prior to activating acoustic sources, during the use of these acoustic sources, and for 30 minutes after use of these acoustic sources has ceased.",False,,,
1459,40,claude-3-haiku-20240307,Environmental,Offshore wind farm construction,30,minutes,"Sheet pile or casing pipe installation must only commence when visual clearance zones are fully visible (e.g., not obscured by darkness, rain, fog, etc.) and clear of marine mammals, as determined by the Lead PSO, for at least 30 minutes immediately prior to initiation of vibratory pile driving.",False,,,
1507,40,gpt-4o-mini,Technical,Foundation installation phase,48.0,hours,LOA Holder must submit 48-hour interim reports after each foundation is measured.,False,,,
1531,40,gpt-4o-mini,Technical,Foundation installation activities,180.0,days,LOA Holder must submit a SFV Plan to NMFS Office of Protected Resources for review and approval at least 180 days prior to planned start of foundation installation activities and abide by the Plan if approved.,False,,,
1569,40,gemini-1.5-pro,Environmental,Marine mammal protection during UXO/MEC detonation,30.0,minutes,Confirmed to be outside of the clearance zone for at least 30 minutes prior to detonation.,True,13,13,"Page 13: ""...mec detonations as described in paragraph (c)(15) of this section and deploy a pressure transducer; (11) clearance zones must be fully visible for at least 60 minutes and all marine mammal(s) must be confirmed to be outside of the clearance zone for at least 30 minutes prior to detonation. pam must also be conducted for at least 60 minutes and the zone must be acoustically cleared during this time. if a marine mammal is observed entering or within the clearance zone prior to denotation..."""
