row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
363,44,deepseek-chat,Spatial,US Outer Continental Shelf,1,km,Minimum 1km spacing between turbines in array,False,,,
386,44,deepseek-chat,Spatial,All North Sea wind farms,5,km,No construction within 5 km of designated marine protected areas.,False,,,
644,44,deepseek-chat,Spatial,Atlantic offshore lease areas,15,nautical miles,No construction within 15 nautical miles of designated marine mammal migration corridors,False,,,
688,44,deepseek-chat,Environmental,North Sea offshore wind projects,1,km,All turbines must maintain a minimum distance of 1 km from marine protected areas.,False,,,
690,44,gpt-4o-mini,Spatial,Operating area,100.0,%,The percentage of area that is desirable or required to be covered by the hydrophone spacing needs to be considered.,False,,,
764,44,gpt-4o-mini,Spatial,Lease block areas and surrounding areas,50.0,%,aim to have 100% coverage of the acoustic radius of a calling North Atlantic right whale individual within the lease block areas and 50% coverage outside of the areas.,False,,,
972,44,gpt-4o-mini,Technical,Construction phase,2.0,hydrophones,"For mobile platforms, two or more hydrophones can be used for the calculation of bearings.",False,,,
1032,44,gpt-4o-mini,Technical,Monitoring area coverage,24.0,hours,The detection radius and duration it would take a glider to cover the entire desired mitigation area would need to be considered in determining the confidence in monitoring of the detection area for broadly spaced tracklines over a set time period.,False,,,
1228,44,deepseek-chat,Technical,Offshore wind turbines in deep water (>30m),30,meters,Fatigue load analysis is mandated for turbine foundations in waters deeper than 30 meters.,False,,,
1346,44,deepseek-chat,Environmental,Marine environments in U.S. waters,160,dB re 1 µPa,Noise levels during construction must not exceed 160 dB re 1 µPa at 750 meters from the source.,False,,,
1559,44,deepseek-chat,Environmental,North Sea Exclusive Economic Zone (EEZ),1,km,All wind turbines must maintain a minimum distance of 1 km from protected marine habitats.,False,,,
1686,44,deepseek-chat,Environmental,U.S. federal waters,160,dB re 1 µPa,Underwater noise must not exceed 160 dB re 1 µPa during pile driving.,False,,,
1938,44,gpt-4o-mini,Technical,Construction phase,3.0,hydrophones,A minimum of three hydrophones placed within a range that guarantees overlapping receptivity is necessary to localize the positions of vocalizing animals using time-of-arrival methods.,False,,,
1989,44,gemini-1.5-pro,Spatial,Slow Zones for North Atlantic right whales,15.0,nautical miles,"Once triggered, Slow Zones are set up as a rectangular area encompassing a circle of 15 (for Dynamic Management Areas) or 20 (for Acoustic Slow Zones) nautical miles around the core sightings (Dynamic Management Area) or recorder location at the time of detection (Acoustic Slow Zone).",False,,,
2273,44,gemini-1.5-pro,Environmental,Long-term monitoring,90.0,days,"When PAM is used for long-term monitoring, all data (detection data, metadata, GPS data, and ambient noise data) should be provided via the formatted spreadsheets and uploaded within 90 days of the retrieval of the recorder or data collection.",False,,,
2437,44,deepseek-chat,Technical,Fixed-bottom turbines in water depths < 50m,50,years,Wind turbine foundations must be designed to withstand a 1-in-50-year extreme wave height event.,False,,,
