row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,exact_match,pages_found,highlighted_pages,matching_text_snippets
425,34,gpt-4o-mini,Technical,Installation phase,90.0,days,The Lessee must submit to the Lessor within 90 days after installation of the facility a narrative report that contains a summary of the fabrication and deployment process.,False,,,
432,34,gemini-1.5-pro,Environmental,Vessels 19.8m or greater within the project area and between the staging area/port and the project area from November 1 through April 30,10.0,knots,"The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: All vessels 19.8 m (65 ft) in length or greater, traveling and operating within the project area and between the staging area/port and the project area from November 1 through April 30.",False,,,
726,34,gpt-4o-mini,Jurisdictional,Project area,24.0,hours,The Lessee must notify the Lessor within 24 hours of discovery.,False,,,
1005,34,gpt-4o-mini,Environmental,Marine environment around the wind farm site.,50.0,meters,The Lessee must ensure all vessels maintain a separation distance of 50 meters (164 ft) or greater from any sighted sea turtle.,False,,,
1112,34,gpt-4o-mini,Jurisdictional,Project area,72.0,hours,The Lessee must notify the Lessor in writing via report to BOEM within 72 hours of its discovery.,False,,,
1125,34,gemini-1.5-pro,Spatial,Pile driving activities,7.0,km,"The 7 km (22,966 ft) exclusion zone must be monitored from two locations.",False,,,
1270,34,gpt-4o-mini,Technical,Pile installation activities,3.0,strikes,The Lessee must implement a 'soft start' at the beginning of each pile installation.,False,,,
1333,34,gemini-1.5-pro,Environmental,Pile driving activities,1000.0,m,"At least two PSOs on simultaneous watch must be based at or near the sound source and will be responsible for monitoring out to 1,000 m (3,281 ft) from the sound source.",False,,,
1428,34,claude-3-haiku-20240307,Safety,All vessels conducting activities authorized under the SAP,10.0,knots,"The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: 1) All vessels operating in any Dynamic Management Area (DMA); 2) All vessels 19.8 m (65 ft) in length or greater, traveling and operating within the project area and between the staging area/port and the project area from November 1 through April 30; 3) When mother/calf pairs, pods, or large assemblages of cetaceans are observed near any vessel.",False,,,
1485,34,gemini-1.5-pro,Environmental,All vessels operating in a DMA,10.0,knots,The Lessee must ensure that vessel operators comply with 10 knot (18.5 km/hr) or less speed restrictions in the following circumstances: All vessels operating in any Dynamic Management Area (DMA).,False,,,
