row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
1193,2,gemini-1.5-pro,Jurisdictional,Project easement for renewable energy projects on the Outer Continental Shelf,5.0,$/acre,"You must pay rent to ONRR as provided in 30 CFR 1218.51 for your project easement in the amount of $5 per acre, subject to a minimum of $450 per year, unless specified otherwise in the lease.",fuzzy,55,55,"Page 55: ""...you must pay rent to onrr as provided in 30 cfr 1218.51 for your project easement in the amount of $5 per acre, subject to a minimum of $450 per year, unless specified otherwise in the lease. 30 cfr p...""",0.7022058823529411
1455,2,gpt-4o-mini,Jurisdictional,Lease or grant area management,5.0,years,"At an interval no more frequent than every 5 years, BOEM may review your lease or grant area to determine whether the lease or grant area is larger than needed to develop the project and manage activities in a manner that is consistent with the provisions of this part.",fuzzy,49,49,"Page 49: ""...at an interval no more frequent than every 5 years, boem may review your lease or grant area to determine whether the lease or grant area is larger than needed to develop the project and manage activi...""",0.6307151230949589
2335,2,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease/Grant,12.0,months,"The total amount of the financial assurance must be no less than the amount required to meet your limited lease and grant obligations, including: (1) The projected amount of rent and other payments due to the United States over the next 12 months; (2) Any past due rent and other payments; (3) Other monetary obligations; and (4) The estimated cost of facility decommissioning as required by 30 CFR part 285, subpart I.",fuzzy,59,59,"Page 59: ""...on your limited lease or grant based on the estimated costs to meet all accrued lease or grant obligations. (b) the total amount of the financial assurance must be no less than the amount required to ...""",0.842211055276382
2419,2,gpt-4o-mini,Jurisdictional,Outer Continental Shelf,3.0,years,"If we determine that release of such data and information will result in: (2) Substantial competitive harm or disclosure of trade secrets, then the data and information will not be released at that time but will be subject to further review every 3 years thereafter.",fuzzy,21,21,"Page 21: ""...if we determine that release of such data and information will result in: (1) no substantial competitive harm or disclosure of trade secrets, then the data and information will be released. (2) substa...""",0.6066134549600912
2475,2,gemini-1.5-pro,Technical,Western Gulf of Mexico (west of 87.5° west longitude) and offshore of the North Slope Borough of Alaska,3.0,copies,"In the western Gulf of Mexico (west of 87.5° west longitude) and offshore of the North Slope Borough of Alaska, you must submit to BOEM three copies of the modeling report and three sets of digital files as supporting information. The digital files must contain the formatted meteorological files used in the modeling runs, the model input file, and the model output file.",fuzzy,96,96,"Page 96: ""...a modeling protocol to ensure that the agency's needs are met and that the meteorological files used are acceptable before initiating the modeling work. in the western gulf of mexico (west of 87.5° we...""",0.7701863354037267
2503,2,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease/Grant,12.0,months,"Before BOEM will execute your limited lease, ROW grant, or RUE grant, or approve an assignment of an interest therein, you or a proposed assignee must guarantee compliance with all terms and conditions of the lease or grant by providing a bond or other authorized financial assurance in the amount of 12 months' rent.",fuzzy,58,58,"Page 58: ""...row grants, and rue grants § 585.520 what financial assurance must i provide when i obtain my limited lease, row grant, or rue grant? before boem will execute your limited lease, row grant, or rue gra...""",0.6944140197152245
3132,2,gemini-1.5-pro,Jurisdictional,Lease or grant for offshore wind energy development,10.0,business days,"You may avoid forfeiture if, within 10 business days: (1) You agree to and demonstrate in writing to BOEM that you will bring your lease or grant into compliance within the timeframe we prescribe, and you do so; or (2) Your surety agrees to and demonstrates that it will bring your lease or grant into compliance within the timeframe we prescribe, even if the cost of compliance exceeds the face amount of the bond.",fuzzy,66,66,"Page 66: ""...of the total cost of corrective action to bring your lease or grant into compliance. (b) we will advise you and your surety that you may avoid forfeiture if, within 10 business days: (1) you agree to ...""",0.8592132505175983
4234,2,gpt-4o-mini,Financial,Operating phase,6.0,years,"The BOEM Director may defer, reduce, or waive the rent or operating fee or components of the operating fee, such as the fee rate or capacity factor, when the Director determines that continued activities would be uneconomic without the requested deferral, reduction, or waiver, or that it is necessary to encourage continued or additional activities.",fuzzy,56,56,"Page 56: ""...the boem director may defer, reduce, or waive the rent or operating fee or components of the operating fee, such as the fee rate or capacity factor, when the director determines that continued activit...""",0.8092485549132948
4908,2,gemini-1.5-pro,Technical,Decommissioning financial guarantees,90.0,days,"at least 90 days before the proposed termination date, obtain BOEM's approval for termination of all or a specified portion of the guarantee for liabilities arising after that date, and remain liable for all your work performed during the period the agreement is in effect.",fuzzy,63,63,"Page 63: ""...and boem at least 90 days before the proposed termination date, obtain boem's approval for termination of all or a specified portion of the guarantee for liabilities arising after that date, and remai...""",0.6319444444444444
5001,2,gpt-4o-mini,Financial,Limited lease or grant obligations,12.0,months,"The total amount of the financial assurance must be no less than the amount required to meet your limited lease and grant obligations, including: the projected amount of rent and other payments due to the United States over the next 12 months; any past due rent and other payments; other monetary obligations; and the estimated cost of facility decommissioning as required by 30 CFR part 285, subpart I.",fuzzy,59,59,"Page 59: ""...on your limited lease or grant based on the estimated costs to meet all accrued lease or grant obligations. (b) the total amount of the financial assurance must be no less than the amount required to ...""",0.8232890704800817
