row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
39,40,deepseek-chat,Environmental,North Sea offshore wind projects,1,km,All turbines must maintain a minimum clearance of 1 km from marine protected areas.,none,,,,0.0
237,40,gemini-1.5-pro,Technical,Offshore wind farm foundation installation (monopiles),3.0,sites,The first three monopile foundation installation sites selected for SFV measurements are representative of the rest of the monopile installation sites such that future pile installation events are anticipated to produce similar sound levels to those piles measured.,none,,,,0.0
670,40,gemini-1.5-pro,Technical,Monopile installation,4000.0,kilojoules,"Hammer energies must not exceed 4,000 kilojoules for monopile installation.",none,,,,0.0
724,40,gpt-4o-mini,Environmental,All project activities involving PSOs or project personnel,24.0,hours,"If a North Atlantic right whale is observed at any time by PSOs or project personnel, LOA Holder must submit a summary report to NMFS within 24 hours.",none,,,,0.0
841,40,gpt-4o-mini,Technical,Monopile foundation installation sites,3.0,sites,The SFV Plan must describe how LOA Holder would ensure that the first three monopile foundation installation sites selected for SFV measurements are representative of the rest of the monopile installation sites.,none,,,,0.0
851,40,claude-3-haiku-20240307,Environmental,Offshore wind farm construction,30,minutes,"PSOs must monitor the clearance zone for the presence of marine mammals for 30 minutes before, throughout the installation of the sheet piles (and casing pipe, if installed), and for 30 minutes after all vibratory pile driving activities have ceased.",none,,,,0.0
923,40,gemini-1.5-pro,Spatial,Offshore wind farm construction (PAM system deployment),1.0,km,"The PAM system components (i.e., acoustic buoys) must not be placed closer than 1 km to the pile being driven",none,,,,0.0
934,40,gemini-1.5-pro,Technical,Pin pile installation,2500.0,kJ,"Hammer energies must not exceed 2,500 kJ for pin pile installation.",none,,,,0.0
938,40,gemini-1.5-pro,Technical,Monopile installation,2.0,monopiles/day,No more than two monopiles may be installed per day.,none,,,,0.0
1043,40,gpt-4o-mini,Technical,Impact pile driving phase,0.5,m[3]/(minute*m),Any bubble curtain(s) must distribute air bubbles using an air flow rate of at least 0.5 m[3]/(minute*m).,none,,,,0.0
1060,40,gemini-1.5-pro,Environmental,Transit within the project area,24.0,hours,Each subsequent observation or acoustic detection in the Project area shall trigger an additional 24-hour period.,none,,,,0.0
