row_index,document_id,model_name,constraint_type,scope,numerical_value,unit,requirement,match_type,pages_found,highlighted_pages,matching_text_snippets,similarity_score
210,1,deepseek-chat,Spatial,North Sea development zone,5,rotor diameters,Minimum spacing between turbines shall be 5 times the rotor diameter in predominant wind direction,none,,,,0.0
375,1,gpt-4o-mini,Technical,Operational phase,5.0,years,"After the first adjustment, BOEM may adjust the capacity factor no earlier than in 5-year intervals from the most recent year that BOEM adjusts the capacity factor.",none,,,,0.0
676,1,gpt-4o-mini,Jurisdictional,Outer Continental Shelf leases,3.0,dollars per acre per year,"All leases Subsequent Rent, unless otherwise provided in the terms of the lease $3 per acre per year Annually",none,,,,0.0
714,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease,5.0,years,"Each commercial lease has a preliminary period of up to five years. During the preliminary period, the lessee must submit a COP.",none,,,,0.0
775,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease,5.0,years,"The preliminary period begins on the effective date of the lease and ends either when a COP is received by BOEM for review or at the expiration of five years, whichever occurs first.",none,,,,0.0
836,1,gpt-4o-mini,Technical,"Outer Continental Shelf, Decommissioning phase",2.0,years,"Within 2 years following termination of a lease or grant, you must remove or dispose of all facilities, installations, and other devices permanently or temporarily attached to the seabed on the OCS.",none,,,,0.0
855,1,gemini-1.5-pro,Jurisdictional,Revenue sharing from qualified offshore wind projects,15.0,miles,A State is not eligible for revenue sharing if all parts of that State's coastline are more than 15 miles from the announced geographic center of the qualified project area.,none,,,,0.0
925,1,gpt-4o-mini,Jurisdictional,"Outer Continental Shelf, business operations",120.0,days,"You must notify BOEM in writing of any merger, name change, or change of business form.",exact,15,15,"Page 15: ""§ 585.110 when must i notify boem of mergers, name changes, or changes of business form? you must notify boem in writing of any merger, name change, or change of business form. you must notify boem as soon as practicable following the merger, name change, or change in business form, but no later than 120 days after the earliest of either the effective date, or the date of f...""",1.0
1004,1,gpt-4o-mini,Jurisdictional,Project easements,5.0,dollars per acre per year,"If you have a project easement Rent, unless otherwise provided in the terms of the grant Greater of $5 per acre per year or $450 per year",none,,,,0.0
1044,1,gpt-4o-mini,Financial,Limited lease area during the operational phase.,3.0,dollars per acre per year,"The rent for a limited lease is $3 per acre per year, unless otherwise established in the Final Sale Notice and/or your lease instrument.",none,,,,0.0
1183,1,gpt-4o-mini,Financial,Commercial lease agreements for offshore wind farms.,3.0,USD,"The rent for a commercial lease is $3 per acre per year, unless otherwise established in the FSN or lease.",exact,52,52,"Page 52: ""...for your bid amount if you submit a bid; (2) apply your acquisition fee to your bonus bid if you acquire the lease; or (3) retain your acquisition fee if you do not bid for or acquire the lease. (a) the rent for a commercial lease is $3 per acre per year, unless otherwise established in the fsn or lease. (1) you must pay onrr the first 12 months' rent no later than 45 calendar days after you receive your copy of the executed lease from boem under § 585.500(c)(3). (2) you must pay onrr as provided in...""",1.0
1195,1,gemini-1.5-pro,Jurisdictional,Outer Continental Shelf Lease operating fee waiver,6.0,years,No more than 6 years of your operations period will be subject to a full waiver of the operating fee.,exact,57,57,"Page 57: ""...out the requested deferral, reduction, or waiver; or (ii) a deferral, reduction, or waiver is necessary to encourage additional activities; and (5) any other information required by the director. (c) no more than 6 years of your operations period will be subject to a full waiver of the operating fee. (a) the financial assurance requirements for each stage of your commercial lease are: 30 cfr part 585 (up to date as of 2/18/2025) renewable energy on the outer continental shelf 30 cfr 585.510(b) 30...""",1.0
1234,1,gemini-2.5-pro,Environmental,Activities approved under 30 CFR part 585 on the Outer Continental Shelf.,50.0,years of age,An item must be classified as an 'Archaeological resource' if it consists of material remains of human life or activities that are at least 50 years of age and are of archaeological interest.,none,,,,0.0
