Hurricane ID,Hurricane Name,datetime,distance_km,Arrival Time,wind_speed,wind_direction,max_wind,category,pressure,wind_speed_change_rate,wind_direction_change_rate,duration_above_cut_out,quadrant
SYN202505,Synthetic_20250512,2025-05-12 12:56:35.364541,1491.6583516186365,2025-05-15 12:56:35.364541,0.31153805210131613,80.08318089746808,12.8611,Tropical Depression,988,0.0,0.0,0.0,NE
SYN202505,Synthetic_20250512,2025-05-12 18:56:35.364541,1419.818742859989,2025-05-15 12:56:35.364541,0.3353211670590708,80.54299511510283,12.8611,Tropical Depression,988,0.0020391801318878555,0.07663570293912396,0.0,NE
SYN202505,Synthetic_20250512,2025-05-13 00:56:35.364541,1350.360403359307,2025-05-15 12:56:35.364541,0.36133623991663255,79.997221898605,12.8611,Tropical Depression,988,0.0022305496901892517,-0.09096220274963684,0.0,NE
SYN202505,Synthetic_20250512,2025-05-13 06:56:35.364541,1282.3739196891845,2025-05-15 12:56:35.364541,0.40583367481290455,77.8361811113428,13.375544,Tropical Depression,988,0.003815239732962959,-0.3601734645437015,0.0,NE
SYN202505,Synthetic_20250512,2025-05-13 12:56:35.364541,1210.6256929357103,2025-05-15 12:56:35.364541,0.47614403303736047,76.41999837977664,14.404432,Tropical Depression,988,0.006028456987737,-0.23603045526102542,0.0,NE
SYN202505,Synthetic_20250512,2025-05-13 18:56:35.364541,1079.9094726432463,2025-05-15 12:56:35.364541,0.604580150969122,76.63071236669066,15.43332,Tropical Depression,988,0.011012198375547854,0.035118997819002594,0.0,NE
SYN202505,Synthetic_20250512,2025-05-14 00:56:35.364541,951.7888587215831,2025-05-15 12:56:35.364541,0.7534631593043059,73.46555764178709,15.947764000000001,Tropical Depression,987,0.012765328389997556,-0.5275257874839289,0.0,NE
SYN202505,Synthetic_20250512,2025-05-14 06:56:35.364541,901.696209934812,2025-05-15 12:56:35.364541,0.8426148770856037,70.9336671297595,16.462208,Tropical Depression,987,0.0076439277170469964,-0.42198175200459787,0.0,NE
SYN202505,Synthetic_20250512,2025-05-14 12:56:35.364541,828.865126319094,2025-05-15 12:56:35.364541,1.0140491513430268,70.7907508497587,17.491096,Tropical Depression,987,0.014698888964347626,-0.02381938000013406,0.0,NE
SYN202505,Synthetic_20250512,2025-05-14 18:56:35.364541,707.3067479078712,2025-05-15 12:56:35.364541,1.2435980309663404,63.58090518522124,16.976652,Tropical Depression,987,0.019681673971489323,-1.2016409440895757,0.0,NE
SYN202505,Synthetic_20250512,2025-05-15 00:56:35.364541,631.5311377189958,2025-05-15 12:56:35.364541,1.5133947407260147,58.56552160366084,17.491096,Tropical Depression,987,0.02313254975926765,-0.8358972635934,0.0,NE
SYN202505,Synthetic_20250512,2025-05-15 06:56:35.364541,553.9089470318776,2025-05-15 12:56:35.364541,1.7256570997607488,53.6109339918807,16.462208,Tropical Depression,987,0.018199516171877463,-0.8257646019633569,0.0,NE
SYN202505,Synthetic_20250512,2025-05-15 12:56:35.364541,455.0423309268724,2025-05-15 12:56:35.364541,2.224364728384738,45.24471467789533,15.947764000000001,Tropical Depression,988,0.04275952454997324,-1.3943698856642281,0.0,NE
SYN202505,Synthetic_20250512,2025-05-15 18:56:35.364541,396.80905882184464,2025-05-15 12:56:35.364541,2.534199125750226,32.33403259885034,14.918876000000001,Tropical Depression,988,0.026565407786381855,-2.1517803465074983,0.0,NE
SYN202505,Synthetic_20250512,2025-05-16 00:56:35.364541,335.78006330141307,2025-05-15 12:56:35.364541,2.9927249937156426,18.527613491273655,13.889988,Tropical Depression,988,0.03931431360326681,-2.301069851262781,0.0,NE
