Hurricane_ID,Hurricane_Name,Hurricane_Type,Seed_Hurricane_ID,datetime,distance_km,Arrival_Time,wind_speed_ms,wind_direction,max_wind_ms,category,pressure,wind_speed_change_rate,wind_direction_change_rate,duration_above_cut_out,quadrant
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-27 16:21:12.823860,1628.9685034339573,,0.4808266917484023,114.90238847419653,22.635536000000002,Tropical Storm,1000,0.0,0.0,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-27 22:21:12.823860,1759.9883688052184,,0.4186629747188542,115.3355630170987,22.121092,Tropical Storm,1002,-0.010360619504924682,0.07219575715036322,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-28 04:21:12.823860,1798.0354538290696,,0.40550623056323015,114.10735911584095,22.121092,Tropical Storm,1002,-0.002192790692604011,-0.20470065020962616,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-28 10:21:12.823860,1802.216886852959,,0.40410230778548906,112.52764566630549,22.121092,Tropical Storm,1003,-0.00023398712962351592,-0.26328557492257687,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-28 16:21:12.823860,1795.1049649963954,,0.39704162255334674,111.02285621980462,21.606648,Tropical Storm,1003,-0.0011767808720237194,-0.25079824108347754,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-28 22:21:12.823860,1784.706914753678,,0.4005002400213364,109.71866350660423,21.606648,Tropical Storm,1003,0.0005764362446649407,-0.21736545220006556,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-29 04:21:12.823860,1773.715696708829,,0.40421103642121464,108.63401181568508,21.606648,Tropical Storm,1003,0.0006184660666463764,-0.1807752818198575,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-29 10:21:12.823860,1762.9493818624962,,0.4079017409418501,107.75089109142544,21.606648,Tropical Storm,1003,0.0006151174201059114,-0.14718678737660676,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-29 16:21:12.823860,1752.6024206248665,,0.4115018725462502,107.04090500400878,21.606648,Tropical Storm,1003,0.000600021934066682,-0.11833101456944442,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-29 22:21:12.823860,1742.6860171788544,,0.4248831264599918,106.47551882326934,22.121092,Tropical Storm,1003,0.002230208985623603,-0.09423103012323963,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-30 04:21:12.823860,1733.1717593021667,,0.42836935543021154,106.02932124693984,22.121092,Tropical Storm,1003,0.0005810381617032863,-0.07436626272158264,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-30 10:21:12.823860,1724.0338794185311,,0.4317627444286763,105.68102428344605,22.121092,Tropical Storm,1003,0.0005655648330774588,-0.058049493915632404,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-30 16:21:12.823860,1715.2540068301475,,0.4350655599057455,105.41306072790712,22.121092,Tropical Storm,1003,0.0005504692461782054,-0.044660592589821135,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-30 22:21:12.823860,1706.8208044143753,,0.4382777652951613,105.21119010470966,22.121092,Tropical Storm,1003,0.0005353675649026335,-0.03364510386624413,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-31 04:21:12.823860,1698.7256559720101,,0.4413985251738167,105.0637473221542,22.121092,Tropical Storm,1003,0.0005201266464425666,-0.02457379709257642,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-31 10:21:12.823860,1690.9610869409346,,0.4444267628931178,104.96127229959768,22.121092,Tropical Storm,1003,0.0005047062865501755,-0.01707917042608642,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-31 16:21:12.823860,1683.5189324602034,,0.4473618632119952,104.89603964917222,22.121092,Tropical Storm,1003,0.0004891833864795747,-0.010872108404242908,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-05-31 22:21:12.823860,1676.3911331834777,,0.4502033693307839,104.86169446495899,22.121092,Tropical Storm,1003,0.0004735843531314491,-0.005724197368872789,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-06-01 04:21:12.823860,1669.5690395203035,,0.45295126233885635,104.85291838807314,22.121092,Tropical Storm,1003,0.00045798216801207214,-0.0014626794809752635,0.0,NW
SYN_AL182012_003,SYNTHETIC_SANDY_003,Synthetic,AL182012,2025-06-01 10:21:12.823860,1663.04404313687,,0.45560571409961975,104.86539644912102,22.121092,Tropical Storm,1003,0.00044240862679389975,0.0020796768413144187,0.0,NW
