rank_by_constraints,document_id,constraint_count,page_count,pdf_path,document_number,model_name,type_of_wind_farm,constraints_per_page,rank_by_constraints_new,rank_by_pages,rank_by_efficiency,normalized_constraint_rank,normalized_page_rank,normalized_efficiency_rank,composite_score,final_rank
2,40,169,28,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/40.pdf,DOC-2023-001,deepseek-chat,Offshore,6.035714285714286,2,16,1,0.041666666666666664,0.3333333333333333,0.020833333333333332,0.12291666666666666,1
14,34,47,17,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/34.pdf,,gpt-4o-mini,Offshore,2.764705882352941,14,11,2,0.2916666666666667,0.22916666666666666,0.041666666666666664,0.19791666666666669,2
11,27,65,29,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/27.pdf,SECTION IV,gpt-4.1,Offshore,2.2413793103448274,11,18,3,0.22916666666666666,0.375,0.0625,0.22291666666666665,3
1,26,322,177,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/26.pdf,Page 17 of 93,gemini-1.5-pro,Offshore,1.8192090395480225,1,34,4,0.020833333333333332,0.7083333333333334,0.08333333333333333,0.24583333333333332,4
21,18,22,13,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/18.pdf,EWF-2023-001,deepseek-chat,Offshore,1.6923076923076923,21,7,5,0.4375,0.14583333333333334,0.10416666666666667,0.25,5
24,44,18,18,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/44.pdf,NSW-REG-2023-004,deepseek-chat,Offshore,1.0,24,12,6,0.5,0.25,0.125,0.3125,6
12,1,50,98,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/1.pdf,NSOW-2023-0042,deepseek-chat,Offshore,0.5102040816326531,12,28,12,0.25,0.5833333333333334,0.25,0.35,7
13,2,48,98,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/2.pdf,NSW-2023-004,deepseek-chat,Offshore,0.4897959183673469,13,29,13,0.2708333333333333,0.6041666666666666,0.2708333333333333,0.37083333333333335,8
26,19,14,26,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/19.pdf,7 of 26,gpt-4o-mini,Onshore,0.5384615384615384,26,14,11,0.5416666666666666,0.2916666666666667,0.22916666666666666,0.3729166666666667,9
7,29,81,193,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/29.pdf,3-63,gemini-1.5-pro,Offshore,0.41968911917098445,7,37,15,0.14583333333333334,0.7708333333333334,0.3125,0.38333333333333336,10
3,10,168,376,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/10.pdf,OWF-REG-2023-004,deepseek-chat,Offshore,0.44680851063829785,3,45,14,0.0625,0.9375,0.2916666666666667,0.39375000000000004,11
40,35,6,7,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/35.pdf,"Vol. 89, No. 204",gemini-1.5-pro,Offshore,0.8571428571428571,40,3,7,0.8333333333333334,0.0625,0.14583333333333334,0.39583333333333337,12
4,22,153,366,/Users/li/Library/CloudStorage/OneDrive-UniversityofMaryland/PhD research/Python/LLM/Documents/22.pdf,EWF-2023-001,deepseek-chat,Offshore,0.4180327868852459,4,44,16,0.08333333333333333,0.9166666666666666,0.3333333333333333,0.4083333333333333,13
