YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 294  6.0  7.6  1.05  5.00  4.51 999 1008.0   8.2   7.9   6.7 99.0 99.00
2006 01 01 01 00 305  5.8  6.9  1.16  5.56  4.34 999 1009.1   7.4   7.9   6.6 99.0 99.00
2006 01 01 02 00 307  7.8  9.3  1.09  5.56  4.12 999 1009.7   7.1   7.9   5.9 99.0 99.00
2006 01 01 03 00 312  5.5  6.4  1.07  5.26  4.19 999 1010.0   6.5   7.9   5.3 99.0 99.00
2006 01 01 04 00 304  4.6  5.3  1.00  5.26  4.27 999 1010.5   6.5   7.8   5.1 99.0 99.00
2006 01 01 05 00 288  4.6  5.3  0.82  5.88  4.16 999 1011.2   6.5   7.8   4.8 99.0 99.00
2006 01 01 06 00 285  3.7  4.5  0.82  5.88  4.41 999 1011.9   6.3   7.8   4.7 99.0 99.00
2006 01 01 07 00 256  4.5  5.3  0.76  5.88  4.68 999 1012.4   6.3   7.6   4.5 99.0 99.00
2006 01 01 08 00 281  4.2  5.0  0.74  5.56  4.37 999 1013.0   6.4   7.6   4.4 99.0 99.00
2006 01 01 09 00 258  5.6  6.6  0.76  5.56  4.72 999 1013.7   6.4   7.6   4.8 99.0 99.00
2006 01 01 10 00 266  4.3  5.2  0.77  5.88  4.59 999 1014.1   6.8   7.7   4.3 99.0 99.00
2006 01 01 11 00 294  5.2  6.6  0.75  5.56  4.73 999 1014.4   6.8   7.7   4.0 99.0 99.00
2006 01 01 12 00 322  6.3  8.3  0.71  7.14  4.48 999 1015.3   6.9   7.7   4.1 99.0 99.00
2006 01 01 13 00 337  6.7  7.7  0.71  5.88  4.13 999 1016.1   6.8   7.7   2.7 99.0 99.00
2006 01 01 14 00 340  5.2  6.2  0.72  3.13  4.02 999 1017.7   6.8   7.6   1.7 99.0 99.00
2006 01 01 15 00 328  4.1  5.2  0.70  6.25  4.21 999 1019.0   6.9   7.6   1.0 99.0 99.00
2006 01 01 16 00 306  2.0  2.8  0.72  6.25  4.47 999 1019.2   6.9   7.6   1.0 99.0 99.00
2006 01 01 17 00 254  2.9  3.5  0.73  7.14  4.60 999 1019.0   6.9   7.8   1.1 99.0 99.00
2006 01 01 18 00 301  3.2  4.5  0.69  6.67  5.03 999 1018.9   7.0   7.8   0.0 99.0 99.00
2006 01 01 19 00 321  4.5  5.4  0.64  6.67  5.12 999 1019.1   7.0   7.8   0.4 99.0 99.00
2006 01 01 20 00 331  4.4  5.2  0.62  7.14  5.14 999 1020.0   7.1   7.7   0.4 99.0 99.00
2006 01 01 21 00 356  2.9  3.5  0.62  5.88  4.98 999 1020.7   7.0   7.7   0.7 99.0 99.00
2006 01 01 22 00 350  2.1  2.6  0.69  6.67  5.29 999 1021.4   7.1   7.6   0.4 99.0 99.00
2006 01 01 23 00 314  1.5  1.8  0.67  5.88  5.34 999 1022.0   7.1   7.6   0.5 99.0 99.00
2006 01 02 00 00 324  1.7  2.0  0.67  6.25  5.35 999 1022.1   7.0   7.7   1.3 99.0 99.00
2006 01 02 01 00 291  1.2  1.4  0.65  6.67  5.44 999 1022.5   7.0   7.6   1.4 99.0 99.00
2006 01 02 02 00 259  0.8  1.2  0.65  6.67  5.44 999 1022.7   6.9   7.6   1.6 99.0 99.00
2006 01 02 03 00 273  0.4  0.6  0.67  5.26  5.31 999 1023.1   6.8   7.6   1.2 99.0 99.00
2006 01 02 04 00 268  1.0  1.2  0.60  7.69  5.17 999 1023.4   6.9   7.5   1.5 99.0 99.00
2006 01 02 05 00 272  1.4  2.0  0.58  9.09  5.27 999 1023.7   6.9   7.5   2.1 99.0 99.00
2006 01 02 06 00 262  1.7  2.2  0.56  6.67  5.24 999 1024.0   7.0   7.5   2.0 99.0 99.00
2006 01 02 07 00 269  0.7  1.1  0.57  5.56  5.44 999 1024.1   6.8   7.5   3.1 99.0 99.00
2006 01 02 08 00 115  1.6  2.0  0.57  6.67  5.55 999 1023.8   6.9   7.3   2.7 99.0 99.00
2006 01 02 09 00 109  1.9  2.5  0.59  9.09  5.59 999 1023.5   7.0   7.4   2.7 99.0 99.00
2006 01 02 10 00 145  2.7  3.0  0.58  6.25  5.39 999 1023.7   7.2   7.4   2.7 99.0 99.00
2006 01 02 11 00 122  4.3  5.0  0.58  6.25  5.37 999 1022.9   7.4   7.4   3.6 99.0 99.00
2006 01 02 12 00 141  5.8  6.8  0.54  5.00  5.27 999 1022.4   7.7   7.6   3.5 99.0 99.00
2006 01 02 13 00 139  4.4  5.3  0.57  5.88  4.35 999 1023.3   7.9   7.6   4.0 99.0 99.00
2006 01 02 14 00 140  5.3  6.4  0.64  5.56  4.08 999 1023.0   8.3   7.6   4.3 99.0 99.00
