#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 12 31 23 50 316 11.7 15.1  1.52  5.56  4.44 350 1026.7  -5.5   9.1 999.0 99.0 99.00
2018 01 01 00 50 319 12.0 16.4  1.48  5.26  4.34 337 1026.7  -5.5   9.0 999.0 99.0 99.00
2018 01 01 01 50 330 12.8 15.7  1.66  5.56  4.46 340 1027.3  -6.2   8.9 999.0 99.0 99.00
2018 01 01 02 50 326 12.6 16.8  1.76  5.88  4.54 339 1027.2  -6.1   8.8 999.0 99.0 99.00
2018 01 01 03 50 328 14.6 19.0  2.11  5.26  4.75 345 1027.5  -5.8   8.9 999.0 99.0 99.00
2018 01 01 04 50 329 14.7 17.9  2.18  5.88  4.89 342 1027.7  -6.0   8.9 999.0 99.0 99.00
2018 01 01 05 50 320 14.3 17.6  2.14  6.25  4.95 335 1028.0  -6.4   8.8 999.0 99.0 99.00
2018 01 01 06 50 327 13.3 17.0  1.97  5.88  4.82 335 1028.5  -6.2   8.8 999.0 99.0 99.00
2018 01 01 07 50 325 14.6 20.0  2.21  5.88  5.12 345 1028.2  -6.3   8.7 999.0 99.0 99.00
2018 01 01 08 50 320 14.7 17.3  2.07  6.25  4.96 350 1028.2  -6.6   8.7 999.0 99.0 99.00
2018 01 01 09 50 328 13.9 16.5  2.21  6.25  5.23 349 1028.6  -7.1   8.7 999.0 99.0 99.00
2018 01 01 10 50 323 13.0 16.0  2.19  5.88  5.16 351 1029.3  -7.3   8.6 999.0 99.0 99.00
2018 01 01 11 50 328 12.3 15.5  2.19  6.25  5.10   1 1029.9  -7.6   8.5 999.0 99.0 99.00
2018 01 01 12 50 320 13.0 16.6  2.04  5.88  4.95 358 1030.3  -7.3   8.5 999.0 99.0 99.00
2018 01 01 13 50 323 13.0 15.8  2.05  5.56  4.82 355 1030.7  -7.4   8.5 999.0 99.0 99.00
2018 01 01 14 50 321 13.4 17.1  1.97  5.56  4.67 351 1031.3  -7.4   8.5 999.0 99.0 99.00
2018 01 01 15 50 319 12.6 17.5  1.97  5.56  4.77 354 1031.5  -6.8   8.3 999.0 99.0 99.00
2018 01 01 16 50 311 13.2 16.4  1.91  5.00  4.70 353 1030.7  -6.8   8.1 999.0 99.0 99.00
2018 01 01 17 50 314 13.3 15.8  1.81  5.26  4.63 350 1030.2  -6.3   7.9 999.0 99.0 99.00
2018 01 01 18 50 318 12.5 16.2  1.79  5.26  4.60   3 1029.8  -6.0   7.8 999.0 99.0 99.00
2018 01 01 19 50 317 12.5 16.3  1.68  5.56  4.58 347 1029.4  -5.4   7.7 999.0 99.0 99.00
2018 01 01 20 50 311 11.7 15.1  1.77  5.26  4.65 345 1029.6  -4.9   7.8 999.0 99.0 99.00
2018 01 01 21 50 302 12.5 17.1  1.77  5.56  4.79 351 1029.6  -4.6   7.8 999.0 99.0 99.00
2018 01 01 22 50 294 11.8 15.3  1.83  5.26  4.82 343 1030.2  -4.7   7.9 999.0 99.0 99.00
2018 01 01 23 50 294 11.8 14.2  1.60  5.56  4.64 355 1030.8  -5.0   8.0 999.0 99.0 99.00
2018 01 02 00 50 301 11.0 13.6  1.51  5.26  4.43 343 1031.1  -4.5   8.0 999.0 99.0 99.00
2018 01 02 01 50 298 10.4 14.7  1.33  5.00  4.21 347 1031.3  -4.6   7.9 999.0 99.0 99.00
2018 01 02 02 50 294  9.6 13.2  1.22  5.26  4.14   6 1031.5  -4.9   7.9 999.0 99.0 99.00
2018 01 02 03 50 303  9.5 14.0  1.11  5.00  4.02   4 1031.8  -4.8   7.8 999.0 99.0 99.00
2018 01 02 04 50 302 12.7 14.9  1.18  4.76  3.88 345 1031.8  -5.3   7.9 999.0 99.0 99.00
2018 01 02 05 50 300 12.6 15.1  1.39  5.00  4.18 343 1031.7  -5.8   8.0 999.0 99.0 99.00
2018 01 02 06 50 305 11.6 15.1  1.45  5.26  4.38 333 1032.0  -5.7   8.1 999.0 99.0 99.00
2018 01 02 07 50 304 12.2 15.3  1.43  5.00  4.40 337 1032.4  -6.0   8.2 999.0 99.0 99.00
2018 01 02 08 50 301 10.9 13.8  1.43  5.26  4.43 326 1032.7  -6.0   8.1 999.0 99.0 99.00
2018 01 02 09 50 306 11.2 14.1  1.37  5.26  4.49 335 1032.8  -6.5   8.1 999.0 99.0 99.00
2018 01 02 10 50 305 10.8 14.2  1.42  5.26  4.51 333 1033.1  -6.4   8.1 999.0 99.0 99.00
2018 01 02 11 50 303 10.5 13.7  1.37  5.26  4.57 334 1033.3  -6.2   8.1 999.0 99.0 99.00
2018 01 02 12 50 302  9.4 12.4  1.28  5.56  4.32 343 1033.8  -6.4   8.1 999.0 99.0 99.00
2018 01 02 13 50 300 10.5 12.5  1.22  5.00  4.18 339 1034.2  -6.1   8.1 999.0 99.0 99.00
2018 01 02 14 50 299  9.3 12.4  1.17  5.26  4.07 331 1034.7  -6.0   8.1 999.0 99.0 99.00
2018 01 02 15 50 300  8.6 10.3  1.09  4.55  4.00 329 1034.4  -5.9   8.1 999.0 99.0 99.00
2018 01 02 16 50 294  7.5  9.5  0.93  5.00  3.73 332 1033.6  -5.2   8.1 999.0 99.0 99.00
2018 01 02 17 50 290  7.8 10.2  0.78  4.55  3.56 326 1032.6  -4.7   8.1 999.0 99.0 99.00
2018 01 02 18 50 284  6.4  9.3  0.69  4.17  3.43 335 1031.7  -3.9   8.1 999.0 99.0 99.00
2018 01 02 19 50 286  5.9  8.6  0.62  3.70  3.35 323 1031.5  -3.6   8.0 999.0 99.0 99.00
2018 01 02 20 50 277  6.1  7.7  0.58  3.85  3.34 328 1031.4  -3.2   8.0 999.0 99.0 99.00
2018 01 02 21 50 261  6.0  8.5  0.51  3.70  3.48 325 1031.1  -3.2   8.0 999.0 99.0 99.00
2018 01 02 22 50 267  6.2  8.2  0.51  3.85  3.44 333 1031.1  -3.2   8.0 999.0 99.0 99.00
2018 01 02 23 50 262  6.9  8.7  0.49  3.13  3.32 277 1031.5  -3.7   8.0 999.0 99.0 99.00
2018 01 03 00 50 260  7.8 10.7  0.59  3.57  3.39 318 1031.6  -3.9   8.0 999.0 99.0 99.00
2018 01 03 01 50 268  7.3  9.3  0.64  3.45  3.38 285 1031.5  -3.6   8.1 999.0 99.0 99.00
2018 01 03 02 50 272  7.4  9.4  0.67  3.57  3.31 297 1031.1  -3.2   8.1 999.0 99.0 99.00
2018 01 03 03 50 275  7.6 10.0  0.79  3.45  3.35 277 1030.7  -2.7   8.1 999.0 99.0 99.00
2018 01 03 04 50 267  6.6  8.4  0.64  3.23  3.29 277 1030.8  -2.7   8.1 999.0 99.0 99.00
2018 01 03 05 50 275  6.7  8.2  0.56  3.13  3.25 263 1030.2  -2.4   7.9 999.0 99.0 99.00
2018 01 03 06 50 279  6.6  8.2  0.55  3.33  3.13 258 1030.0  -2.0   7.5 999.0 99.0 99.00
2018 01 03 07 50 279  5.8  7.7  0.46  3.23  3.11 274 1030.0  -1.6   7.4 999.0 99.0 99.00
2018 01 03 08 50 290  4.4  6.3  0.45  3.13  3.19 291 1029.3  -1.5   7.5 999.0 99.0 99.00
2018 01 03 09 50 293  4.2  5.9  0.37  2.86  3.17 302 1028.8  -1.5   7.3 999.0 99.0 99.00
2018 01 03 10 50 294  3.0  4.6  0.35  2.94  3.33 297 1028.8  -1.3   7.8 999.0 99.0 99.00
2018 01 03 11 50 295  2.1  3.6  0.30  3.13  3.46 330 1028.9  -1.2   8.0 999.0 99.0 99.00
2018 01 03 12 50 296  1.9  3.2  0.30 10.81  3.93 120 1028.8  -1.1   8.0 999.0 99.0 99.00
2018 01 03 13 50 317  1.8  2.9  0.26 12.90  4.00 136 1028.4  -0.8   8.2 999.0 99.0 99.00
2018 01 03 14 50  12  1.0  2.1  0.25 13.79  4.14 236 1028.3  -0.2   8.0 999.0 99.0 99.00
2018 01 03 15 50  20  2.6  4.4  0.25 10.81  4.92 108 1027.2   0.0   7.9 999.0 99.0 99.00
2018 01 03 16 50  35  3.1  4.5  0.25 10.81  5.10 108 1026.1   0.4   7.8 999.0 99.0 99.00
2018 01 03 17 50  54  3.4  4.6  0.23 99.00  5.10 999 1024.4   1.0   7.5 999.0 99.0 99.00
2018 01 03 18 50  47  5.8  7.4  0.24 99.00  5.01 999 1022.4   1.3   7.4 999.0 99.0 99.00
2018 01 03 19 50  57  6.6  8.4  0.37  2.47  3.12  58 1021.8   1.9   7.2 999.0 99.0 99.00
2018 01 03 20 50  36  6.3  7.7  0.46  2.86  3.14  54 1021.5   2.3   7.3 999.0 99.0 99.00
