#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50 329  5.9  7.0  0.84  9.09  4.68  74 1019.3  11.1  12.3   6.3 99.0 99.00
2016 01 01 00 50 329  7.2  8.3  0.81  9.09  4.77  88 1020.0  10.9  12.3   6.1 99.0 99.00
2016 01 01 01 50 334  7.5  8.9  0.88 10.00  4.45  85 1020.0  10.2  12.3   5.8 99.0 99.00
2016 01 01 02 50 337  8.4 10.0  0.83 10.81  4.41  72 1020.0   9.2  12.3   4.7 99.0 99.00
2016 01 01 03 50 342  7.8  9.7  1.01 10.81  4.48  75 1019.4   8.7  12.3   4.4 99.0 99.00
2016 01 01 04 50 330  8.8 10.4  1.14  4.35  4.35 354 1019.5   8.2  12.3   3.1 99.0 99.00
2016 01 01 05 50 322  6.8  8.7  1.29  4.76  4.64 354 1019.3   7.8  12.3   2.5 99.0 99.00
2016 01 01 06 50 323  7.4  9.0  1.19  4.76  4.44 355 1019.4   7.7  12.2   3.3 99.0 99.00
2016 01 01 07 50 324  7.8  9.4  1.12  4.55  4.44 355 1019.8   7.6  12.2   3.5 99.0 99.00
2016 01 01 08 50 338  7.0  8.8  1.23  4.76  4.41 347 1019.9   7.1  12.2   3.1 99.0 99.00
2016 01 01 09 50 325  8.9 11.6  1.28  4.55  4.28 343 1019.5   6.9  12.2   2.5 99.0 99.00
2016 01 01 10 50 330  7.5  9.5  1.29  4.55  4.29 327 1019.5   6.4  12.1   1.9 99.0 99.00
2016 01 01 11 50 324  8.7 10.8  1.10  4.55  4.24 341 1019.8   6.9  12.1   1.0 99.0 99.00
2016 01 01 12 50 314  7.7 10.5  1.13  4.55  4.26 344 1020.1   6.6  12.1   0.3 99.0 99.00
