model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
gemini,gemini-1.5-pro,21,C-001,Design Specification,No surface occupancy in the northernmost portion of the project area (approximately six WTG locations).,,,Table 3 - 1,Northernmost portion of the project area,Under Alternative C…no surface occupancy would occur in the northernmost portion of the proposed Project area…This alternative would result in the exclusion of approximately six of the northernmost WTG locations.,Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-002,Design Specification,Minimum 1 nautical mile spacing between WTGs.,1.0,nmi,Table 3 - 1,Project Area,"Under Alternative D1, WTGs would have a minimum spacing of 1 nmi between them, and the lanes between turbines would also be a minimum of 1 nmi…",Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-003,Design Specification,East-west orientation with 1 nautical mile minimum spacing.,1.0,nmi,Table 3 - 1,Project Area,"Under Alternative D2, the wind turbine layout would be arranged in an east-west orientation and all WTGs in the east-west direction would have a minimum spacing of 1 nmi between them…",Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-004,Design Specification,No more than 84 WTGs.,84.0,WTGs,Table 3 - 1,Project Area,Under Alternative E…the proposed Project would consist of no more than 84 WTGs…,Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-005,Design Specification,No surface occupancy within vessel transit lane.,,,Table 3 - 1,Vessel transit lane through the WDA,"Under Alternative F, a vessel transit lane through the WDA would be established in which no surface occupancy would occur.",Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-006,Environmental Mitigation,Non-HDD cable laying in Nantucket Sound outside April to June.,,,Measure 11,Northern part of the offshore export cable area within Nantucket Sound waters,The non-HDD cable laying operations in the northern part of the offshore export cable area within Nantucket Sound waters will occur outside of April to June.,Export Cables
gemini,gemini-1.5-pro,21,C-007,Environmental Mitigation,Cable protection in hard bottom must be natural or engineered stone.,,,Measure 14,Complex hard-bottom habitat,Cable protection measures within complex hard-bottom habitat…will consist of natural or engineered stone…,Export Cables
gemini,gemini-1.5-pro,21,C-008,Environmental Mitigation,Cable protection in Nantucket waters must be natural materials.,,,Measure 14,Town of Nantucket waters,"Additionally, per the Nantucket Order of Conditions…cable protection, where required in Town of Nantucket waters, must consist of natural materials that mimic the surrounding seafloor.",Export Cables
gemini,gemini-1.5-pro,21,C-009,Environmental Mitigation,Six northeastern turbine placement locations removed.,6.0,,Measure 65,Northeastern portion of the WDA,Require Vineyard Wind to not place turbines within the area defined by the six northeastern most turbine locations in the proposed layout…,Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-010,Design Specification,WTGs painted no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey.,,,Measure 66,Project Area,Require Vineyard Wind to paint the WTGs off-white/light grey (no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey)…,Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-011,Safety Standard,WTG rotors must have control mechanisms to shut down within an agreed upon time.,,,Measure 84,Project Area,Equip all WTG rotors (blade assemblies) with control mechanisms operable from the Vineyard Wind control centers…The control mechanisms shall enable control room operators to shut down the requested WTGs within an agreed upon time of notification between the USCG and Vineyard Wind.,Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-012,Safety Standard,"Each WTG and ESP must be marked with PATONs, subject to USCG approval.",,,Measure 83,Project Area,"Each WTG and ESP will be marked with PATONs, subject to the approval of the Commander (dpw-1), First Coast Guard District.",Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-013,Safety Standard,"If ESPs include helicopter landing platforms, they must accommodate USCG HH60 helicopters.",,,Measure 93,Project Area,"If Vineyard Wind's ESPs include helicopter-landing platforms, those platforms will be designed and built to accommodate USCG HH60 rescue helicopters.",Electrical Service Platform
gemini,gemini-1.5-pro,21,C-014,Operational Parameter,No pile-driving from December 1 to April 30 (with exceptions).,,,Measure 29,Project Area,No pile-driving activities may occur from December 1 to April 30 of any year.,Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-015,Environmental Mitigation,Export cable conduits installation not initiated between April 1 and August 31.,,,Measure 3,Project Area,Installation of export cable conduits is not expected to be initiated between April 1 and August 31.,Export Cables
gemini,gemini-1.5-pro,21,C-016,Environmental Mitigation,Trees greater than 3 inches diameter at breast height not cleared from June 1 to July 31.,3.0,inches,Measure 10,,Require that trees greater than 3 inches (7.6 centimeters) diameter at breast height not be cleared from June 1 to July 31.,
gemini,gemini-1.5-pro,21,C-017,Environmental Mitigation,500-meter clearance and shutdown zone for pile-driving for North Atlantic right whales.,500.0,meters,Measure 36,1000m from pile,"For all pile-driving activities, any large whale that cannot be identified to species by a PSO must be treated as a NARW if it is visually sighted within 1,000 m of the pile for clearance and shutdown purposes any time of the year.",Monopile Foundation
gemini,gemini-1.5-pro,21,C-018,Environmental Mitigation,Vessel speed 10 knots or less from November 1 through May 14 within the WDA (with exceptions).,10.0,knots,Measure 53,WDA (excluding Nantucket Sound unless an active DMA is in place),"From November 1 through May 14, all vessels must travel at 10 knots or less when transiting to, from. or within the WDA, except within Nantucket Sound (unless an active DMA is in place) and except crew transfer vessels as described below.",Jacket Foundation
gemini,gemini-1.5-pro,21,C-019,Safety Standard,Vessels 65 feet or greater must comply with 10-knot speed restriction in SMAs.,65.0,feet,Measure 55,SMAs,All vessels greater than or equal to 65 feet (19.8 meter) in overall length must comply with the 10-knot speed restriction in any SMA…,
gemini,gemini-1.5-pro,21,C-020,Operational Parameter,Initial inter-array and export cable inspection within 6 months of commissioning.,6.0,months,Measure 18,Inter-array and export cable,"In federal waters, the initial inter-array and export cable inspection will be carried out within 6 months of commissioning…",Inter-array cable
gemini,gemini-1.5-pro,21,C-021,Environmental Mitigation,1640-foot clearance and shutdown zone for pile-driving for sea turtles.,1640.0,feet,Measure 34,500-meter radius around pile-driving activities,"PSOs will establish a 1,640.4-foot (500-meter) clearance and shutdown zone for all pile-driving activities.",Wind Turbine Generator
gemini,gemini-1.5-pro,21,C-022,Environmental Mitigation,Vessels must maintain 328-foot separation distance from sea turtles.,328.0,feet,Measure 51,Project Area,All vessels must maintain a minimum separation distance of 328 feet (100 meters) from sea turtles whenever possible.,
gemini,gemini-1.5-pro,21,C-023,Environmental Mitigation,Vessels must avoid transiting through jellyfish aggregations or floating vegetation from June 1 to November 30.,,,Measure 51,Project Area,"Between June 1 and November 30, vessels must avoid transiting through areas of visible jellyfish aggregations or floating vegetation lines or mats.",
