model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
gemini,gemini-1.5-pro,15,C-001,Design Specification,The project will include up to 84 WTGs.,84.0,WTGs,2.4,Lease Area,The Project (Preferred Alternative in the Final EIS) consists of up to 84 wind turbine generators (WTGs) at 87 potential locations,Wind Turbine Generators
gemini,gemini-1.5-pro,15,C-002,Design Specification,Each WTG will have a maximum generation capacity of 11 MW.,11.0,MW,2.4,Lease Area,each of which would have an up to 11 MW generation capacity,Wind Turbine Generators
gemini,gemini-1.5-pro,15,C-003,Design Specification,Up to 135 inter-array cables will be installed.,135.0,cables,2.4,Lease Area,and up to 135 inter-array cables,Inter-Array Cables
gemini,gemini-1.5-pro,15,C-004,Design Specification,Conduit will be buried 45-60 feet below the ocean bottom.,45.0,feet,4.8,Fire Island National Seashore,The conduit will be installed by horizontal directional drill (HDD) boring at a depth of forty-five to sixty (45-60) feet below the ocean bottom,Conduit
gemini,gemini-1.5-pro,15,C-005,Operational Parameter,No pile driving between January 1 and April 30.,,,Appendix H,Lease Area,BOEM intends to require a restriction on all pile driving between January 1 and April 30.,Wind Turbine Generators
gemini,gemini-1.5-pro,15,C-006,Environmental Mitigation,WTG placement prioritizes removal of WTGs in and near Priority Area 1.,,,Appendix H,Priority Area 1,"BOEM intends to include a WTG Position Prioritization condition to prioritize removal of WTGs in and near Priority Area 1, if any WTGs can be removed.",Wind Turbine Generators
gemini,gemini-1.5-pro,15,C-007,Environmental Mitigation,Anchoring and buoy placement restricted within 500m of sensitive habitats and other resources.,500.0,m,5.6.2,"Within 500m of sensitive habitats, boulders >= 0.5m, ASLFs, shipwrecks, cables, pipelines, and other man-made infrastructure","within 1,640 feet (500 m) of habitats, resources, and submerged infrastructure that are sensitive",Wind Turbine Generators
gemini,gemini-1.5-pro,15,C-008,Environmental Mitigation,Clearance and shutdown zones for pile driving activities (May-November; December values in parentheses).,,,5.10.5,Lease Area,The clearance and shutdown zones for May to November are defined in the table below (numbers in parentheses are distances for December).,Wind Turbine Generators
gemini,gemini-1.5-pro,15,C-009,Environmental Mitigation,Minimum visibility requirements for pile driving clearance procedures (May-November; December values in parentheses).,,,5.10.5,Lease Area,"The clearance procedures for WTG foundation pile driving cannot begin until the lead PSO has determined that there is minimum visibility of at least 2,300 m from May to November and 4,400 m in December; for OCS-DC foundations, the minimum visibility requirements are 1,600 m May to November and 2,700 m in December.",Wind Turbine Generators
gemini,gemini-1.5-pro,15,C-010,Environmental Mitigation,"Continuous PAM recording at least 30 days before, during, and after pile installation, and for at least 3 but no more than 10 years of operation.",,,5.5.6,Lease Area,"The Lessee must conduct continuous recording at least 30 days before the start of pile installation, through pile installation, initial operation, and for at least 3 but no more than 10 full calendar years of operations",Wind Turbine Generators
