model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
deepseek,deepseek-chat,20,C-001,Design Specification,WTGs must be spaced in a 0.93 by 0.75 nautical mile offset grid pattern.,0.93,nautical miles,3.1,Lease Area,Dominion would space WTGs in a 0.93- by 0.75-nautical-mile offset grid pattern (east–west by northwest by southeast gridded layout).,Wind Turbine Generators
deepseek,deepseek-chat,20,C-002,Environmental Mitigation,WTGs can be microsited up to 500 feet to avoid sensitive cultural resources and marine habitats.,500.0,feet,3.1,Lease Area,This configuration would still allow micrositing of WTGs (up to 500 feet) to avoid sensitive cultural resources and marine habitats.,Wind Turbine Generators
deepseek,deepseek-chat,20,C-003,Environmental Mitigation,WTGs must avoid the Fish Haven area and proposed vessel traffic fairway.,,,3.1,Fish Haven area and northwest corner of Lease Area,"However, under Alternative B, the Fish Haven area located along the northern boundary of the Lease Area would be an exclusion zone (e.g., eight WTGs and associated infrastructure would not be developed or placed in the Fish Haven area). Additionally, three WTGs and associated inter-array cables would be excluded from the northwest corner of the Lease Area to avoid a proposed vessel traffic fairway.",Wind Turbine Generators
deepseek,deepseek-chat,20,C-004,Environmental Mitigation,WTGs must avoid sand ridge habitat by micrositing or relocation.,,,3.1,Sand ridge habitat within Lease Area,"Alternative C would also avoid sand ridge habitat by a combination of: micrositing WTGs, inter-array cables or OSSs (up to 500 feet); the removal of four WTGs within priority sand ridge habitat, and the relocation of one WTG.",Wind Turbine Generators
deepseek,deepseek-chat,20,C-005,Environmental Mitigation,"Export cables must avoid steep slopes, complex habitat, and boulders greater than or equal to 0.5 meters in diameter.",0.5,meters,5.7.3,Lease Area,"The Lessee must prepare and implement a Micrositing Plan that describes how WTG locations, OSS locations, inter-array, and export cable routes will be microsited to avoid or minimize impacts to steep slopes with gradients greater than or equal to 10 degrees, complex habitat, boulders greater than or equal to 0.5 meters in diameter and confirmed MEC/UXO.",Export Cables
deepseek,deepseek-chat,20,C-006,Safety Standard,"PSOs and PAM operators must be used before, during, and after all foundation installation activities.",,,5.12.4,Lease Area,"The Lessee must use PSOs and PAM operators before, during, and after all foundation installation activities.",Wind Turbine Generators
deepseek,deepseek-chat,20,C-007,Safety Standard,Clearance zone for NARW during impact pile driving is any distance observable by PSOs.,,,5.12.5,Lease Area,NARW – visual detection: Minimum visibility zone plus any additional distance observable by the visual PSOs,Wind Turbine Generators
deepseek,deepseek-chat,20,C-008,Safety Standard,Shutdown zone for NARW during impact pile driving is any distance observable by PSOs.,,,5.12.5,Lease Area,NARW – visual detection: Minimum visibility zone plus any additional distance observable by the visual PSOs,Wind Turbine Generators
deepseek,deepseek-chat,20,C-009,Safety Standard,"Clearance zone for fin, sei, and sperm whales during impact pile driving is 5,100 meters.",5100.0,meters,5.12.5,Lease Area,"Fin, Sei, and Sperm Whale – WTG: 5,100",Wind Turbine Generators
deepseek,deepseek-chat,20,C-010,Safety Standard,"Shutdown zone for fin, sei, and sperm whales during impact pile driving is 1,750 meters.",1750.0,meters,5.12.5,Lease Area,"Fin, Sei, and Sperm Whale – WTG: 1,750",Wind Turbine Generators
deepseek,deepseek-chat,20,C-011,Safety Standard,"Clearance zone for sea turtles during impact pile driving is 1,000 meters.",1000.0,meters,5.12.5,Lease Area,"Sea Turtles: 1,000",Wind Turbine Generators
deepseek,deepseek-chat,20,C-012,Safety Standard,Shutdown zone for sea turtles during impact pile driving is 500 meters.,500.0,meters,5.12.5,Lease Area,Sea Turtles: 500,Wind Turbine Generators
deepseek,deepseek-chat,20,C-013,Safety Standard,Clearance zone for NARW during HRG surveys is 500 meters.,500.0,meters,5.13.2,Lease Area,NARW – visual detections: 500,Wind Turbine Generators
deepseek,deepseek-chat,20,C-014,Safety Standard,Shutdown zone for NARW during HRG surveys is 500 meters.,500.0,meters,5.13.2,Lease Area,NARW – visual detections: 500,Wind Turbine Generators
deepseek,deepseek-chat,20,C-015,Safety Standard,"Clearance zone for fin, sei, and sperm whales during HRG surveys is 500 meters.",500.0,meters,5.13.2,Lease Area,"Fin, sei, and sperm whale: 500",Wind Turbine Generators
deepseek,deepseek-chat,20,C-016,Safety Standard,"Shutdown zone for fin, sei, and sperm whales during HRG surveys is 500 meters.",500.0,meters,5.13.2,Lease Area,"Fin, sei, and sperm whale: 500",Wind Turbine Generators
deepseek,deepseek-chat,20,C-017,Safety Standard,Clearance zone for sea turtles during HRG surveys is 500 meters.,500.0,meters,5.13.2,Lease Area,Sea Turtles: 500,Wind Turbine Generators
deepseek,deepseek-chat,20,C-018,Safety Standard,Shutdown zone for sea turtles during HRG surveys is 100 meters.,100.0,meters,5.13.2,Lease Area,Sea Turtles: 100,Wind Turbine Generators
