model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
claude,claude-3-haiku-20240307,22,C-001,Design Specification,The Project will consist of up to 98 wind turbine generators,98.0,,3.1,Lease Area,"Under Alternative A, the construction, O&M, and conceptual decommissioning of an 1,100- MW wind energy facility consisting of up to 98 WTGs, up to three alternating-current OSSs, inter-array cables linking the individual WTGs to the OSS(s), and substation interconnector cables linking the substations to each other would be developed in the Lease Area, approximately 13 nm southeast of Atlantic City, New Jersey.",Wind Turbine Generators
claude,claude-3-haiku-20240307,22,C-002,Design Specification,The Project will include up to three alternating-current offshore substations,3.0,,3.1,Lease Area,"Under Alternative A, the construction, O&M, and conceptual decommissioning of an 1,100- MW wind energy facility consisting of up to 98 WTGs, up to three alternating-current OSSs, inter-array cables linking the individual WTGs to the OSS(s), and substation interconnector cables linking the substations to each other would be developed in the Lease Area, approximately 13 nm southeast of Atlantic City, New Jersey.",Offshore Substation
claude,claude-3-haiku-20240307,22,C-003,Design Specification,The Project will include up to three offshore export cables installed within two export cable route corridors,3.0,,3.1,Lease Area and Export Cable Route Corridors,Up to three offshore export cables (installed within two export cable route corridors) that connect to onshore export cable systems and two onshore substations with connections to the existing electrical grid in New Jersey at BL England and Oyster Creek would also be developed.,Offshore Export Cables
claude,claude-3-haiku-20240307,22,C-004,Design Specification,The onshore export cable systems will connect the offshore export cables to the existing electrical grid in New Jersey,,,3.1,Onshore Export Cable Route Corridors,Up to three offshore export cables (installed within two export cable route corridors) that connect to onshore export cable systems and two onshore substations with connections to the existing electrical grid in New Jersey at BL England and Oyster Creek would also be developed.,Onshore Export Cable Systems
claude,claude-3-haiku-20240307,22,C-005,Design Specification,The Project will include two onshore substations with connections to the existing electrical grid in New Jersey,2.0,,3.1,Onshore Substation Locations,Up to three offshore export cables (installed within two export cable route corridors) that connect to onshore export cable systems and two onshore substations with connections to the existing electrical grid in New Jersey at BL England and Oyster Creek would also be developed.,Onshore Substations
claude,claude-3-haiku-20240307,22,C-006,Design Specification,"The BL England export cable route corridor would make landfall in Ocean City, New Jersey",,,3.1,BL England Export Cable Route Corridor,"The BL England export cable route corridor would landfall in Ocean City, New Jersey, and the Oyster Creek export cable route corridor would landfall in Lacey Township, New Jersey.",Offshore Export Cables
claude,claude-3-haiku-20240307,22,C-007,Design Specification,"The Oyster Creek export cable route corridor would make landfall in Lacey Township, New Jersey",,,3.1,Oyster Creek Export Cable Route Corridor,"The BL England export cable route corridor would landfall in Ocean City, New Jersey, and the Oyster Creek export cable route corridor would landfall in Lacey Township, New Jersey.",Offshore Export Cables
claude,claude-3-haiku-20240307,22,C-008,Design Specification,The Project will use a rotor diameter up to 240 meters for the wind turbine generators,240.0,meters,3.1,Lease Area,The Project Design Envelope (PDE) parameters for WTGs outlined in the COP include a rotor diameter up to 240 meters.,Wind Turbine Generators
claude,claude-3-haiku-20240307,22,C-009,Design Specification,The Project will use wind turbine generators with a capacity range from 12.4 MW to 14.7 MW,,,3.1,Lease Area,Current and near-term commercially available WTGs likely used for this Project range from a 12.4-MW WTG (smaller turbine model) to a 14.7-MW WTG (larger turbine model).,Wind Turbine Generators
claude,claude-3-haiku-20240307,22,C-010,Design Specification,"The Project will have a total nameplate capacity of 1,100 MW",1100.0,MW,3.1,Lease Area,"Under Alternative A, the construction, O&M, and conceptual decommissioning of an 1,100- MW wind energy facility consisting of up to 98 WTGs, up to three alternating-current OSSs, inter-array cables linking the individual WTGs to the OSS(s), and substation interconnector cables linking the substations to each other would be developed in the Lease Area, approximately 13 nm southeast of Atlantic City, New Jersey.",Wind Turbine Generators
