model_type,model_name,document_id,constraint_id,category,description,source_section_number,geographic_scope,context_quote,component_name,value,unit
claude,claude-3-haiku-20240307,19,C-001,Design Specification,The wave and current buoy will be deployed approximately 2 months prior to construction and remain in place for less than 1 year.,1.1,Approximately 500 meters east of the turbine locations,"Dominion no longer intends to install the three metocean instrumentation platforms in the Research Lease Area as detailed in the Site Assessment Plan (SAP) submitted to BOEM in December 2014. However, a small wave and current buoy will be deployed approximately 2 months prior to construction. The buoy will be temporarily deployed within the area that has been previously surveyed and evaluated in support of the Project. The buoy will remain in place for less than 1 year.",Wave and Current Buoy,,
claude,claude-3-haiku-20240307,19,C-002,Design Specification,The wave and current buoy will have a diameter of 0.5 to 1.5 meters.,1.1,Deployment location,"Depending on the selected buoy type, its diameter will be 1.6 to 4.9 ft (0.5 to 1.5 m).",Wave and Current Buoy,1.5,meters
claude,claude-3-haiku-20240307,19,C-003,Design Specification,"The wave and current buoy will have an impact resistant stainless-steel hull and be equipped with solar panels, a transmission antenna, and a navigational flashing light.",1.1,Deployment location,"The buoy will have an impact resistant stainless-steel hull and be equipped with solar panels on its upper half, which may also include a transmission antenna and a navigational flashing light.",Wave and Current Buoy,,
claude,claude-3-haiku-20240307,19,C-004,Design Specification,The wave and current buoy will be powered by lead acid or lithium batteries charged through the solar panels.,1.1,Deployment location,The wave buoy will be powered either by lead acid or lithium batteries charged through the solar panels.,Wave and Current Buoy,,
claude,claude-3-haiku-20240307,19,C-005,Design Specification,"The wave and current buoy mooring system will consist of an anchor weight of approximately 800 kg and a mooring line with a combination of ropes and chains, which may also include floats.",1.1,Deployment location,"The buoy mooring system will consist of an anchor weight (e.g., 1,763 lb [800kg]) and a mooring line designed as a combination of ropes and chains, which may also include floats.",Wave and Current Buoy,800,kg
claude,claude-3-haiku-20240307,19,C-006,Design Specification,The mooring scope for the wave and current buoy will have a radius of 55 meters.,1.1,Deployment location,"Based on a standard mooring configuration at a water depth of approximately 83.6 ft (25.5 m MLLW), the mooring scope will have a radius of 180 ft (55 m).",Wave and Current Buoy,55,meters
claude,claude-3-haiku-20240307,19,C-007,Design Specification,The anchor footprint of the wave and current buoy on the seabed is approximately 1 square meter.,1.1,Deployment location,The anchor footprint on the seabed is approximately 10.7 (ft [2] ) (1 m [2] ) and the expected vertical penetration of the anchor weight into the seabed is less than -6.5 ft (-2 m).,Wave and Current Buoy,1,square meters
claude,claude-3-haiku-20240307,19,C-008,Design Specification,The wave and current buoy will be deployed approximately 500 meters east of the turbine locations.,1.1,Deployment location,"The deployment location proposed is approximately 1,640 ft (500 m) to the east of the two turbine locations, which would provide sufficient clearance for the installation operations to occur.",Wave and Current Buoy,500,meters
claude,claude-3-haiku-20240307,19,C-009,Design Specification,The maximum height of each wind turbine generator (WTG) will range from 591 to 617 feet (180 to 188 meters) measured from mean sea level to the rotor tip.,3.2.1,Wind turbine locations,"The maximum height of each turbine is proposed to range from 591 to 617 feet (180 to 188 meters [m]), measured from mean sea level (MSL) to rotor tip.",Wind Turbine Generators,617,feet
claude,claude-3-haiku-20240307,19,C-010,Design Specification,"The two wind turbines will be sited approximately 3,445 feet (1,050 meters) apart in a north-south orientation.",3.2.1,Wind turbine locations,"The turbines will be sited approximately 3,445 ft (1,050 m) apart in a north-south orientation.",Wind Turbine Generators,3445,feet
claude,claude-3-haiku-20240307,19,C-011,Design Specification,"The wind turbines will be equipped with FAA lighting consisting of L-864 medium intensity aeronautical lights with a flash rate of 20 flashes per minute on the nacelle, and USCG lighting consisting of two quick flashing, amber lights with 4 nautical mile visibility placed on the foundation at a height of not more than 50 feet above the highest astronomical tide.",3.2.1,Wind turbine locations,"FAA lighting will consist of L-864 medium intensity aeronautical lights with a flash rate of 20 flashes per minute (FPM) atop each WTG nacelle. USCG lighting will consist of two (2) quick flashing, amber lights with 4 nm (7.4 km) 360-degree visibility placed on the foundation of each WTG at a height of not more than 50 ft (15 m) above the highest astronomical tide.",Wind Turbine Generators,,
claude,claude-3-haiku-20240307,19,C-012,Design Specification,"The Onshore Interconnection Cable and Fiber Optic Cable will be installed via a series of horizontal directional drill (HDD) segments, with no direct burial or trenching proposed.","3.1.2, 3.2.5, 3.3.2.2",Onshore cable route,"Between the Switch Cabinet at Camp Pendleton Beach and the Interconnection Station on the Gate 10 Access Road, the Onshore Interconnection Cable and Fiber Optic Cable will be installed via a series of HDD segments, as approved in the RAP. No direct burial or trenching is proposed for the onshore cables, which is also consistent with what was included in the approved RAP.",Onshore Interconnection Cable,,
claude,claude-3-haiku-20240307,19,C-013,Design Specification,The Onshore Interconnection Cable and Fiber Optic Cable will be installed in separate boreholes approximately 3 feet (0.9 meters) apart and buried to a minimum depth of 3.3 feet (1 meter).,"3.1.2, 3.2.5, 3.3.2.2",Onshore cable route,The Onshore Interconnection Cable and Fiber Optic Cable will be installed in separate boreholes approximately 3 ft (0.9 m) apart and buried to a minimum depth of 3.3 ft (1 m) to be consistent with local utility standards.,Onshore Interconnection Cable,3.3,feet
claude,claude-3-haiku-20240307,19,C-014,Design Specification,"The Onshore Interconnection Cable and Fiber Optic Cable will be installed in 13 HDD segments, with each segment ranging from approximately 230 to 500 feet (70 to 152 meters) in length, except for the Lake Christine crossing which will range from 935 to 1,200 feet (285 to 366 meters).","3.1.2, 3.2.5, 3.3.2.2",Onshore cable route,"Each HDD segment will range from approximately 230 ft (70 m) to 500 ft (152 m) in length, with the exception of the Lake Christine crossing, which will range from approximately 935 ft (285 m) to 1200 ft (366 m) in length.",Onshore Interconnection Cable,"[230, 500, 935, 1200]",feet
claude,claude-3-haiku-20240307,19,C-015,Design Specification,"The modified Onshore Interconnection Cable Route will require the use of up to 14 splice pits, each measuring 4 feet by 6 feet by 2 feet (1.2 meters by 1.8 meters by 0.6 meters).","3.1.2, 3.2.5, 3.3.2.2",Onshore cable route,"The modified cable route will require the use of up to 14 splice pits, which is an increase of 1 pit relative to the approved RAP. The size of each splice pit remains the same and will require the excavation of a 4.0 ft by 6.0 ft by 2.0 ft (1.2 m by 1.8 m by 0.6 m) splice pit.",Onshore Interconnection Cable,"[4, 6, 2]",feet
