model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
deepseek,deepseek-chat,23,C-001,Design Specification,Minimum nameplate capacity per WTG.,16,MW,3.1,Lease Area OCS-A 0534 and potentially a portion of OCS-A 0501,This equates to an approximate minimum nameplate capacity of 16 MW per WTG.,Wind Turbine Generators
deepseek,deepseek-chat,23,C-002,Design Specification,Number of WTGs to be installed.,129,units,3.1,Lease Area OCS-A 0534 and potentially a portion of OCS-A 0501,125 to 129 WTGs and 1 to 5 ESPs to be installed in 130 positions.,Wind Turbine Generators
deepseek,deepseek-chat,23,C-003,Design Specification,Number of ESPs to be installed.,5,units,3.1,Lease Area OCS-A 0534 and potentially a portion of OCS-A 0501,125 to 129 WTGs and 1 to 5 ESPs to be installed in 130 positions.,Electrical Service Platforms
deepseek,deepseek-chat,23,C-004,Design Specification,Number of offshore export cables for Phase 1.,2,units,3.1,Eastern OECC in Muskeget Channel,"Five offshore electrical transmission cables, including two for Phase 1 and three for Phase 2, would be installed in an offshore export cable corridor (OECC).",Offshore Export Cable Corridor
deepseek,deepseek-chat,23,C-005,Design Specification,Number of offshore export cables for Phase 2.,3,units,3.1,"Eastern OECC in Muskeget Channel, Western Variant in Muskeget Channel, and/or South Coast Variant","Five offshore electrical transmission cables, including two for Phase 1 and three for Phase 2, would be installed in an offshore export cable corridor (OECC).",Offshore Export Cable Corridor
deepseek,deepseek-chat,23,C-006,Operational Parameter,Vessel speed limit in Seasonal Management Areas and Dynamic Management Areas.,10,knots,5.11,Seasonal Management Area (SMA) and Dynamic Management Area (DMA) or Slow Zone for North Atlantic right whales,"Regardless of vessel size, vessel operators must reduce vessel speed to 10 knots (18.5 mph) or less while operating in any Seasonal Management Area (SMA) and Dynamic Management Area (DMA) or Slow Zone for North Atlantic right whales.",Wind Turbine Generators
deepseek,deepseek-chat,23,C-007,Safety Standard,Clearance zone for North Atlantic right whale during monopile foundation installation.,2100,meters,5.13,Minimum visibility zone from each PSO platform,"Minimum visibility zone from each PSO platform (pile driving vessel and at least one PSO vessel): 2,100 m monopile; PAM monitoring out to 12,000 m.",Wind Turbine Generators
deepseek,deepseek-chat,23,C-008,Safety Standard,"Clearance zone for blue, fin, sei, and sperm whale during monopile foundation installation.",3300,meters,5.13,Minimum visibility zone from each PSO platform,"Blue, Fin, sei, and sperm whale (visual and PAM monitoring/detection): 3,300.",Wind Turbine Generators
deepseek,deepseek-chat,23,C-009,Safety Standard,"Shutdown zone for blue, fin, sei, and sperm whale during monopile foundation installation.",2700,meters,5.13,Minimum visibility zone from each PSO platform,"Blue, Fin, sei, and sperm whale (visual and PAM monitoring/detection): 2,700.",Wind Turbine Generators
deepseek,deepseek-chat,23,C-010,Safety Standard,Clearance and shutdown zone for sea turtles during monopile foundation installation.,250,meters,5.13,Minimum visibility zone from each PSO platform,Sea Turtles (visual detection): 250.,Wind Turbine Generators
