model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
deepseek,deepseek-chat,14,C-001,Design Specification,The Met Buoy measures 19.7 ft long by 10.2 ft wide with a vertical profile of approximately 13.8 ft from the sea surface to the top of the hull mast.,19.7,ft,3.1,Met Buoy Installation Area,The NOMAD hull consists of marine grade aluminum and measures 19.7 ft (6 m) long by 10.2 ft (3.1 m) wide. The vertical profile of the Met Buoy including instrumentation will be approximately 13.8 ft (4.2 m) from the sea surface to the top of the hull mast.,AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-002,Design Specification,The anchors weigh a total of up to 10 metric tons and sit on the seabed for an area of up to 108 ft².,10.0,metric tons,3.1,Met Buoy Installation Area,The anchors would weigh a total of up to 10 metric tons and sit on the seabed for an area of up to 108 ft [2] (10 m [2] ).,Mooring System
deepseek,deepseek-chat,14,C-003,Design Specification,The anchor chain sweep associated with the long-term operation of the Met Buoy is anticipated to be approximately 12 acres.,12.0,acres,3.1,Met Buoy Installation Area,The area of the anchor chain sweep associated with the long-term operation of the Met Buoy is anticipated to be approximately 12 acres (based on an anchor chain radius of approximately 410 ft (125 m) on the sea floor.,Mooring System
deepseek,deepseek-chat,14,C-004,Operational Parameter,The operational life of the Met Buoy is anticipated to be 6 years.,6.0,years,3.2,Met Buoy Installation Area,The operational life of the Met Buoy is anticipated to be 6 years.,AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-005,Environmental Mitigation,Vessels must maintain a separation distance of 500 m or greater from any sighted North Atlantic right whale(s).,500.0,m,4.4,Met Buoy Installation Area,"The Lessee must ensure all vessels maintain a separation distance of 500 m (1,640 ft) or greater from any sighted North Atlantic right whale(s).",AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-006,Environmental Mitigation,Vessels must maintain a separation distance of 100 m or greater from any sighted non-delphinoid cetacean(s) other than a North Atlantic right whale.,100.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure all vessels maintain a separation distance of 100 m (328 ft) or greater from any sighted non-delphinoid cetacean(s) other than a North Atlantic right whale.,AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-007,Environmental Mitigation,Vessels must maintain a separation distance of 50 m or greater from any sighted delphinoid cetacean(s).,50.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean(s).,AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-008,Environmental Mitigation,Vessels must maintain a separation distance of 50 m or greater from any sighted sea turtle(s).,50.0,m,4.4,Met Buoy Installation Area,The Lessee must ensure all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted sea turtle(s).,AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-009,Operational Parameter,The Met Buoy will carry approximately 225 gallons of diesel to provide fuel for the backup generator.,225.0,gallons,4.6,Met Buoy Installation Area,The Met Buoy will carry approximately 225 gallons of diesel to provide fuel for the backup generator.,AXYS FLiDAR 6M Meteorological Buoy
deepseek,deepseek-chat,14,C-010,Operational Parameter,The Met Buoy is capable of operating at full capacity without renewable power or backup generator supply to the batteries for up to one week.,1.0,week,5.4,Met Buoy Installation Area,The Met Buoy is capable of operating at full capacity without renewable power or backup generator supply to the batteries for up to one week.,AXYS FLiDAR 6M Meteorological Buoy
