model_type,model_name,document_id,constraint_id,category,description,source_section_number,geographic_scope,context_quote,component_name,value,unit
claude,claude-3-haiku-20240307,2,C-001,Design Specification,"The Site Assessment Plan (SAP) must include a description of the site assessment or technology testing concept, including the objectives, proposed activities, and schedule.",295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (2) The site assessment or technology testing concept; a discussion of the objectives; description of the proposed activities, including the technology you will use; and proposed schedule from start to completion.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-002,Design Specification,"The SAP must include a location plat showing the surface location and water depth for all proposed and existing structures, facilities, and appurtenances located both offshore and onshore.",295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (5) A location plat; the surface location and water depth for all proposed and existing structures, facilities, and appurtenances located both offshore and onshore.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-003,Environmental Mitigation,"The SAP must include a description of the measures the lessee will use to avoid, minimize, reduce, eliminate, and monitor environmental impacts.",295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (8) Your proposed measures for avoiding, minimizing, reducing, eliminating, and monitoring environmental impacts; a description of the measures you will use to avoid or minimize adverse effects and any potential incidental take, before you conduct activities on your lease, and how you will mitigate environmental impacts from your proposed activities, including a description of the measures you will use as required by part 285, subpart H, of this title.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-004,Design Specification,"The SAP must include information on the general structural and project design, fabrication, and installation for each type of facility associated with the project.",295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (6) General structural and project design, fabrication, and installation; information for each type of facility associated with your project.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-005,Design Specification,"The SAP must include information on the deployment activities, including safety, prevention, and environmental protection features or measures that will be used.",295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (7) Deployment activities; a description of the safety, prevention, and environmental protection features or measures that you will use.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-006,Design Specification,The SAP must include information on the decommissioning and site clearance procedures.,295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (11) Decommissioning and site clearance procedures; a discussion of methodologies.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-007,Regulatory Requirement,"The SAP must include a listing of all federal, state, and local authorizations or approvals required to conduct site assessment activities on the lease, and a statement indicating whether such authorization or approval has been applied for or obtained.",295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (13) A listing of all Federal, State, and local authorizations or approvals required to conduct site assessment activities on your lease; a statement indicating whether such authorization or approval has been applied for or obtained.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-008,Regulatory Requirement,The SAP must include statements attesting that the activities and facilities proposed in the SAP are or will be covered by an appropriate bond or other approved security.,295,Lease Area,"Your SAP must include the following information, as applicable. (a) For all activities you propose to conduct under your SAP, you must provide the following information: (15) Financial assurance information; statements attesting that the activities and facilities proposed in your SAP are or will be covered by an appropriate bond or other approved security, as required in §§ 585.515 and 585.516.",Site Assessment Plan (SAP),,
claude,claude-3-haiku-20240307,2,C-009,Design Specification,"The Construction and Operations Plan (COP) must include the results of shallow hazards surveys, showing information sufficient to determine the presence and likely effects of various seafloor and subsurface features.",308,Lease Area,"Your COP must include the following information: (a) You must submit the results of the following surveys for the proposed site(s) of your facility(ies). (1) Shallow hazards; the results of the shallow hazards survey with supporting data; information sufficient to determine the presence of the following features and their likely effects on your proposed facility, including: (i) Shallow faults; (ii) Gas seeps or shallow gas; (iii) Slump blocks or slump sediments; (iv) Hydrates; or (v) Ice scour of seabed sediments.",Construction and Operations Plan (COP),,
claude,claude-3-haiku-20240307,2,C-010,Design Specification,"The COP must include the results of a geological survey relevant to the design and siting of the facility, including assessments of seismic activity, fault zones, seabed subsidence, and faulting attenuation effects.",308,Lease Area,Your COP must include the following information: (a) You must submit the results of the following surveys for the proposed site(s) of your facility(ies). (2) Geological survey relevant to the design and siting of your facility; the results of the geological survey with supporting data; assessment of: (i) Seismic activity at your proposed site; (ii) Fault zones; (iii) The possibility and effects of seabed subsidence; and (iv) The extent and geometry of faulting attenuation effects of geologic conditions near your site.,Construction and Operations Plan (COP),,
claude,claude-3-haiku-20240307,2,C-011,Design Specification,"The COP must include the results of a biological survey, describing the presence of live bottoms, hard bottoms, topographic features, and other marine resources such as fish, marine mammals, sea turtles, and seabirds.",308,Lease Area,"Your COP must include the following information: (a) You must submit the results of the following surveys for the proposed site(s) of your facility(ies). (3) Biological; the results of the biological survey with supporting data; a description of the results of biological surveys used to determine the presence of live bottoms, hard bottoms, and topographic features, and surveys of other marine resources such as fish populations (including migratory populations), marine mammals, sea turtles, and sea birds.",Construction and Operations Plan (COP),,
claude,claude-3-haiku-20240307,2,C-012,Design Specification,"The COP must include the results of a geotechnical survey program to investigate the seafloor and subsurface conditions, including in-situ testing, boring, and sampling at each foundation location.",308,Lease Area,"Your COP must include the following information: (a) You must submit the results of the following surveys for the proposed site(s) of your facility(ies). (4) Geotechnical survey; the results of your sediment testing program with supporting data, the various field and laboratory test methods employed, and the applicability of these methods as they pertain to the quality of the samples, the type of sediment, and the anticipated design application. You must explain how the engineering properties of each sediment stratum affect the design of your facility. In your explanation, you must describe the uncertainties inherent in your overall testing program, and the reliability and applicability of each test method.",Construction and Operations Plan (COP),,
claude,claude-3-haiku-20240307,2,C-013,Design Specification,"The COP must include the results of an archaeological resources survey, describing any historic and prehistoric archaeological resources.",308,Lease Area,"Your COP must include the following information: (a) You must submit the results of the following surveys for the proposed site(s) of your facility(ies). (5) Archaeological resources; the results of the archaeological resource survey with supporting data; a description of the historic and prehistoric archaeological resources, as required by the NHPA (16 U.S.C. 470 et. seq.), as amended.",Construction and Operations Plan (COP),,
claude,claude-3-haiku-20240307,2,C-014,Design Specification,"The COP must include an overall site investigation report that integrates the findings of the shallow hazards, geological, and geotechnical surveys, and analyzes the potential for various seafloor and subsurface conditions that could affect the facility design.",308,Lease Area,"Your COP must include the following information: (a) You must submit the results of the following surveys for the proposed site(s) of your facility(ies). (6) Overall site investigation; an overall site investigation report for your facility that integrates the findings of your shallow hazards surveys and geologic surveys, and, if required, your subsurface surveys with supporting data; an analysis of the potential for: (i) Scouring of the seabed; (ii) Hydraulic instability; (iii) The occurrence of sand waves; (iv) Instability of slopes at the facility location; (v) Liquefaction, or possible reduction of sediment strength due to increased pore pressures; (vi) Degradation of subsea permafrost layers; (vii) Cyclic loading; (viii) Lateral loading; (ix) Dynamic loading; (x) Settlements and displacements; (xi) Plastic deformation and formation collapse mechanisms; and (xii) Sediment reactions on the facility foundations or anchoring systems.",Construction and Operations Plan (COP),,
claude,claude-3-haiku-20240307,2,C-015,Design Specification,"The COP must include information on all cables and pipelines, including their location, design, installation methods, testing, maintenance, repair, safety devices, exterior corrosion protection, inspections, and decommissioning.",309,Lease Area,"Your COP must include the following information: (b) Your COP must include the following project-specific information, as applicable. (7) All cables and pipelines, including cables on project easements; location, design and installation methods, testing, maintenance, repair, safety devices, exterior corrosion protection, inspections, and decommissioning.",Construction and Operations Plan (COP),,
