model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
claude,claude-3-haiku-20240307,7,C-001,Design Specification,"The project will consist of up to 114 wind turbine generators (WTGs), each ranging from 14 to 18 MW in capacity.",114.0,,2.1,Lease Area,"The Project (full build-out) is comprised of up to 121 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 4 offshore export cables, and 1 meteorological tower (met tower), distributed across the Lease Area. Based on USCG recommendations in the New Jersey Port Access Route Study (PARS), US Wind's proposed layout included a 1 nmi (1.9 km) setback from the outer boundary of the south-eastbound traffic lane of the current Traffic Separation Scheme for the southeastern approach to the Delaware Bay or its proposed extension, which removed 7 of the 121 WTG positions, resulting in a total of up to 114 WTGs.",Wind Turbine Generators
claude,claude-3-haiku-20240307,7,C-002,Design Specification,The wind turbine generators will range in capacity from 14 to 18 MW each.,14.0,MW,2.1,Lease Area,"The Project (full build-out) is comprised of up to 121 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 4 offshore export cables, and 1 meteorological tower (met tower), distributed across the Lease Area. Based on USCG recommendations in the New Jersey Port Access Route Study (PARS), US Wind's proposed layout included a 1 nmi (1.9 km) setback from the outer boundary of the south-eastbound traffic lane of the current Traffic Separation Scheme for the southeastern approach to the Delaware Bay or its proposed extension, which removed 7 of the 121 WTG positions, resulting in a total of up to 114 WTGs.",Wind Turbine Generators
claude,claude-3-haiku-20240307,7,C-003,Design Specification,The project will include up to 4 offshore substations (OSSs).,4.0,,2.1,Lease Area,"The Project (full build-out) is comprised of up to 121 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 4 offshore export cables, and 1 meteorological tower (met tower), distributed across the Lease Area.",Offshore Substations
claude,claude-3-haiku-20240307,7,C-004,Design Specification,The project will include up to 4 offshore export cables.,4.0,,2.1,Lease Area,"The Project (full build-out) is comprised of up to 121 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 4 offshore export cables, and 1 meteorological tower (met tower), distributed across the Lease Area.",Offshore Export Cables
claude,claude-3-haiku-20240307,7,C-005,Design Specification,The project will include 1 meteorological tower (Met Tower).,1.0,,2.1,Lease Area,"The Project (full build-out) is comprised of up to 121 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 4 offshore export cables, and 1 meteorological tower (met tower), distributed across the Lease Area.",Meteorological Tower
claude,claude-3-haiku-20240307,7,C-006,Design Specification,"The offshore export cables will make landfall in Sussex County, Delaware.",,,2.1,"Sussex County, Delaware","The offshore export cables are planned to make landfall in Sussex County, Delaware.",Offshore Export Cables
claude,claude-3-haiku-20240307,7,C-007,Design Specification,"The project will be interconnected to the onshore electric grid by up to four new 230 kilovolt (kV) export cables to new US Wind onshore substations, with an anticipated connection to the existing Indian River substation near Millsboro, Delaware.",230.0,kV,2.1,"Onshore grid connection near Millsboro, Delaware","The Project will be interconnected to the onshore electric grid by up to four new 230 kilovolt (kV) export cables to new US Wind onshore substations, with an anticipated connection to the existing Indian River substation near Millsboro, Delaware.",Offshore Export Cables
claude,claude-3-haiku-20240307,7,C-008,Operational Parameter,The wind turbine generators will be arranged in a 0.77 by 1.02 nautical-mile (nmi) (east-west by north-south) gridded array pattern distributed across the Lease Area.,,,2.1,Lease Area,"The Project (full build-out) is comprised of up to 121 wind turbine generators (WTGs), up to 4 offshore substations (OSSs), up to 4 offshore export cables, and 1 meteorological tower (met tower), with a total of up to 126 structures in a 0.77 by 1.02 nautical-mile (nmi) (east-west by north-south) gridded array pattern distributed across the Lease Area.",Wind Turbine Generators
claude,claude-3-haiku-20240307,7,C-009,Environmental Mitigation,The wind turbine layout includes a 1 nautical mile (nmi) setback from the outer boundary of the south-eastbound traffic lane of the current Traffic Separation Scheme for the southeastern approach to the Delaware Bay or its proposed extension.,1.0,nmi,2.1,Outer boundary of the south-eastbound traffic lane of the Delaware Bay Traffic Separation Scheme,"Based on USCG recommendations in the New Jersey Port Access Route Study (PARS), US Wind's proposed layout included a 1 nmi (1.9 km) setback from the outer boundary of the south-eastbound traffic lane of the current Traffic Separation Scheme for the southeastern approach to the Delaware Bay or its proposed extension, which removed 7 of the 121 WTG positions, resulting in a total of up to 114 WTGs.",Wind Turbine Generators
claude,claude-3-haiku-20240307,7,C-010,Environmental Mitigation,Project vessels must not travel faster than 10 knots while in the Block Island Sound Transit Lane.,10.0,knots,4.1.2,Block Island Sound Transit Lane,"To protect sensitive habitats, vessel speeds for all project vessels shall not exceed 10 knots within the Block Island Sound Transit Lane.",Project Vessels
claude,claude-3-haiku-20240307,7,C-011,Environmental Mitigation,Cable trenching is forbidden within a 500-meter buffer zone around the historic shipwreck designated No. 551B.,500.0,meters,4.1.2,Area within 500 meters of historic shipwreck (No. 551B),"Furthermore, trenching activities are prohibited within 500 meters of the identified historic shipwreck (No. 551B) at all times.",Offshore Export Cables
