model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
gemini,gemini-1.5-pro,27,C-001,Design Specification,Two FLiDAR buoys will be deployed.,2.0,buoys,1,Lease Area,Equinor Wind US LLC has prepared this Site Assessment Plan (SAP) in support of the installation and operation of two floating light detection and ranging buoys (FLiDARs),RPS FLiDAR Buoy
gemini,gemini-1.5-pro,27,C-002,Design Specification,One metocean buoy will be deployed.,1.0,buoy,1,Lease Area,Equinor Wind US LLC has prepared this Site Assessment Plan (SAP) in support of the installation and operation of ... one metocean buoy,RPS Wave and Met Buoy
gemini,gemini-1.5-pro,27,C-003,Design Specification,One subsurface current meter mooring will be deployed.,1.0,mooring,1,Lease Area,Equinor Wind US LLC has prepared this Site Assessment Plan (SAP) in support of the installation and operation of ... one subsurface current meter mooring,CM/CT Mooring
gemini,gemini-1.5-pro,27,C-004,Operational Parameter,FLiDAR buoys will be decommissioned after two years of operation.,2.0,years,3.1,Lease Area,The two RPS FLiDAR Buoys are scheduled to be decommissioned at the end of their two-year operational life,RPS FLiDAR Buoy
gemini,gemini-1.5-pro,27,C-005,Operational Parameter,The Wave and Met Buoy will be decommissioned after four years.,4.0,years,3.1,Lease Area,the Met and Wave Buoy ... will be decommissioned at the end of four years.,RPS Wave and Met Buoy
gemini,gemini-1.5-pro,27,C-006,Operational Parameter,The CM/CT mooring will be decommissioned after four years.,4.0,years,3.1,Lease Area,the ... CM/CT mooring will be decommissioned at the end of four years.,CM/CT Mooring
gemini,gemini-1.5-pro,27,C-007,Design Specification,The FLiDAR buoy hull is 15.2 feet in diameter.,15.2,feet,3.1,Lease Area,The 5005-grade H34 aluminum superstructure is powder coated and measures 15.2 feet (ft) (4.63 meters [m]) in diameter.,RPS FLiDAR Buoy
gemini,gemini-1.5-pro,27,C-008,Design Specification,"The FLiDAR buoy weighs 9,480 pounds.",9480.0,pounds,3.1,Lease Area,"The weight of the entire buoy including all electronics and keel is 9,480 pounds (lbs) (4,300kilograms [kg]) (4.3 metric tons).",RPS FLiDAR Buoy
gemini,gemini-1.5-pro,27,C-009,Design Specification,The Wave and Met Buoy is 8.5 feet in diameter.,8.5,ft,3.1,Lease Area,The RPS Wave and Met Buoy is a 8.5 ft (2.6 m) round buoy,RPS Wave and Met Buoy
gemini,gemini-1.5-pro,27,C-010,Design Specification,"The Wave and Met Buoy weighs 4,409 lbs.",4409.0,lbs,3.1,Lease Area,"The Wave and Met Buoy weighs 4,409 lbs (2,000 kg).",RPS Wave and Met Buoy
gemini,gemini-1.5-pro,27,C-011,Environmental Mitigation,Landing areas have been minimized and anti-perching devices will be installed on the lights and mast.,,,3.1,FLiDAR Buoys,Landing areas have been minimized and anti-perching devices will be installed on the lights and mast.,RPS FLiDAR Buoy
gemini,gemini-1.5-pro,27,C-012,Environmental Mitigation,Horizontal surfaces have been minimized to limit potential ice/snow build up.,,,3.1,FLiDAR Buoys,horizontal surfaces have been minimized to limit the potential ice/snow build up.,RPS FLiDAR Buoy
gemini,gemini-1.5-pro,27,C-013,Operational Parameter,FLiDAR buoys will transmit data every 10 minutes.,10.0,minutes,5.1,FLiDAR Buoys,"10-minute average wind speed and direction profiles, as well as system voltage information and charge discharge rates will be transmitted every 10 minutes",RPS FLiDAR Buoy
