model_type,model_name,document_id,constraint_id,category,description,source_section_number,geographic_scope,context_quote,component_name,value,unit
deepseek,deepseek-chat,21,C-001,Environmental Mitigation,No surface occupancy in the northernmost portion of the Project area to reduce visual impacts and potential conflicts with existing ocean uses.,Table 3 - 1,Northernmost portion of the proposed Project area,"Under Alternative C, the No Surface Occupancy in the Northernmost Portion of the Project Area Alternative, the construction, operation, maintenance, and eventual decommissioning of an up to 800 MW wind energy facility on the OCS offshore Massachusetts within the proposed Project area and associated export cables would occur within the range of the design parameters outlined in the Vineyard Wind COP, subject to applicable mitigation measures. However, no surface occupancy would occur in the northernmost portion of the proposed Project area to potentially reduce the visual impacts of the proposed Project and potential conflicts with existing ocean uses, such as, marine navigation and commercial fishing. This alternative would result in the exclusion of approximately six of the northernmost WTG locations.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-002,Design Specification,WTGs must have a minimum spacing of 1 nautical mile between them.,Table 3 - 1,Wind Development Area,"Under Alternative D1, WTGs would have a minimum spacing of 1 nmi between them, and the lanes between turbines would also be a minimum of 1 nmi to potentially reduce conflicts with existing ocean uses, such as commercial fishing and marine navigation.",Wind Turbine Generator,1.0,nmi
deepseek,deepseek-chat,21,C-003,Design Specification,WTGs must be arranged in an east-west orientation with a minimum spacing of 1 nautical mile between them in the east-west direction.,Table 3 - 1,Wind Development Area,"Under Alternative D2, the wind turbine layout would be arranged in an east-west orientation and all WTGs in the east-west direction would have a minimum spacing of 1 nmi between them to allow for vessels to travel in an unobstructed path between rows of turbines in an east-west direction.",Wind Turbine Generator,1.0,nmi
deepseek,deepseek-chat,21,C-004,Environmental Mitigation,The proposed Project would consist of no more than 84 WTGs to reduce impacts on existing ocean uses and environmental resources.,Table 3 - 1,Proposed Project area,"Under Alternative E, the Reduced Project Size Alternative, the construction, operation, maintenance, and eventual decommissioning of a large-scale commercial wind energy facility on the OCS offshore Massachusetts within the proposed Project area and associated export cables would occur within the range of the design parameters outlined in the Vineyard Wind COP, subject to applicable mitigation measures, with the following exception: the proposed Project would consist of no more than 84 WTGs in order to potentially reduce impacts on existing ocean uses and environmental resources.",Wind Turbine Generator,84.0,WTGs
deepseek,deepseek-chat,21,C-005,Environmental Mitigation,A vessel transit lane through the WDA would be established in which no surface occupancy would occur.,Table 3 - 1,Wind Development Area,"Under Alternative F, a vessel transit lane through the WDA would be established in which no surface occupancy would occur. The lane included in this alternative, and not included in other alternatives, could potentially facilitate transit of vessels through the project area from southern New England ports—primarily New Bedford—to fishing areas on Georges Bank. WTG locations displaced by the transit lane would not be eliminated from consideration but are assumed to move the proposed Project south of the WDA.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-006,Environmental Mitigation,Install bird deterrent devices to minimize bird attraction to operating turbines and on the ESP(s).,Table A-1,WTGs and ESPs,"Install bird deterrent devices to minimize bird attraction to operating turbines and on the ESP(s), where appropriate and where Vineyard Wind determines such devices can be employed safely.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-007,Environmental Mitigation,Use FAA-approved ADLS to reduce nighttime visual impacts.,Table A-1,WTGs,"Require use of FAA-approved-ADLS, which will only activate the FAA hazard lighting when an aircraft is in the vicinity of the wind facility, to reduce the visibility of nighttime lighting and thus reduce nighttime visual impacts.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-008,Design Specification,Paint the WTGs off-white/light grey (no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey).,Table A-1,WTGs,Require Vineyard Wind to paint the WTGs off-white/light grey (no lighter than RAL 9010 Pure White and no darker than RAL 7035 Light Grey) to reduce visual impacts during daylight hours on historic properties. Vineyard Wind has already committed to this measure as part of the NHPA Section 106 process.,Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-009,Safety Standard,Equip all WTG rotors with control mechanisms operable from the Vineyard Wind control centers available 24/7.,Table A-1,WTGs,"Equip all WTG rotors (blade assemblies) with control mechanisms operable from the Vineyard Wind control centers available 24 hours a day, 7 days a week. The control mechanisms shall enable control room operators to shut down the requested WTGs within an agreed upon time of notification between the USCG and Vineyard Wind.",Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-010,Safety Standard,Install mooring attachments and access ladders on each WTG for use in emergencies.,Table A-1,WTGs,Mooring attachments (for securing vessels) and access ladders for use in emergencies shall be placed on each WTG. Plans for the design and placement of access ladders shall be submitted for USCG review and BOEM approval.,Wind Turbine Generator,,
deepseek,deepseek-chat,21,C-011,Environmental Mitigation,Non-HDD cable laying operations in the northern part of the offshore export cable area within Nantucket Sound waters will occur outside of April to June.,Table A-1,Northern part of the offshore export cable area within Nantucket Sound waters,The non-HDD cable laying operations in the northern part of the offshore export cable area within Nantucket Sound waters will occur outside of April to June.,Export Cables,,
deepseek,deepseek-chat,21,C-012,Environmental Mitigation,Cable protection measures within complex hard-bottom habitat will consist of natural or engineered stone that does not inhibit epibenthic growth and provides three-dimensional complexity.,Table A-1,Complex hard-bottom habitat,"Cable protection measures within complex hard-bottom habitat as defined in the COP, EFH Assessment (BOEM 2019, 2020), and additional data from Measure #15 will consist of natural or engineered stone that does not inhibit epibenthic growth and provides three-dimensional complexity, both in height and in interstitial spaces.",Export Cables,,
deepseek,deepseek-chat,21,C-013,Environmental Mitigation,Vineyard Wind will process 75 benthic grabs and 60 underwater video transects over the entire length of the OECC.,Table A-1,Offshore Export Cable Corridor,"At a minimum, Vineyard Wind will process 75 benthic grabs over the entire length of the OECC (with approximately 42 in the eastern Muskeget section) and 60 underwater video transects over the entire length of the OECC (with 28 transects in the eastern Muskeget section).",Export Cables,75.0,benthic grabs
deepseek,deepseek-chat,21,C-014,Environmental Mitigation,Vineyard Wind will conduct post-construction monitoring to document habitat disturbance and recovery at offshore wind turbine foundations.,Table A-1,Offshore wind turbine foundations,Vineyard Wind will conduct post-construction monitoring to document habitat disturbance and recovery at offshore wind turbine foundations per the benthic habitat monitoring plan #13.,Export Cables,,
deepseek,deepseek-chat,21,C-015,Safety Standard,Install operational AIS on all vessels associated with the construction and operation of the Project.,Table A-1,Project vessels,Install operational AIS on all vessels associated with the construction and operation of the Project. Use AIS to mark the location of each WTG and ESP as required by the USCG.,Electrical Service Platform,,
deepseek,deepseek-chat,21,C-016,Safety Standard,"Mark each WTG and ESP with clearly visible, unique, alphanumeric identification characters.",Table A-1,WTGs and ESPs,"Mark each individual WTG and ESP with clearly visible, unique, alphanumeric identification characters.",Electrical Service Platform,,
deepseek,deepseek-chat,21,C-017,Safety Standard,Light each WTG and ESP in a manner that is visible by mariners in a 360-degree arc around the WTG and ESP.,Table A-1,WTGs and ESPs,Light each WTG and ESP in a manner that is visible by mariners in a 360-degree arc around the WTG and ESP.,Electrical Service Platform,,
deepseek,deepseek-chat,21,C-018,Safety Standard,Ensure each WTG is lighted with red obstruction lighting consistent with the FAA Advisory Circular 70/7460-1L Change 2.,Table A-1,WTGs,"Ensure each WTG is lighted with red obstruction lighting consistent with the FAA Advisory Circular 70/7460-1L Change 2 (FAA 2018), so long as this requirement does not preclude the use of an ADLS.",Electrical Service Platform,,
deepseek,deepseek-chat,21,C-019,Safety Standard,Provide signage that covers 360-degrees of the wind turbine structures warning vessels of the air draft of the turbine blades as determined at highest astronomical tide.,Table A-1,WTGs,Provide signage that covers 360-degrees of the wind turbine structures warning vessels of the air draft of the turbine blades as determined at highest astronomical tide.,Electrical Service Platform,,
