model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
deepseek,deepseek-chat,17,C-001,Design Specification,WindSentinel™ hull dimensions,20.7,ft,3.1,N/A,"The hull consists of marine-grade 5086 aluminum and measures 20.7 feet (ft) (6.3 meters [m]) long by 10.5 ft (3.2 m) wide and weighs 15,000 pounds (lbs) (6,818 kilograms [kg]) (bare hull weight).",WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-002,Design Specification,WindSentinel™ vertical profile height,13.5,ft,3.1,N/A,"The vertical profile of the WindSentinel™, including instrumentation, will be approximately 13.5 ft (4.1 m) from the sea surface to the top of the hull mast.",WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-003,Design Specification,WindSentinel™ submerged portion depth,8.5,ft,3.1,N/A,The submerged portion of the hull would measure approximately 8.5 ft (2.6 m) below the sea surface from the water line to the bottom of the mooring yoke.,WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-004,Design Specification,TRIAXYS Buoy dimensions,3.6,ft,3.1,N/A,The TRIAXYS Buoy is a 3.6 ft (1.1 m) round buoy that measures directional waves & currents as well as water temperature.,TRIAXYS Wave and Current Buoy
deepseek,deepseek-chat,17,C-005,Design Specification,TRIAXYS Buoy vertical profile height,1.8,ft,3.1,N/A,The vertical profile of the TRIAXYS Buoy will be approximately 1.8 ft (0.55 m) from the sea surface to the top of the buoy.,TRIAXYS Wave and Current Buoy
deepseek,deepseek-chat,17,C-006,Design Specification,TRIAXYS Buoy submerged portion depth,1.8,ft,3.1,N/A,The submerged portion of the buoy hull would measure approximately 1.8 ft (0.55 m) below the sea surface from the waterline to the bottom of the buoy.,TRIAXYS Wave and Current Buoy
deepseek,deepseek-chat,17,C-007,Operational Parameter,WindSentinel™ operational lifespan,2.0,years,3.2,N/A,"The operational lives of the WindSentinel™ and TRIAXYS Buoy are expected to be two and four years, respectively.",WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-008,Operational Parameter,TRIAXYS Buoy operational lifespan,4.0,years,3.2,N/A,"The operational lives of the WindSentinel™ and TRIAXYS Buoy are expected to be two and four years, respectively.",TRIAXYS Wave and Current Buoy
deepseek,deepseek-chat,17,C-009,Environmental Mitigation,Separation distance from North Atlantic right whales,500.0,m,4.4,Lease Area,"The Lessee must ensure all survey vessels maintain a separation distance of 500 m (1,640 ft) or greater from any sighted North Atlantic right whale.",WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-010,Environmental Mitigation,Separation distance from non-delphinoid cetaceans,100.0,m,4.4,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 100 m (328 ft) or greater from any sighted non-delphinoid cetacean.,WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-011,Environmental Mitigation,Separation distance from delphinoid cetaceans,50.0,m,4.4,Lease Area,The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean.,WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-012,Environmental Mitigation,Separation distance from sea turtles and pinnipeds,50.0,m,4.4,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted sea turtle or pinniped.,WindSentinel™ FLIDAR
deepseek,deepseek-chat,17,C-013,Operational Parameter,Vessel speed restriction from November 1 through July 31,10.0,knots,4.4,Lease Area,"In addition, the Lessee must ensure that all vessels operating from November 1 through July 31 will operate at speeds of 10 knots (<18.5 km/hr) or less.",WindSentinel™ FLIDAR
