model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
gemini,gemini-1.5-pro,25,C-001,Design Specification,Maximum of 147 WTGs in the Lease Area.,147.0,,3.1,Lease Area,"The Project would have a capacity of up to 2,400 MW and would consist of up to 147 WTGs in the Lease Area",Wind Turbine Generators
gemini,gemini-1.5-pro,25,C-002,Design Specification,Maximum of 5 OSPs.,5.0,,3.1,Lease Area,up to 5 OSPs and associated export cables,Offshore Substations
gemini,gemini-1.5-pro,25,C-003,Design Specification,Up to six offshore export cables within a corridor 1640-2300 feet wide.,6.0,,,Offshore export cable corridor,"up to six (6) offshore export cables (up to four (4) power cables and up to two (2) communications cables) within a single, 1,640 – 2,300-foot wide, offshore export cable corridor (OECC)",Offshore Export Cables
gemini,gemini-1.5-pro,25,C-004,Design Specification,Offshore export cables will travel 124 miles.,124.0,miles,,,will travel a total of 124 miles,Offshore Export Cables
gemini,gemini-1.5-pro,25,C-005,Design Specification,WTGs spaced in a 1-by-1 nautical mile offset grid pattern.,1.0,nmi,3.1,Lease Area,SouthCoast Wind would space WTGs in a 1-by-1-nmi offset grid pattern,Wind Turbine Generators
gemini,gemini-1.5-pro,25,C-006,Design Specification,Project 1 will include 250 miles of IACs.,250.0,miles,,Lease Area,Project 1 will develop the northeastern portion of the lease area and will include up to 85 WTGs connected by 250 miles of IACs to one (1) OSP,Inter-array Cables
gemini,gemini-1.5-pro,25,C-007,Design Specification,Project 2 will include 250 miles of IACs.,250.0,miles,,Lease Area,Project 2 would develop the remainder of the overall project in the southern portion of the lease area and include up to 85 WTGs connected by 250 miles of IACs to one (1) OSP,Inter-array Cables
gemini,gemini-1.5-pro,25,C-008,Design Specification,The combined number of WTG and OSP foundations will not exceed 149.,149.0,,,,the total combined number of WTG and OSP foundations across Project 1 and Project 2 will not exceed 149,
gemini,gemini-1.5-pro,25,C-009,Environmental Mitigation,Sand bedform removal limited to 5% of the Falmouth export cable route.,5.0,%,5.3.2.1.8,Falmouth export cable route,A description of how sand bedform removal will be limited to the extent required to achieve adequate cable burial depth and will not exceed more than 5% of the Falmouth export cable route.,Offshore Export Cables
gemini,gemini-1.5-pro,25,C-010,Safety Standard,Anchoring and buoy placement activities within 500m of sensitive habitats require an Anchoring Plan.,500.0,m,5.3.3,"Within 1,640 ft (500 m) of habitats, resources, and submerged infrastructure that are sensitive","The Lessee must prepare and implement an Anchoring Plan(s) for all areas where anchoring or buoy placement occurs and jack-up barges are used during construction and operations/maintenance within 1,640 ft (500 m) of habitats, resources, and submerged infrastructure that are sensitive",
gemini,gemini-1.5-pro,25,C-011,Environmental Mitigation,No Zinc sacrificial anodes on external components of WTG and OSP foundations.,,,5.4.3,WTG and OSP foundations,The Lessee may not use Zinc sacrificial anodes on external components of WTG and OSP foundations.,
gemini,gemini-1.5-pro,25,C-012,Safety Standard,"10,000m clearance/shutdown zone for North Atlantic Right Whale (pin foundations), 15,000m (monopile foundations) during pile driving.",10000.0,m,,,"NARW PAM Clearance/ Shutdown Zone|10,000 m (pin), 15,000 m (monopile)",
gemini,gemini-1.5-pro,25,C-013,Safety Standard,"4,000m clearance/shutdown zone for Blue, Fin, and Sei Whales during summer, 4,100m during winter (during pile driving).",4000.0,m,,,"Blue, Fin, Sei Whale Clearance/ Shutdown Zone Summer (Winter)|4,000 m (4,100 m)",
gemini,gemini-1.5-pro,25,C-014,Safety Standard,200m clearance/shutdown zone for Sea Turtles (during pile driving).,200.0,m,,,Sea Turtles Visual Clearance/ Shutdown Zone|200 m,
gemini,gemini-1.5-pro,25,C-015,Safety Standard,"15,000m clearance zone for NARW, Blue, Fin, and Sei Whales during UXO/MEC detonations.",15000.0,m,,,"PAM Clearance Zone*|15,000 m",
gemini,gemini-1.5-pro,25,C-016,Safety Standard,"Varying clearance zones for UXO/MEC detonations based on charge weight, species, and location (ECC or WFA).",,,,,Table 5.10 - 2 Clear ance Zones during UXO/MEC Detonations,
gemini,gemini-1.5-pro,25,C-017,Operational Parameter,Continuous recording of ambient noise and vocalizations at least 1 year before pile installation.,1.0,year,5.10.1,Lease Area,The Lessee must conduct continuous [14] recording at least 1 year before the start of pile installation,
