model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
gemini,gemini-1.5-pro,14,C-001,Operational Parameter,Operational life of the Met Buoy is anticipated to be 6 years.,6.0,years,3.2,Met Buoy Installation Area,The operational life of the Met Buoy is anticipated to be 6 years.,Meteorological Data Collection System
gemini,gemini-1.5-pro,14,C-002,Design Specification,Met Buoy location.,,,3.3,"OCS Block 6965, Aliquot M","The Met Buoy will be deployed in federal waters of the Atlantic Ocean within OCS Block 6965, Aliquot M of the Official Protraction Diagram Providence NK19-07 (see Addendum A of North Lease, and Figure 1-1).",Meteorological Data Collection System
gemini,gemini-1.5-pro,14,C-003,Design Specification,Met Buoy location (latitude and longitude).,,,3.3,Met Buoy Installation Area,The location of the Met Buoy is at or about 41° 05’ 16” N and 71° 13’ 22” W.,Meteorological Data Collection System
gemini,gemini-1.5-pro,14,C-004,Design Specification,Water depth at Met Buoy Installation Area.,115.0,ft,3.3,Met Buoy Installation Area,Water depth at the Met Buoy Installation Area is approximately 115 ft (35.1 m).,Meteorological Data Collection System
gemini,gemini-1.5-pro,14,C-005,Operational Parameter,Vessel speed restriction within a Dynamic Management Area (DMA).,10.0,knots,4.4,DMA,The Lessee must ensure that all vessel operators comply with 10 knot (<18.5 km/hr) speed restrictions in any Dynamic Management Area (DMA),Support Vessels
gemini,gemini-1.5-pro,14,C-006,Operational Parameter,Vessel speed restriction for vessels 65 feet or greater.,10.0,knots,4.4,North Lease,"In addition, the Lessee must ensure that vessels 65 feet in length or greater, operating from November 1 through July 31, operate at speeds of 10 knots (<18.5 km/hr) or less.",Support Vessels
gemini,gemini-1.5-pro,14,C-007,Environmental Mitigation,Maintain 500 m separation distance from North Atlantic right whales.,500.0,m,4.4,North Lease,"The Lessee must ensure all vessels maintain a separation distance of 500 m (1,640 ft) or greater from any sighted North Atlantic right whale(s).",Support Vessels
gemini,gemini-1.5-pro,14,C-008,Environmental Mitigation,Maintain 100 m separation distance from non-delphinoid cetaceans (excluding North Atlantic right whales).,100.0,m,4.4,North Lease,The Lessee must ensure all vessels maintain a separation distance of 100 m (328 ft) or greater from any sighted non-delphinoid cetacean(s) other than a North Atlantic right whale.,Support Vessels
gemini,gemini-1.5-pro,14,C-009,Environmental Mitigation,Maintain 50 m separation distance from delphinoid cetaceans.,50.0,m,4.4,North Lease,The Lessee must ensure that all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean(s).,Support Vessels
gemini,gemini-1.5-pro,14,C-010,Environmental Mitigation,Maintain 50 m separation distance from sea turtles.,50.0,m,4.4,North Lease,The Lessee must ensure all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted sea turtle(s).,Support Vessels
