model_type,model_name,document_id,constraint_id,category,description,source_section_number,geographic_scope,context_quote,component_name,value,unit
gemini,gemini-1.5-pro,17,C-001,Design Specification,The WindSentinel™ hull is made of marine-grade 5086 aluminum.,3,WindSentinel™ Buoy,The hull consists of marine-grade 5086 aluminum,AXYS WindSentinel™ FLIDAR,,
gemini,gemini-1.5-pro,17,C-002,Design Specification,The WindSentinel™ is 20.7 feet long and 10.5 feet wide.,3,WindSentinel™ Buoy,measures 20.7 feet (ft) (6.3 meters [m]) long by 10.5 ft (3.2 m) wide,AXYS WindSentinel™ FLIDAR,20.7,feet
gemini,gemini-1.5-pro,17,C-003,Design Specification,The TRIAXYS Buoy is 3.6 feet in diameter.,3,TRIAXYS Buoy,The TRIAXYS Buoy is a 3.6 ft (1.1 m) round buoy,TRIAXYS Wave and Current Buoy,3.6,ft
gemini,gemini-1.5-pro,17,C-004,Operational Parameter,The Met Buoys will be deployed in May 2017.,3.2,Met Buoy Installation Areas,Bay State Wind LLC plans to deploy the Met Buoys in May 2017.,Met Buoys,,
gemini,gemini-1.5-pro,17,C-005,Operational Parameter,The operational life of the WindSentinel™ is expected to be two years.,3.2,WindSentinel™ Buoy,"The operational lives of the WindSentinel™ and TRIAXYS Buoy are expected to be two and four years, respectively.",AXYS WindSentinel™ FLIDAR,2.0,years
gemini,gemini-1.5-pro,17,C-006,Operational Parameter,The operational life of the TRIAXYS Buoy is expected to be four years.,3.2,TRIAXYS Buoy,"The operational lives of the WindSentinel™ and TRIAXYS Buoy are expected to be two and four years, respectively.",TRIAXYS Wave and Current Buoy,4.0,years
gemini,gemini-1.5-pro,17,C-007,Design Specification,"The WindSentinel™ will be located at Northing 4531687, Easting 337506 (UTM 19N NAD83), in OCS Lease Block 6021, Aliquot M, at a depth of 180.4 ft.",3.3,F1 Installation Area,WindSentinel™|F1|4531687|337506|180.4 ft (55 m)|6021|M,Floating Light and Detection Ranging Buoys (FLIDARs),180.4,ft
gemini,gemini-1.5-pro,17,C-008,Design Specification,"The WindSentinel™ will be located at Northing 4553210, Easting 367027 (UTM 19N NAD83), in OCS Lease Block 6976, Aliquot F, at a depth of 136.5 ft.",3.3,F2 Installation Area,WindSentinel™|F2|4553210|367027|136.5 ft (41.6 m)|6976|F,AXYS WindSentinel™ FLIDAR,136.5,ft
gemini,gemini-1.5-pro,17,C-009,Design Specification,"The TRIAXYS Buoy will be located at Northing 4552562, Easting 366402 (UTM 19N NAD83), in OCS Lease Block 6976, Aliquot I, at a depth of 135.5 ft.",3.3,B2 Installation Area,TRIAXYS Buoy|B2|4552562|366402|135.5 ft (42.2 m)|6976|I,TRIAXYS Wave and Current Buoy,135.5,ft
gemini,gemini-1.5-pro,17,C-010,Environmental Mitigation,Vessels must maintain a 500-meter separation distance from North Atlantic right whales.,4.4,Lease Area,"The Lessee must ensure all survey vessels maintain a separation distance of 500 m (1,640 ft) or greater from any sighted North Atlantic right whale.",Met Buoys,500.0,m
gemini,gemini-1.5-pro,17,C-011,Environmental Mitigation,Vessels must maintain a 100-meter separation distance from non-delphinoid cetaceans (excluding North Atlantic right whales).,4.4,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 100 m (328 ft) or greater from any sighted non-delphinoid cetacean.,Met Buoys,100.0,m
gemini,gemini-1.5-pro,17,C-012,Environmental Mitigation,"Vessels must maintain a 50-meter separation distance from delphinoid cetaceans, sea turtles, and pinnipeds.",4.4,Lease Area,The Lessee must ensure all vessels maintain a separation distance of 50 m (164 ft) or greater from any sighted delphinoid cetacean.,Met Buoys,50.0,m
gemini,gemini-1.5-pro,17,C-013,Operational Parameter,Vessels must travel at 10 knots or less in Dynamic Management Areas and from November 1 through July 31.,4.4,Dynamic Management Areas and Lease Area (November 1 - July 31),"The Lessee must ensure that all vessel operators comply with 10 knot (<18. Km/hr) speed restrictions in any Dynamic Management Area 1. In addition, the Lessee must ensure that all vessels operating from November 1 through July 31 will operate at speeds of 10 knots (<18.5 km/hr) or less.",Met Buoys,10.0,knots
