model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
deepseek,deepseek-chat,19,C-001,Design Specification,Hub height of the WTG ranges from 341 to 364 ft (104 to 111 m).,341.0,ft,Revised Table 3.2-1,WTG locations,Hub height (from mean sea level [MSL]) 341-364 ft (104-111 m),Wind Turbine Generator
deepseek,deepseek-chat,19,C-002,Design Specification,Rotor diameter of the WTG is 505 ft (154 m).,505.0,ft,Revised Table 3.2-1,WTG locations,Rotor diameter 505 ft (154 m),Wind Turbine Generator
deepseek,deepseek-chat,19,C-003,Operational Parameter,Operational cut-in wind speed is 6.7 mph (3 m/s).,6.7,mph,Revised Table 3.2-1,WTG locations,Operational Cut-in Wind Speed/Cut-Out Wind Speed 6.7 mph (3 m/s) / 56 mph (25 m/s),Wind Turbine Generator
deepseek,deepseek-chat,19,C-004,Operational Parameter,Operational cut-out wind speed is 56 mph (25 m/s).,56.0,mph,Revised Table 3.2-1,WTG locations,Operational Cut-in Wind Speed/Cut-Out Wind Speed 6.7 mph (3 m/s) / 56 mph (25 m/s),Wind Turbine Generator
deepseek,deepseek-chat,19,C-005,Design Specification,Export Cable will be located within a 200-ft (61-m) wide right-of-way.,200.0,ft,Section 3.3.4.3,Export Cable route,"As approved in the RAP, the Export Cable will be located within a 200-ft (61-m) wide right-of-way (ROW).",Export Cable
deepseek,deepseek-chat,19,C-006,Design Specification,Target depth of burial for the Export Cable is approximately 6.6 ft (2 m).,6.6,ft,Section 3.3.4.3,Export Cable route,"The target depth of burial for the Export Cable remains approximately 6.6 ft (2 m), as previously approved in the RAP.",Export Cable
deepseek,deepseek-chat,19,C-007,Design Specification,Onshore Interconnection Cable will be installed in separate boreholes approximately 3 ft (0.9 m) apart.,3.0,ft,Section 3.1.2,Onshore Interconnection Cable route,The Onshore Interconnection Cable and Fiber Optic Cable will be installed in separate boreholes approximately 3 ft (0.9 m) apart.,Onshore Interconnection Cable
deepseek,deepseek-chat,19,C-008,Design Specification,Onshore Interconnection Cable will be buried to a minimum depth of 3.3 ft (1 m).,3.3,ft,Section 3.1.2,Onshore Interconnection Cable route,The Onshore Interconnection Cable and Fiber Optic Cable will be installed in separate boreholes approximately 3 ft (0.9 m) apart and buried to a minimum depth of 3.3 ft (1 m) to be consistent with local utility standards.,Onshore Interconnection Cable
deepseek,deepseek-chat,19,C-009,Design Specification,Wave buoy diameter will be 1.6 to 4.9 ft (0.5 to 1.5 m).,1.6,ft,Section 1.1,Deployment location,"Depending on the selected buoy type, its diameter will be 1.6 to 4.9 ft (0.5 to 1.5 m).",Wave and Current Buoy
deepseek,deepseek-chat,19,C-010,Operational Parameter,Wave buoy will be deployed for less than 1 year.,1.0,year,Section 1.1,Deployment location,The buoy will be temporarily deployed within the area that has been previously surveyed and evaluated in support of the Project. The buoy will remain in place for less than 1 year.,Wave and Current Buoy
