model_type,model_name,document_id,constraint_id,category,description,value,unit,source_section_number,geographic_scope,context_quote,component_name
claude,claude-3-haiku-20240307,11,C-001,Design Specification,Up to 94 wind turbine generators within 102 potential positions,94.0,turbines,2.0,Sunrise Wind Farm (SRWF),"The proposed Project would allow Sunrise Wind to construct, operate, maintain, and eventually decommission a wind energy facility with an operating capacity ranging between 924 megawatts (MW) and 1,034 MW in scale. The Project would include up to 94 wind turbine generators (WTGs) at 102 potential locations, one Offshore Converter Station (OCS-DC), offshore export cable routes, onshore cable landfall sites, onshore cable routes, and onshore substation locations.",Wind Turbine Generators
claude,claude-3-haiku-20240307,11,C-002,Design Specification,"WTG spacing of 1.15 miles (1 nautical mile, 1.8 kilometers) in an east-west/north-south grid",1.15,miles,2.0,Sunrise Wind Farm (SRWF),Turbines would be sited in a uniform east-west/north-south grid with 1.15 by 1.15-mile (mi) (1 by 1-nautical mile [nm]; 1.85 by 1.85 kilometer [km]) spacing.,Wind Turbine Generators
claude,claude-3-haiku-20240307,11,C-003,Design Specification,WTG rotor height up to 787 feet (240 meters) above mean sea level,787.0,feet,2.0,Sunrise Wind Farm (SRWF),"Turbines would be sited in a uniform east-west/north-south grid with 1.15 by 1.15-mile (mi) (1 by 1-nautical mile [nm]; 1.85 by 1.85 kilometer [km]) spacing. Sunrise Wind would maintain diagonal lanes between 0.7 and 0.9 mi (0.6 to 0.8 nm; 1.1 and 1.5 km) wide when micrositing foundations. Sunrise Wind would mount the WTGs on monopile foundations. The WTG foundations as proposed in the COP would be 39 ft (12 m) in diameter at the seabed and 23 ft (7 m) in diameter at the sea surface (Sunrise Wind 2022). A monopile foundation typically consists of a single steel tubular section, with several sections of rolled steel plate welded together. For a WTG monopile foundation, a Transition Piece (TP) may be fitted over the top of the monopile and secured via a bolted connection. Secondary structures on each WTG monopile foundation would include a boat landing or alternative means of safe access, a crane, and other ancillary components. The OCS-DC would be placed on an up to four-legged piled jacket foundation. A piled jacket foundation is formed of a steel lattice construction (comprising tubular steel members and welded joints) secured to the seafloor by means of hollow steel pin piles attached to the jacket. Schematic drawings and renderings of the conceptual monopile foundation with secondary structure after installation and the piled jacket foundations are included in COP Section 3.3.5 (Sunrise Wind 2022). When required, scour protection would be placed around foundations to stabilize the seabed near the foundations as well as the foundations themselves.",Wind Turbine Generators
claude,claude-3-haiku-20240307,11,C-004,Design Specification,WTG monopile foundations up to 39 feet (12 meters) in diameter at the seabed,39.0,feet,2.0,Sunrise Wind Farm (SRWF),Sunrise Wind would mount the WTGs on monopile foundations. The WTG foundations as proposed in the COP would be 39 ft (12 m) in diameter at the seabed and 23 ft (7 m) in diameter at the sea surface (Sunrise Wind 2022).,Wind Turbine Generators
claude,claude-3-haiku-20240307,11,C-005,Design Specification,WTG monopile foundations up to 23 feet (7 meters) in diameter at the sea surface,23.0,feet,2.0,Sunrise Wind Farm (SRWF),Sunrise Wind would mount the WTGs on monopile foundations. The WTG foundations as proposed in the COP would be 39 ft (12 m) in diameter at the seabed and 23 ft (7 m) in diameter at the sea surface (Sunrise Wind 2022).,Wind Turbine Generators
claude,claude-3-haiku-20240307,11,C-006,Design Specification,OCS-DC foundation is a piled jacket structure with up to four legs,4.0,legs,2.0,Sunrise Wind Farm (SRWF),The OCS-DC would be placed on an up to four-legged piled jacket foundation. A piled jacket foundation is formed of a steel lattice construction (comprising tubular steel members and welded joints) secured to the seafloor by means of hollow steel pin piles attached to the jacket.,Offshore Converter Station
claude,claude-3-haiku-20240307,11,C-007,Design Specification,Maximum total installed inter-array cable length of 180 miles (290 kilometers),180.0,miles,2.2.2,Sunrise Wind Farm (SRWF),The maximum total installed array cable length is 180 miles (289.7 km).,Inter-Array Cables
claude,claude-3-haiku-20240307,11,C-008,Design Specification,Offshore export cable length up to 106 miles (170 kilometers),106.0,miles,2.2.2,Offshore Export Cable Route (SRWEC),"The approximately 106 mi (170 km) SRWEC would occur within a surveyed corridor ranging in width from 1,312 to 2,625 ft (400 to 800 m), depending on water depth.",Offshore Export Cable
claude,claude-3-haiku-20240307,11,C-009,Design Specification,Offshore export cable target burial depth of 3 to 7 feet (1 to 2 meters),3.0,feet,2.2.2,Offshore Export Cable Route (SRWEC),"The SRWEC would consist of one cable bundle comprised of two cables. The cable would have a target burial depth of 3 to 7 ft (1 to 2 m) but would be dependent upon an assessment of seabed conditions, seabed mobility, the risk of interaction with external hazards, and a site-specific cable burial risk assessment.",Offshore Export Cable
claude,claude-3-haiku-20240307,11,C-010,Design Specification,Onshore transmission cable length up to 17.5 miles (28.2 kilometers),17.5,miles,2.2.2,Onshore Transmission Cable,The interior transmission cable includes an OnCS-DC with a disturbance footprint of up to 7 ac (2.8 ha) and an operational footprint of 6 acres (2.4 ha). Benthic habitat types identified in the interior coastal component of the Project area include: - Tidal marsh (5 acres) - Summer flounder HAPC,Onshore Transmission Cable
claude,claude-3-haiku-20240307,11,C-011,Design Specification,Temporary pile-supported trestle extending approximately 240 feet (73 meters) offshore and 16 feet (4.9 meters) wide,240.0,feet,2.2.2,Temporary Pile-Supported Trestle,"To allow for the transportation of equipment and materials from Long Island to the construction site on Fire Island, a temporary pile-supported pier would be constructed on the inshore side of Fire Island. The pier would extend approximately 240 feet (73 m) offshore and be approximately 16-feet (4.9-m) wide.",Temporary Pile-Supported Trestle
claude,claude-3-haiku-20240307,11,C-012,Design Specification,"Up to 24 production piles for the temporary pile-supported trestle, either 14 x 14-inch (36.5 x 36.5 cm) H-shaped or 16-inch (40.6-cm) diameter round steel",24.0,piles,2.2.2,Temporary Pile-Supported Trestle,"The precise pier design and type of piles have not yet been determined, but it is anticipated that up to 24 production piles would be used. Production piles would be either a 14 x 14-inch (36.5 x 36.5 cm) H-shaped pile or a 16-inch (40.6-cm) diameter round steel pile.",Temporary Pile-Supported Trestle
claude,claude-3-haiku-20240307,11,C-013,Design Specification,"Up to 24 temporary piles for the temporary pile-supported trestle, either 14 x 14-inch (36.5 x 36.5 cm) H-shaped or 16-inch (40.6-cm) diameter round steel",24.0,piles,2.2.2,Temporary Pile-Supported Trestle,"In addition, up to 24 temporary piles (of the same size as the production piles) may be used to support the installation of the production piles and may be installed and removed during construction activities.",Temporary Pile-Supported Trestle
