model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-REG-2023,Offshore,10,3,Environmental,All turbine foundations must undergo environmental impact assessment prior to installation,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; construction
deepseek-chat,OWF-REG-2023,Offshore,10,3,Technical,Wind turbines must maintain minimum clearance of 22 meters between lowest blade tip and highest astronomical tide,All offshore installations,22,meters,International Electrotechnical Commission IEC 61400-3,safety; technical
deepseek-chat,OWF-2023-001,Offshore,47,3,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind developments in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,47,3,Technical,"Substation foundations shall withstand a 1,000-year return period storm event",Offshore electrical infrastructure in North Atlantic region,1000,year return period,ISO 19902:2020,structural engineering; safety
deepseek-chat,30 CFR Part 585,Offshore,48,3,Environmental,Developers must conduct a site assessment plan (SAP) to evaluate potential impacts on marine wildlife.,U.S. federal waters,,,30 CFR § 585.605,environmental; permitting
deepseek-chat,30 CFR Part 585,Offshore,48,3,Technical,Wind turbine foundations must withstand a 1-in-50-year extreme wave event.,Offshore structures in the Atlantic OCS,50,years,BOEM Engineering Standards,structural engineering; safety
deepseek-chat,NSOWF-2023-001,Offshore,57,3,Environmental,All wind farm developments must conduct a full environmental impact assessment prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; permitting
deepseek-chat,NSOWF-2023-001,Offshore,57,3,Technical,Offshore substations must be designed to withstand 1-in-50-year wave conditions,All offshore wind installations,50,years,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-2023-001,Offshore,58,3,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,58,3,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic region,50,year return period,ISO 19901-1,structural engineering; safety
deepseek-chat,OWED-2023-001,Offshore,59,3,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from known marine mammal migration routes.,North Atlantic offshore wind lease areas,500,meters,Bureau of Ocean Energy Management (BOEM),Environmental impact; Wildlife protection
deepseek-chat,OWED-2023-001,Offshore,59,3,Technical,All offshore wind turbine foundations must comply with ISO 19902 for fixed steel structures.,Global offshore wind projects,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,EWEA-2023-001,Offshore,60,3,Environmental,All wind turbine foundations must undergo environmental impact assessment prior to installation,All offshore wind projects in European waters,,,EU Marine Strategy Framework Directive,environmental; construction
deepseek-chat,EWEA-2023-001,Offshore,60,3,Technical,Wind turbines must maintain minimum clearance of 22 meters between lowest blade tip and highest astronomical tide,North Sea offshore installations,22,meters,DNV-ST-0145 standard,safety; technical
deepseek-chat,OWF-REG-2023-001,Offshore,77,3,Environmental,All projects must conduct a full environmental impact assessment prior to construction,All offshore wind developments in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023-001,Offshore,77,3,Technical,Wind turbine foundations must withstand 100-year storm events,Fixed-bottom offshore wind turbines,100,years,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023-001,Offshore,77,3,Spatial,Minimum 1 nautical mile separation between turbines,Wind farm array area,1,nautical miles,Maritime Spatial Planning Directive,navigation safety; array optimization
deepseek-chat,OWF-REG-2023-001,Offshore,85,3,Environmental,All turbine foundations must undergo marine mammal impact assessment prior to installation,North Sea development zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,OWF-REG-2023-001,Offshore,85,3,Technical,Substation platforms shall withstand wave heights with 100-year return period,All offshore installations,18.5,meters,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023-001,Offshore,85,3,Spatial,Minimum 1 km separation required between turbine arrays and shipping lanes,EEZ of member states,1,kilometers,IMO COLREG Annex I,navigation safety; zoning
