model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,NSW-REG-2023-004,Offshore,10,4,Environmental,All wind turbines must maintain a minimum clearance of 1 km from designated marine protected areas.,North Sea Exclusive Economic Zone (EEZ),1,km,North Sea Offshore Wind Authority (NSOWA),Environmental; Spatial
deepseek-chat,NSW-REG-2023-004,Offshore,10,4,Technical,Substation foundations must comply with ISO 19902 standards for offshore structures.,All offshore wind farm substations,,,International Organization for Standardization (ISO),Technical; Safety
deepseek-chat,NSW-REG-2023-004,Offshore,10,4,Safety,Helicopter landing pads on offshore platforms must have a minimum diameter of 25 meters.,Offshore wind farm service platforms,25,meters,International Civil Aviation Organization (ICAO),Safety; Technical
deepseek-chat,NOW-2023-001,Offshore,21,4,Environmental,All turbine foundations must undergo a seabed habitat impact assessment prior to installation.,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),Environmental impact; Marine ecosystems
deepseek-chat,NOW-2023-001,Offshore,21,4,Technical,Wind turbines must withstand extreme wind speeds of up to 50 m/s.,Offshore structures in Hurricane-prone regions,50,m/s,IEC 61400-3,Structural integrity; Safety
deepseek-chat,OWF-NS-2023-001,Offshore,22,4,Environmental,All turbines must maintain a minimum distance of 1.5 km from designated marine protected areas.,North Sea offshore wind projects,1.5,km,North Sea Offshore Wind Regulatory Authority (NSOWRA),environmental; spatial
deepseek-chat,OWF-NS-2023-001,Offshore,22,4,Technical,Substation foundations must comply with ISO 19901-4 for geotechnical design.,Offshore wind substations,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,EWF-2023-001,Offshore,31,4,Environmental,All wind turbine foundations must maintain a minimum clearance of 500 meters from known marine mammal migration routes,North Sea development zones,500,meters,OSPAR Commission Decision 2022/5,environmental; siting
deepseek-chat,EWF-2023-001,Offshore,31,4,Technical,Offshore substations must comply with IEC 61400-3 design requirements,All offshore wind facilities,,,International Electrotechnical Commission,electrical systems; safety
deepseek-chat,30 CFR Part 585,Offshore,36,4,Environmental,Lessees must conduct baseline environmental studies to assess potential impacts on marine ecosystems before construction.,U.S. Outer Continental Shelf,,,BOEM 30 CFR § 585.601,Environmental impact; Marine biology
deepseek-chat,30 CFR Part 585,Offshore,36,4,Technical,Wind turbine foundations must comply with ISO 19901-4 for offshore structures.,All offshore wind projects,,,ISO 19901-4,Structural engineering; Safety
deepseek-chat,NSW-2023-001,Offshore,49,4,Environmental,Wind turbines must maintain a minimum distance of 1 km from protected marine habitats.,North Sea Exclusive Economic Zone (EEZ),1,km,North Sea Offshore Wind Authority (NSOWA),Environmental protection; Marine ecology
deepseek-chat,NSW-2023-001,Offshore,49,4,Technical,All offshore substations must comply with IEC 61400-3 standards for structural integrity.,Offshore wind substations,,,International Electrotechnical Commission (IEC),Structural engineering; Electrical systems
deepseek-chat,NSW-2023-001,Offshore,49,4,Safety,Helicopter landing zones on offshore platforms must have a minimum clearance of 30 meters in diameter.,Offshore wind maintenance platforms,30,meters,International Civil Aviation Organization (ICAO),Aviation safety; Offshore operations
deepseek-chat,NSOW-REG-2023-0042,Offshore,60,4,Environmental,All turbine foundations must maintain a minimum clearance of 500m from identified marine mammal habitats,North Sea development zone,500,meters,Marine Mammal Protection Act (MMPA),environmental; siting
deepseek-chat,NSOW-REG-2023-0042,Offshore,60,4,Technical,Substation platforms must comply with ISO 19901-4 for structural design,All offshore installations,,,International Organization for Standardization,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,75,4,Environmental,All projects must conduct a full environmental impact assessment prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,75,4,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines,50,years,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,75,4,Spatial,Minimum 1 nautical mile separation between turbines,Wind farm layout in North Sea projects,1,nautical miles,North Sea Offshore Wind Agreement,layout optimization; naval safety
deepseek-chat,NS-OWF-2023-0042,Offshore,81,4,Environmental,All wind farm developments must conduct a full environmental impact assessment prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; permitting
deepseek-chat,NS-OWF-2023-0042,Offshore,81,4,Technical,Turbine foundations must withstand wave heights of up to 25 meters,All offshore structures in Dogger Bank area,25,meters,North Sea Offshore Wind Technical Standards,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,81,4,Safety,All vessels operating within 500m of turbines must maintain continuous radio contact,All operational wind farms,500,meters,IMO Resolution MSC.415(97),maritime safety; operations
deepseek-chat,EWEA-2023-OSTD,Offshore,84,4,Environmental,All turbine foundations must undergo seabed disturbance impact assessments prior to installation,North Sea projects,,,OSPAR Convention Annex IV,Marine ecosystems; Construction
deepseek-chat,EWEA-2023-OSTD,Offshore,84,4,Technical,Substation platforms shall withstand wave heights with 100-year return periods,All offshore installations,18.5,meters,IEC 61400-3-1,Structural engineering; Safety
deepseek-chat,EWEA-2023-001,Offshore,118,4,Environmental,All turbine foundations must maintain a minimum clearance of 25 meters from the seabed to protect benthic habitats,North Sea development zones,25,meters,OSPAR Convention Annex V,environmental; structural
deepseek-chat,EWEA-2023-001,Offshore,118,4,Technical,Wind turbines must comply with IEC 61400-3 design requirements for offshore wind turbines,All offshore installations,,,International Electrotechnical Commission,technical; safety
deepseek-chat,OWF-REG-2023,Offshore,119,4,Environmental,All turbine foundations must maintain a minimum clearance of 1.5 meters above the seabed to allow for marine organism passage,Turbine foundations in North Atlantic development zones,1.5,meters,Marine Habitat Protection Directive 2022,environmental; structural
deepseek-chat,OWF-REG-2023,Offshore,119,4,Technical,Substation platforms shall be designed to withstand wave heights with a 100-year return period,Offshore electrical infrastructure,,,IEC 61400-3-2,structural; safety
deepseek-chat,OWF-REG-2023-001,Offshore,123,4,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind developments in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
