model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-REG-2023,Offshore,23,48,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind developments in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,23,48,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic waters,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,23,48,Spatial,No construction within 1 km of identified marine mammal migration routes,All wind energy areas in the Northeast region,1,kilometer,National Marine Fisheries Service,wildlife protection; siting
deepseek-chat,NSOW-REG-2023-0042,Offshore,40,48,Environmental,All turbine foundations must maintain a minimum 500m clearance from identified coral habitats,North Sea Exclusive Economic Zones,500,meters,OSPAR Convention Annex VII,environmental; foundation design
deepseek-chat,NSOW-REG-2023-0042,Offshore,40,48,Technical,Substation platforms shall comply with IEC 61400-3 design requirements,All offshore installations,,,International Electrotechnical Commission,electrical systems; safety
deepseek-chat,OWED-2023-001,Offshore,47,48,Environmental,Wind turbines must maintain a minimum distance of 1 km from known marine mammal migration routes.,North Atlantic offshore wind lease areas,1,km,Marine Mammal Protection Act (MMPA),wildlife protection; construction planning
deepseek-chat,OWED-2023-001,Offshore,47,48,Technical,Turbine foundations must comply with ISO 19902 for fixed steel offshore structures.,All offshore wind projects,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,EWEA-2023-001,Offshore,51,48,Environmental,All projects must conduct a full Environmental Impact Assessment prior to construction,All offshore wind projects in EU waters,,,EU Marine Strategy Framework Directive,environmental; permitting
deepseek-chat,EWEA-2023-001,Offshore,51,48,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,North Sea installations,50,year return period,DNV-ST-0143 standard,structural engineering; safety
deepseek-chat,EWF-2023-001,Offshore,65,48,Environmental,All offshore wind farms must conduct a full Environmental Impact Assessment (EIA) prior to construction.,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),Environmental; Permitting
deepseek-chat,EWF-2023-001,Offshore,65,48,Technical,Turbine foundations must withstand a 1-in-50-year extreme wave event.,Fixed-bottom offshore wind turbines,50,years,International Electrotechnical Commission (IEC) 61400-3,Structural Engineering; Safety
deepseek-chat,BOEM-2023-001,Offshore,67,48,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,U.S. Outer Continental Shelf,,,BOEM Renewable Energy Regulations 30 CFR Part 585,environmental; permitting
deepseek-chat,BOEM-2023-001,Offshore,67,48,Technical,Wind turbine foundations must withstand a 100-year storm event,All offshore structures,100,years,ISO 19901-4 Offshore Structures Standard,structural engineering; safety
deepseek-chat,OWF-2023-001,Offshore,78,48,Environmental,Turbine foundations must avoid coral reef habitats by a minimum distance of 500 meters.,All offshore wind farms in designated marine protected zones,500,meters,Marine Protection Act (2020),environmental; spatial
