model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,NSW-2023-001,Offshore,7,11,Environmental,All wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Authority (NSOWA),environmental; spatial
deepseek-chat,NSW-2023-001,Offshore,7,11,Technical,Substation foundations must comply with ISO 19902 for offshore structures.,Offshore wind farm substations,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,NS-OWF-2023-004,Offshore,9,11,Environmental,All turbine foundations must undergo seabed impact assessments prior to installation,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NS-OWF-2023-004,Offshore,9,11,Technical,Substation platforms shall withstand wave heights with a 100-year return period,All offshore structures,18.5,meters,IEC 61400-3-1,structural engineering; safety
deepseek-chat,30 CFR Part 585,Offshore,18,11,Environmental,Lessees must conduct baseline environmental studies before construction to assess potential impacts on marine ecosystems.,U.S. Outer Continental Shelf (OCS),,,BOEM 30 CFR § 585.601,Environmental impact; Marine biology
deepseek-chat,30 CFR Part 585,Offshore,18,11,Technical,Wind turbine foundations must be designed to withstand a 1-in-50-year extreme wave event.,Fixed-bottom offshore wind turbines in the Atlantic OCS,50,years,BOEM Engineering Standards,Structural engineering; Safety
deepseek-chat,30 CFR Part 585,Offshore,18,11,Safety,All personnel working on offshore wind installations must complete Basic Safety Training (BST) per ISO 14001 standards.,Global offshore wind operations,,,ISO 14001,Workforce safety; Training compliance
deepseek-chat,OWF-REG-2023-001,Offshore,26,11,Environmental,All offshore wind turbines must maintain a minimum distance of 1 km from marine protected areas.,European Union waters,1,km,EU Marine Spatial Planning Directive 2023,environmental; spatial
deepseek-chat,OWF-REG-2023-001,Offshore,26,11,Technical,Wind turbine foundations must comply with ISO 19901-4 for offshore structures.,Global,,,ISO 19901-4,technical; safety
deepseek-chat,OWF-2023-001,Offshore,40,11,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind developments in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,40,11,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic region,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-2023-001,Offshore,40,11,Spatial,Minimum 1 nautical mile separation between turbines,All offshore wind farms in US territorial waters,1,nautical mile,BOEM Renewable Energy Regulations,navigation safety; wake effects
deepseek-chat,OWF-REG-2023,Offshore,42,11,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind developments in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,42,11,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,42,11,Spatial,Minimum 1 nautical mile separation between turbines,Wind farm layout in lease areas,1,nautical mile,BOEM Lease Stipulations,navigation safety; wake effects
deepseek-chat,NS-OWF-2023-0042,Offshore,45,11,Environmental,All turbine foundations must demonstrate no significant impact on benthic ecosystems,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex V,marine ecology; foundation design
deepseek-chat,NS-OWF-2023-0042,Offshore,45,11,Technical,Wind turbines must withstand 1-in-50-year extreme wind speeds with 3-second gusts,All offshore installations,50,m/s,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,45,11,Spatial,Minimum 1 km spacing required between adjacent turbines,Wind farm arrays in German territorial waters,1,km,BSH Standard 7005,array optimization; wake effects
deepseek-chat,OWF-REG-2023,Offshore,71,11,Environmental,All offshore wind projects must conduct a full environmental impact assessment prior to construction,All offshore wind facilities in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,71,11,Technical,Wind turbine foundations must withstand a 100-year storm event,Fixed-bottom offshore wind turbines in North Atlantic,100,years,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,71,11,Spatial,Minimum 1 nautical mile separation between turbines,All offshore wind projects in European Union waters,1,nautical miles,EU Offshore Renewable Energy Strategy,navigation safety; wake effects
