model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gemini-1.5-pro,,Offshore,4,8,Technical,OWPPs [must] not only fulfill grid codes but also contribute to improving grid resilience and provide ancillary services.,Offshore wind power plants (OWPPs) connected to the grid,,,,grid connection; grid stability; ancillary services
gemini-1.5-pro,"584 VOLUME 5, 2024",Offshore,6,8,Technical,The frequency and voltage operating ranges are the most basic requirements for OWPPs to remain connected to the grid.,OWPPs connected to the grid,,,ENTSO-E RfG (implied from context),grid connection; power quality; frequency control; voltage control
gemini-1.5-pro,"584 VOLUME 5, 2024",Offshore,6,8,Technical,OWPPs must adhere to the frequency and voltage tolerance requirements as shown in Fig. 2.,OWPPs connected to the ENTSO-E grid,,,ENTSO-E RfG (Figure 2),grid connection; power quality; frequency control; voltage control
gemini-1.5-pro,,Offshore,7,8,Technical,Frequency operating range requirement amended in 2021,Taiwan,,,[13],grid connection; frequency stability
gemini-1.5-pro,,Offshore,7,8,Technical,Voltage tolerance range requirement of 0.9 pu to 1.1 pu,Taiwan,0.9,pu,2009 precedent,grid connection; voltage stability
gemini-1.5-pro,,Offshore,7,8,Technical,OWPP should withstand up to a certain rate of change of frequency (RoCoF),Denmark,2.5,Hz/s,[9],grid connection; frequency stability; RoCoF
gemini-1.5-pro,,Offshore,7,8,Technical,OWPP should withstand up to a certain rate of change of frequency (RoCoF),Germany,2.5,Hz/s,[10],grid connection; frequency stability; RoCoF
gemini-1.5-pro,,Offshore,7,8,Technical,OWPP should withstand up to 2.5 Hz/s RoCoF,Great Britain (DC-connected OWPPs),2.5,Hz/s,[11],grid connection; frequency stability; RoCoF
gemini-1.5-pro,,Offshore,7,8,Technical,OWPP should withstand up to 1 Hz/s RoCoF,Great Britain (AC-connected OWPPs),1.0,Hz/s,[11],grid connection; frequency stability; RoCoF
gemini-1.5-pro,,Offshore,7,8,Technical,OWPPs must be able to regulate their active power injection at the maximum power available or at a set point with a predefined ramping rate,General (mentioned in context of OWPPs),,,,grid connection; active power control; frequency stability
gemini-1.5-pro,585,Offshore,8,8,Technical,The OWPP to curtail power in an overfrequency event.,Offshore Wind Power Plants (OWPP) Frequency Control,,,ENTSO-E RfG,grid stability; frequency control; power generation
gemini-1.5-pro,585,Offshore,8,8,Technical,The OWPP to increase power during underfrequency events,Offshore Wind Power Plants (OWPP) Frequency Control,,,ENTSO-E RfG,grid stability; frequency control; power generation
gemini-1.5-pro,585,Offshore,8,8,Technical,The OWPP needs to derate to a 95% AAP curve (with the default 5% spinning reserve) or be controlled at an external active power set point that is lower than the maximum power of 50 Hz.,"Offshore Wind Power Plants (OWPP) Frequency Control, Frequency Sensitive Mode (FSM)",95.0,%,ENTSO-E RfG,grid stability; frequency control; power generation
gemini-1.5-pro,,Offshore,9,8,Technical,Reactive power capability requirements as depicted in U-Q and P-Q diagrams (Fig. 4),Grid connection of offshore wind power plants,,,"Germany, Denmark, United Kingdom, and Ireland Grid Codes",grid stability; voltage control; reactive power
