model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,,Offshore,1,43,Spatial,Maintain a minimum clearance of 1 nautical mile from shipping lanes,U.S. federal waters,1,nautical mile,Bureau of Ocean Energy Management (BOEM),"Safety, Navigation"
deepseek-chat,,Offshore,1,43,Technical,Fatigue load testing for turbine foundations in water depths exceeding 30 meters,Offshore wind turbines,30,meters,IEC 61400-3,"Structural Engineering, Safety"
deepseek-chat,NS-OWF-2023-014,Offshore,12,43,Environmental,All turbine foundations must undergo marine mammal impact assessment prior to installation,North Sea development zone,,,OSPAR Convention Annex VI,environmental; safety
deepseek-chat,NS-OWF-2023-014,Offshore,12,43,Technical,Substation platforms must withstand wave heights with 100-year return period,All offshore installations,16.2,meters,IEC 61400-3,technical; safety
deepseek-chat,NS-OWF-2023-014,Offshore,12,43,Spatial,Minimum 1km spacing between turbines in prevailing wind direction,North Sea wind farm zones,1,kilometers,North Sea Wind Power Hub Agreement,technical; safety
deepseek-chat,NS-OWF-2023-01,Offshore,13,43,Environmental,All wind farm developments must conduct an Environmental Impact Assessment (EIA) prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; planning
deepseek-chat,NS-OWF-2023-01,Offshore,13,43,Technical,Offshore substations must be designed to withstand 1-in-50-year extreme wave conditions,All offshore structures,50,year return period,IEC 61400-3,technical; safety
deepseek-chat,NS-OWF-2023-01,Offshore,13,43,Spatial,Turbines must maintain a minimum 500m clearance from shipping lanes,All wind farms in German EEZ,500,meters,German Federal Maritime and Hydrographic Agency,navigation; safety
deepseek-chat,NOW-2023-001,Offshore,20,43,Environmental,All offshore wind turbines must maintain a minimum clearance of 500 meters from migratory bird pathways.,U.S. federal waters,500,meters,Bureau of Ocean Energy Management (BOEM),wildlife protection; project siting
deepseek-chat,NOW-2023-001,Offshore,20,43,Technical,Substation foundations must comply with ISO 19902 for fixed steel offshore structures.,Global (ISO standard),,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,OSW-2023-001,Offshore,27,43,Environmental,All wind turbines must maintain a minimum distance of 1 km from known marine mammal migration routes.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Authority (NSOWA),environmental; wildlife protection
deepseek-chat,OSW-2023-001,Offshore,27,43,Technical,Substation foundations must comply with ISO 19902 for fixed steel offshore structures.,Offshore wind substations,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,OWF-NS-2023-001,Offshore,32,43,Environmental,All offshore wind turbines must maintain a minimum distance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Regulation Authority (NSOWRA),environmental; spatial
deepseek-chat,OWF-NS-2023-001,Offshore,32,43,Technical,Wind turbine foundations must comply with ISO 19901-4 for offshore structures.,All offshore wind turbine foundations,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,OWF-NS-2023-001,Offshore,32,43,Safety,All personnel working on offshore wind farms must complete GWO Basic Safety Training.,Offshore wind farm operations and maintenance,,,Global Wind Organisation (GWO),safety; operations
deepseek-chat,OWF-NS-2023-001,Offshore,33,43,Environmental,All wind turbines must maintain a minimum clearance of 1 km from designated marine protected areas.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Regulatory Authority (NSOWRA),Environmental protection; Spatial planning
deepseek-chat,OWF-NS-2023-001,Offshore,33,43,Technical,Substation platforms must comply with ISO 19901-5 for structural integrity.,Offshore wind substations,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,NSOW-2023-REG-0042,Offshore,40,43,Environmental,All turbine foundations must maintain a minimum clearance of 15 meters from the seabed to protect benthic ecosystems,North Sea Exclusive Economic Zones,15,meters,OSPAR Commission Annex VII,marine ecology; foundation design
deepseek-chat,NSOW-2023-REG-0042,Offshore,40,43,Technical,Substation transformers shall comply with IEC 60076-16 for offshore applications,All offshore wind projects,,,International Electrotechnical Commission,electrical systems; safety
deepseek-chat,OWED-2023-001,Offshore,44,43,Environmental,Wind turbines must maintain a minimum distance of 1 km from known marine mammal migration routes.,North Atlantic offshore wind lease areas,1,km,Bureau of Ocean Energy Management (BOEM),Environmental impact; Wildlife protection
deepseek-chat,OWED-2023-001,Offshore,44,43,Technical,All offshore wind turbine foundations must comply with ISO 19901-4 for structural integrity.,Global offshore wind projects,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,OWED-2023-001,Offshore,44,43,Safety,Helicopter landing zones on offshore substations must be designed to accommodate a minimum clearance of 30 meters in diameter.,Offshore wind farms with helicopter access,30,meters,International Civil Aviation Organization (ICAO),Aviation safety; Emergency response
deepseek-chat,NOW-2023-001,Offshore,46,43,Environmental,Turbine foundations must avoid coral reef habitats by a minimum buffer distance.,All offshore wind projects in federal waters,500,meters,Bureau of Ocean Energy Management (BOEM),marine ecosystems; project siting
deepseek-chat,NOW-2023-001,Offshore,46,43,Technical,Wind turbines must comply with IEC 61400-3 for offshore structural design.,All offshore wind turbines,,,International Electrotechnical Commission (IEC),engineering; safety
deepseek-chat,OWF-REG-2023-004,Offshore,53,43,Environmental,All turbine foundations must undergo an Environmental Impact Assessment (EIA) before construction.,North Sea offshore wind projects,,,EU Directive 2014/52/EU,Environmental; Permitting
deepseek-chat,OWF-REG-2023-004,Offshore,53,43,Technical,Wind turbines must comply with IEC 61400-3 design standards for offshore structures.,Offshore wind turbines,,,International Electrotechnical Commission (IEC),Structural Engineering; Safety
deepseek-chat,OWF-REG-2023-004,Offshore,53,43,Spatial,Minimum distance between turbines must be at least 5 times the rotor diameter.,Offshore wind farm layout,5,rotor diameters,Bundesamt für Seeschifffahrt und Hydrographie (BSH),Layout Optimization; Safety
deepseek-chat,30 CFR 585,Offshore,64,43,Safety,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water.,U.S. federal waters,22,meters,BOEM (30 CFR 585),Navigational safety; Technical
deepseek-chat,OWF-NS-2023-001,Offshore,66,43,Environmental,All wind farm projects must conduct an Environmental Impact Assessment (EIA) prior to construction.,North Sea Exclusive Economic Zone,,,OSPAR Convention,Environmental; Legal
deepseek-chat,OWF-NS-2023-001,Offshore,66,43,Technical,Turbine foundations must withstand wave forces of up to 50-year storm events.,Fixed-bottom offshore wind turbines,50,years,ISO 19902,Structural Engineering; Safety
deepseek-chat,NOWEDG-2023-001,Offshore,68,43,Spatial,Wind turbines must maintain a minimum clearance of 1 nautical mile from designated shipping lanes,All offshore wind projects in federal waters,1,nautical mile,Maritime Safety Authority (MSA),navigation safety; project layout
deepseek-chat,NOWEDG-2023-001,Offshore,68,43,Technical,All substations must comply with IEC 61400-3 design requirements for offshore wind structures,Offshore electrical infrastructure,,,International Electrotechnical Commission,structural engineering; electrical systems
deepseek-chat,NOWEDG-2023-001,Offshore,68,43,Environmental,Underwater noise during pile driving shall not exceed 160 dB re 1 μPa at 750 m from source,Construction phase in North Atlantic lease areas,160,dB re 1 μPa,Bureau of Ocean Energy Management (BOEM),marine mammals; construction impacts
