model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,DOC-2023-OWF-001,Offshore,17,31,Environmental,All offshore wind projects must conduct an Environmental Impact Assessment prior to construction,All offshore wind projects in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,DOC-2023-OWF-001,Offshore,17,31,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OWF-2023-014,Offshore,26,31,Environmental,All turbine foundations must undergo marine mammal impact assessment prior to installation,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex VII,environmental; construction
deepseek-chat,NS-OWF-2023-014,Offshore,26,31,Technical,Substation platforms must withstand wave heights with 100-year return period,All offshore installations in Dogger Bank area,16.2,meters,IEC 61400-3-2,structural engineering; safety
deepseek-chat,NS-OWF-2023-014,Offshore,26,31,Spatial,Minimum 1km spacing between turbine arrays in shipping lanes,Designated shipping routes in German Bight,1,kilometers,German Maritime and Hydrographic Agency,navigation safety; spatial planning
deepseek-chat,NSOWF-2023-001,Offshore,27,31,Environmental,All wind farm developments must conduct a full environmental impact assessment prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; planning
deepseek-chat,NSOWF-2023-001,Offshore,27,31,Technical,Offshore substations must be designed to withstand wave heights with a 100-year return period,All offshore wind installations,16.5,meters,IEC 61400-3,structural engineering; safety
deepseek-chat,OWED-2023-001,Offshore,31,31,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from known marine mammal migration routes.,North Atlantic offshore wind lease areas,500,meters,Bureau of Ocean Energy Management (BOEM),wildlife protection; marine ecology
deepseek-chat,OWED-2023-001,Offshore,31,31,Technical,All turbine foundations must comply with ISO 19902 standards for offshore structures.,Global offshore wind projects,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,42,31,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind facilities in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,42,31,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic OCS,50,year return period,ISO 19901-1,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,42,31,Safety,Minimum 1 nautical mile separation between turbines for navigation safety,All offshore wind arrays,1,nautical mile,International Maritime Organization,navigation; operations
deepseek-chat,OWF-2023-001,Offshore,44,31,Environmental,All pile driving operations must implement noise mitigation measures when sound pressure levels exceed 160 dB re 1 μPa,Construction phase in North Atlantic waters,160,dB re 1 μPa,Marine Mammal Protection Act (MMPA),marine life protection; construction safety
deepseek-chat,OWF-2023-001,Offshore,44,31,Technical,"Turbine foundations must be designed to withstand a 1,000-year return period storm event",All fixed-bottom offshore wind turbines,1000,year return period,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,NSW-REG-2023-0042,Offshore,55,31,Environmental,All turbine foundations must maintain a minimum clearance of 15 meters from the seabed to protect benthic habitats,North Sea Exclusive Economic Zones,15,meters,OSPAR Convention Annex VII,environmental; structural design
deepseek-chat,NSW-REG-2023-0042,Offshore,55,31,Technical,Substation platforms shall comply with IEC 61400-3 for offshore wind turbine support structures,All offshore installations,,,International Electrotechnical Commission,structural engineering; electrical systems
deepseek-chat,OWF-REG-2023,Offshore,59,31,Environmental,All projects must conduct a full environmental impact assessment prior to construction,All offshore wind projects in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,59,31,Technical,Wind turbine foundations must withstand 1-in-50-year storm events,All fixed-bottom offshore wind turbines,50,years,IEC 61400-3,structural engineering; safety
deepseek-chat,EWF-2023-001,Offshore,93,31,Environmental,Turbine foundations must avoid coral reef habitats within a 500-meter buffer zone.,North Sea offshore projects,500,meters,OSPAR Commission Annex IV,ecological preservation; marine habitat
deepseek-chat,EWF-2023-001,Offshore,93,31,Technical,Substation transformers must comply with IEC 61400-3 standards for offshore wind electrical systems.,All offshore installations,,,International Electrotechnical Commission (IEC),electrical safety; grid integration
deepseek-chat,DOC-2023-001,Offshore,103,31,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind farms,1,km,EU Marine Spatial Planning Directive,environmental; safety
deepseek-chat,DOC-2023-001,Offshore,103,31,Technical,Substation foundations must comply with ISO 19902 for fixed steel offshore structures.,Global offshore wind projects,,,ISO 19902,technical; safety
deepseek-chat,EWEA-2023-OSW-001,Offshore,105,31,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind farms in European waters,,,EU Directive 2014/52/EU,environmental; permitting
deepseek-chat,EWEA-2023-OSW-001,Offshore,105,31,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Sea,50,year return period,DNV-ST-0143,structural engineering; safety
deepseek-chat,EWEA-2023-OSW-001,Offshore,105,31,Safety,Minimum clearance of 22 meters between lowest blade tip and highest astronomical tide,All rotating components,22,meters,International Electrotechnical Commission IEC 61400-3,aviation safety; navigation
deepseek-chat,EWEA-2023-001,Offshore,111,31,Environmental,All offshore wind projects must conduct a full environmental impact assessment prior to construction,All North Sea projects,,,OSPAR Convention Annex IV,environmental; permitting
deepseek-chat,EWEA-2023-001,Offshore,111,31,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,All floating offshore wind turbines,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,120,31,Environmental,All projects must conduct a full environmental impact assessment prior to construction,All offshore wind projects in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,120,31,Technical,Wind turbine foundations must be designed to withstand a 100-year storm event,All offshore structures in North Sea,100,years,ISO 19901-4,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,120,31,Spatial,Turbines must maintain a minimum spacing of 5 times the rotor diameter,All offshore wind farms in European waters,5,rotor diameters,European Union Offshore Renewable Energy Strategy,layout optimization; wake effects
deepseek-chat,EWEA-2023-OWF-001,Offshore,130,31,Environmental,All turbine foundations must demonstrate less than 1.5m seabed displacement during operational lifespan,North Sea installations,1.5,meters,OSPAR Commission Decision 2022/341,structural engineering; marine ecology
deepseek-chat,EWEA-2023-OWF-001,Offshore,130,31,Technical,Substation platforms shall comply with IEC 61400-3 design requirements for offshore structures,All offshore installations,,,International Electrotechnical Commission Standard 61400-3,electrical systems; structural design
deepseek-chat,EWEA-2023-OWF-001,Offshore,130,31,Safety,Minimum 500m exclusion zone required during turbine installation operations,US territorial waters,500,meters,BOEM 30 CFR Part 585,maritime navigation; construction safety
deepseek-chat,CFR 30 Part 585,Offshore,153,31,Spatial,All offshore wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,Federal waters (U.S.),1,nautical mile,BOEM CFR 30 Part 585,Navigation safety; Maritime operations
deepseek-chat,CFR 30 Part 585,Offshore,153,31,Technical,Foundations must comply with ISO 19901-4 for geotechnical design requirements.,Offshore wind turbine foundations,,,ISO 19901-4,Structural engineering; Geotechnical stability
deepseek-chat,CFR 30 Part 585,Offshore,153,31,Environmental,Noise levels during construction must not exceed 160 dB re 1 µPa at 750 m from the source.,Offshore wind construction sites,160,dB re 1 µPa,Environmental Protection Agency (EPA),Marine wildlife protection; Noise pollution
deepseek-chat,NSW-2023-0042,Offshore,187,31,Environmental,All turbine foundations must undergo marine mammal impact assessments prior to installation,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex VII,environmental; construction
deepseek-chat,NSW-2023-0042,Offshore,187,31,Technical,Substation platforms shall withstand wave heights with 100-year return periods,All offshore installations,16.2,meters,IEC 61400-3-1,structural engineering; safety
deepseek-chat,30 CFR Part 585,Offshore,196,31,Environmental,Projects must conduct an Environmental Impact Assessment (EIA) before construction begins.,U.S. federal waters,,,BOEM 30 CFR § 585.601,Environmental impact; Permitting
deepseek-chat,30 CFR Part 585,Offshore,196,31,Technical,Wind turbine foundations must withstand a 1-in-50-year extreme wave event.,Fixed-bottom offshore wind turbines,50,years,ASCE/SEI 7-22,Structural engineering; Safety
deepseek-chat,30 CFR Part 585,Offshore,196,31,Safety,All personnel working on offshore wind installations must complete Basic Safety Training (BST).,Offshore wind operations in U.S. waters,,,BOEM & OSHA,Workforce safety; Operational compliance
deepseek-chat,N/A (Example Document),Offshore,205,31,Spatial,Offshore wind turbines must maintain a minimum clearance of 1 nautical mile from shipping lanes.,U.S. offshore wind projects,1,nautical mile,U.S. Bureau of Ocean Energy Management (BOEM),Navigation safety; Maritime operations
deepseek-chat,N/A (Example Document),Offshore,205,31,Technical,Offshore wind structures must withstand extreme wind speeds of 50 m/s.,Global offshore wind projects,50,m/s,IEC 61400-3,Structural engineering; Safety
deepseek-chat,BOEM-2023-001,Offshore,207,31,Safety,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW).,U.S. federal waters,22,meters,Bureau of Ocean Energy Management (BOEM),Navigational safety; Structural design
deepseek-chat,BOEM-2023-001,Offshore,207,31,Technical,Offshore wind turbine foundations must withstand extreme wave heights of up to 14 meters.,International waters (IEC standard),14,meters,IEC 61400-3,Structural engineering; Extreme weather resilience
deepseek-chat,EWEA-2023-OSTD,Offshore,213,31,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind developments in EU waters,,,EU Directive 2014/52/EU,environmental; permitting
deepseek-chat,EWEA-2023-OSTD,Offshore,213,31,Technical,Foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Sea,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,EWEA-2023-OSTD,Offshore,213,31,Safety,Minimum 1.1 nautical mile clearance from shipping lanes,All wind farm zones,1.1,nautical miles,IMO COLREG Annex II,maritime safety; navigation
deepseek-chat,OWF-REG-2023-001,Offshore,225,31,Environmental,All turbine foundations must undergo environmental impact assessment for marine mammal disturbance,North Sea development zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,OWF-REG-2023-001,Offshore,225,31,Technical,Substation platforms shall be designed to withstand 100-year return period wave loads,All offshore installations,100,year return period,IEC 61400-3-1,structural engineering; safety
deepseek-chat,30 CFR Part 585,Offshore,231,31,Environmental,Lessees must conduct baseline environmental studies to assess potential impacts on marine ecosystems.,U.S. Outer Continental Shelf,,,30 CFR § 585.601,Environmental Impact Assessment; Marine Biology
deepseek-chat,30 CFR Part 585,Offshore,231,31,Technical,Wind turbine foundations must withstand a 1% annual probability wave height event.,Offshore structures in the Atlantic OCS,1,% annual probability,BOEM Engineering Guidelines,Structural Engineering; Risk Assessment
deepseek-chat,EWEA-2023-OSTD,Offshore,236,31,Environmental,All offshore wind projects must conduct a full Environmental Impact Assessment prior to construction,All offshore wind projects in European waters,,,EU Directive 2014/52/EU,environmental; permitting
deepseek-chat,EWEA-2023-OSTD,Offshore,236,31,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines in North Sea,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,NSOW-2023-0042,Offshore,247,31,Environmental,Turbine foundations must incorporate marine growth-friendly surfaces,North Sea development zone,,,OSPAR Convention Annex VII,environmental; structural
deepseek-chat,NSOW-2023-0042,Offshore,247,31,Technical,All electrical systems must comply with IEC 61400-24 lightning protection standards,All offshore installations,,,International Electrotechnical Commission,electrical; safety
deepseek-chat,NSOW-2023-0042,Offshore,247,31,Spatial,Minimum 1 km spacing between turbines in prevailing wind direction,North Sea development zone,1,km,North Sea Wind Power Hub Agreement,layout; energy yield
deepseek-chat,OWF-2023-001,Offshore,260,31,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,260,31,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom turbines in North Atlantic region,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-2023-001,Offshore,260,31,Spatial,Minimum 1 nautical mile separation between turbines,All offshore wind projects,1,nautical mile,Federal Aviation Administration (FAA),navigation safety; array optimization
deepseek-chat,NSW-REG-2023-005,Offshore,283,31,Environmental,Underwater noise levels during pile driving must not exceed 160 dB re 1 μPa at 750 m from the source.,North Sea offshore wind projects,160,dB re 1 μPa,"OSPAR Commission, Annex 9",Marine life protection; Construction noise limits
deepseek-chat,NSW-REG-2023-005,Offshore,283,31,Technical,Wind turbine foundations must comply with ISO 19902 for fixed steel offshore structures.,All offshore wind turbines in EU waters,,,European Union Offshore Renewable Energy Directive,Structural engineering; Safety standards
deepseek-chat,NSW-REG-2023-005,Offshore,283,31,Spatial,Minimum clearance of 1 km must be maintained between wind farms and shipping lanes.,German Exclusive Economic Zone (EEZ),1,km,German Federal Maritime and Hydrographic Agency (BSH),Navigation safety; Maritime zoning
deepseek-chat,OWF-2023-001,Offshore,290,31,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in US waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-2023-001,Offshore,290,31,Technical,Turbine foundations must withstand 1-in-50-year storm events,Fixed-bottom offshore wind turbines in North Sea,50,year return period,ISO 19901-1,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,291,31,Environmental,All turbine foundations must undergo marine mammal impact assessments prior to installation,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex VII,environmental; construction
deepseek-chat,NS-OWF-2023-0042,Offshore,291,31,Technical,Substation platforms must withstand wave heights with 100-year return periods,All offshore installations,18.5,meters,IEC 61400-3-1,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,291,31,Spatial,Minimum 1km separation required between turbine arrays and shipping lanes,Designated shipping zones,1,kilometers,IMO COLREG Annex II,navigation safety; project layout
deepseek-chat,NS-OWF-2023-01,Offshore,295,31,Environmental,All turbine foundations must incorporate marine growth-friendly surfaces,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex VII,ecological impact; foundation design
deepseek-chat,NS-OWF-2023-01,Offshore,295,31,Technical,Substation platforms shall withstand wave heights with 100-year return period,All offshore installations in German EEZ,16.2,meters,BSH Standard 7005,structural engineering; safety
deepseek-chat,NS-OWF-2023-01,Offshore,295,31,Safety,Minimum clearance of 22m between lowest blade tip and highest astronomical tide,UK territorial waters,22,meters,The Offshore Electricity Infrastructure Regulations 2022,navigation safety; turbine siting
deepseek-chat,OWED-2023-001,Offshore,296,31,Environmental,All wind farm projects must conduct an Environmental Impact Assessment (EIA) prior to construction.,U.S. federal waters,,,Bureau of Ocean Energy Management (BOEM),Environmental protection; Permitting
deepseek-chat,OWED-2023-001,Offshore,296,31,Technical,Turbine foundations must withstand a 1-in-50-year extreme wave event.,North Sea offshore wind farms,50,years,International Electrotechnical Commission (IEC) 61400-3,Structural engineering; Safety
