model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
claude-3-haiku-20240307,,Offshore,18,37,Jurisdictional,"The EPA determined that the WDA facility is a single source for the purposes of applying the PSD, NNSR, and Title V permit programs.",WDA facility,,,"EPA source determination analysis memo-to-file dated June 26, 2019",Permitting
claude-3-haiku-20240307,,Offshore,18,37,Spatial,"For the purposes of determining the potential emissions, the EPA has determined it is appropriate to use the center of the WDA as the point to estimate vessel emissions within 25 miles of the OCS source comprising the WDA.",WDA facility,25,miles,"EPA source determination analysis memo-to-file dated June 26, 2019","Emissions, Permitting"
claude-3-haiku-20240307,,Offshore,18,37,Spatial,"Similarly, emissions from offshore export cable-laying activities will be calculated separately using the center of those activities because it is a separate source.",Offshore export cable-laying activities,,,"EPA source determination analysis memo-to-file dated June 26, 2019","Emissions, Permitting"
claude-3-haiku-20240307,N/A,Offshore,32,37,Jurisdictional,"A vessel will not be considered an OCS source if it temporarily attaches itself to the seabed due to a safety issue, engine failure, or a storm at sea, as the vessel is not considered to be erected on the seabed for the purposes of exploring, developing, or producing resources therefrom.",Vessels temporarily attached to the seabed,,,40 C.F.R. § 55.2,"Jurisdictional, Safety"
claude-3-haiku-20240307,N/A,Offshore,32,37,Technical,"The criteria 'erected thereon' is met when a service fleet vessel attaches itself to the seabed and becomes stationary, and is used thereafter for the purpose of exploring, developing, or producing resources from the seabed like constructing a wind turbine generator (WTG) or electric service platform (ESP).",Service fleet vessels attached to the seabed,,,40 C.F.R. § 55.2,Technical
claude-3-haiku-20240307,N/A,Offshore,32,37,Technical,"The collection of WTGs and the ESP constitute a 'facility,' as that term is used in the definition of 'OCS source' in 40 C.F.R. § 55.2, and as a 'major stationary source' as that term is used in the PSD, NNSR, and Title V permitting programs.",Wind turbine generators and electric service platform,,,40 C.F.R. § 55.2,"Technical, Jurisdictional"
claude-3-haiku-20240307,N/A,Offshore,32,37,Jurisdictional,The emission units on the service fleet vessel are still subject to the permit's NNSR offset requirements once the service fleet vessel is no longer meeting the criteria for an OCS source.,Service fleet vessels no longer meeting OCS source criteria,,,40 C.F.R. § 55.2,Jurisdictional
claude-3-haiku-20240307,,Offshore,40,37,Environmental,NOx is a measured pollutant for the criteria pollutant NO2 and a precursor for ozone and PM2.5.,Offshore wind farm,,,Clean Air Act,Air quality
claude-3-haiku-20240307,,Offshore,40,37,Environmental,VOC is a measured pollutant and precursor for the criteria pollutant ozone.,Offshore wind farm,,,Clean Air Act,Air quality
claude-3-haiku-20240307,,Offshore,40,37,Environmental,"Based on PM10 emissions being greater than 25 tpy, the EPA has determined the WDA Facility is significant for PM emissions.",Offshore wind farm,25,tpy,EPA determination,Air quality
claude-3-haiku-20240307,,Offshore,40,37,Environmental,SO2 is a criteria pollutant and a precursor for the criteria pollutant PM2.5.,Offshore wind farm,,,Clean Air Act,Air quality
claude-3-haiku-20240307,,Offshore,40,37,Technical,"The WDA facility's potential emissions include emissions from helicopters which are not required to be part of the potential to emit calculation for the WDA facility. Helicopter emissions are de minimis for the WDA facility, and whether their emissions are included or not will have no impact on determining PSD applicability.",Offshore wind farm,,,EPA determination,Air quality
claude-3-haiku-20240307,,Offshore,68,37,Environmental,PM 2.5 annual and 24-hr impacts must be below 0.05 μg/m3 and 0.27 μg/m3 respectively at Class I PSD areas,Class I PSD areas,"[0.05, 0.27]",μg/m3,"EPA's April 17, 2018 Guidance",Environmental
claude-3-haiku-20240307,,Offshore,68,37,Environmental,PM 10 annual and 24-hr impacts must be below 0.2 μg/m3 and 0.3 μg/m3 respectively,Unspecified,"[0.2, 0.3]",μg/m3,40 C.F.R. § 51.165(b)(2),Environmental
