model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gemini-1.5-pro,84316,Offshore,1,35,Safety,"establishment of safety zones for non-mineral energy resource permanent or temporary structures located on the OCS for the purpose of protecting life and property on the facilities, appurtenances and attending vessels, and on the adjacent waters within the safety zone",Outer Continental Shelf (OCS),,,33 CFR part 147,safety; navigation
gemini-1.5-pro,84316,Offshore,1,35,Safety,"restrict, prevent, or control certain activities, including access by vessels or persons to maintain safety of life, property, and the environment",Safety zones around non-mineral energy resource structures on the OCS,,,33 CFR part 147,safety; navigation; environmental protection
gemini-1.5-pro,,Offshore,2,35,Safety,establish 55 temporary 500-meter safety zones around the construction of 54 wind turbine generators (WTGs) and one offshore substation (OSS),Construction of 54 WTGs and one OSS in the EW1 lease area,500.0,meters,District Commander,navigation safety; construction safety
gemini-1.5-pro,FR Doc. 2024–24210,Offshore,3,35,Safety,only attending vessels and vessels with authorization are permitted to enter or remain in the temporary safety zones.,"Empire Wind 1 Wind Farm project area within federal waters on the Outer Continental Shelf, specifically in the Bureau of Ocean Energy Management Renewable Energy Lease Area OCS–A 0512, approximately 12 nautical miles south of Long Island, NY. ",,,US Coast Guard,navigation safety; safety zones
gemini-1.5-pro,"Vol. 89, No. 204 / Tuesday, October 22, 2024 / Proposed Rules 84317",Offshore,5,35,Safety,establishment of 55 temporary safety zones,Empire Wind 1 (EW1) facilities in the EW1 Wind Farm project area within federal waters on the Outer Continental Shelf (OCS),55.0,,First Coast Guard District Commander,navigation safety; construction safety; worker safety
gemini-1.5-pro,"Vol. 89, No. 204 / Tuesday, October 22, 2024 / Proposed Rules 84317",Offshore,5,35,Spatial,The proposed safety zones would include the area within 500 meters of the center point of the positions provided in the table below expressed in Degrees (°) Minutes (′) Seconds (″) (DMS) based on North American Datum 1983 (NAD 83).,Each individual safety zone,500.0,meters,33 CFR 147.15,navigation safety; spatial planning
gemini-1.5-pro,,Offshore,10,35,Safety,no unauthorized vessel or person would be permitted to enter the safety zone without obtaining permission from the First Coast Guard District Commander or a designated representative,safety zone,,,,navigational safety
gemini-1.5-pro,,Offshore,10,35,Safety,all persons and vessels shall comply with the instructions of the First Coast Guard District Commander or designated representative,safety zone,,,,navigational safety
gemini-1.5-pro,,Offshore,11,35,Safety,Safety zones established would extend to a maximum distance of 500-meters around the OCS facility measured from its center point.,OCS facility,500.0,meters,33 CFR 147.15,navigation safety; safety zones
gemini-1.5-pro,,Offshore,12,35,Safety,Vessels would only be prohibited from the regulated zone during periods of actual construction activity,OCS facilities safety zones,,,,navigational safety; construction safety
gemini-1.5-pro,"Vol. 89, No. 204",Offshore,13,35,Safety,The area within 500 meters of the center point of the positions provided in the table below is an individual safety zone.,"Empire Wind 1 Wind Farm Project Area, Outer Continental Shelf, Lease OCS–A 0512, Offshore New York and New Jersey, Atlantic Ocean",500.0,meters,33 CFR 147.T01–0704,navigation safety; safety zone
gemini-1.5-pro,,Offshore,14,35,Safety,"establishment of a safety zone around an OCS facility to protect life, property, and the marine environment",OCS facility,,,"DHS Instruction Manual 023-01-001-01, Rev. 1, Appendix A, Table 1, Paragraph L60(a)",safety; marine environment protection
gemini-1.5-pro,,Offshore,20,35,Safety,No vessel may enter or remain in this safety zone except for the following: (1) An attending vessel as defined in 33 CFR 147.20; (2) A vessel authorized by the First Coast Guard District Commander or a designated representative.,"Safety zone (coordinates defined in paragraph (a) of this section, not provided in this chunk)",,,First Coast Guard District Commander,navigational safety; construction safety; vessel traffic management
gemini-1.5-pro,,Offshore,20,35,Safety,Persons or vessels seeking to enter the safety zone must request authorization from the First Coast Guard District Commander or a designated representative.,"Safety zone (coordinates defined in paragraph (a) of this section, not provided in this chunk)",,,First Coast Guard District Commander,navigational safety; access control
gemini-1.5-pro,,Offshore,20,35,Safety,"If permission is granted, all persons and vessels must comply with lawful instructions of the First Coast Guard District Commander or designated representative via VHF–FM channel 16 or by phone at 866–842–1560 (First Coast Guard District Command Center).","Safety zone (coordinates defined in paragraph (a) of this section, not provided in this chunk)",16.0,Channel Number,First Coast Guard District Commander,communication protocols; safety procedures
gemini-1.5-pro,FR Doc. 2024–24393,Offshore,21,35,Safety,Notice to Mariners via marine channel 16 (VHF–FM) as soon as practicable in response to an emergency.,Offshore wind farm project,16.0,VHF–FM channel,,emergency response; navigational safety; communication protocols
