model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,DOC-OWF-2023-001,Offshore,10,8,Environmental,All pile-driving operations must implement noise mitigation measures when sound pressure levels exceed 160 dB re 1 μPa,Construction phase in North Atlantic waters,160,dB re 1 μPa,Marine Mammal Protection Act (MMPA),environmental; safety
deepseek-chat,DOC-OWF-2023-001,Offshore,10,8,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,All fixed-bottom offshore wind structures,50,year return period,International Electrotechnical Commission (IEC) 61400-3,technical; safety
deepseek-chat,NOW-2023-001,Offshore,20,8,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from known marine mammal migration routes.,U.S. federal waters,500,meters,Bureau of Ocean Energy Management (BOEM),wildlife protection; marine ecology
deepseek-chat,NOW-2023-001,Offshore,20,8,Technical,All offshore wind structures must comply with ISO 61400-3 for design requirements.,International waters,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,OWF-REG-2023-001,Offshore,24,8,Environmental,All turbine foundations must demonstrate less than 1.5 dB increase in underwater noise levels beyond 750m from the source,North Sea development zones,1.5,dB,OSPAR Commission Decision 2022/5,marine life protection; noise pollution
deepseek-chat,OWF-REG-2023-001,Offshore,24,8,Technical,Substation platforms shall comply with IEC 61400-3 design requirements for offshore wind turbine structures,All offshore installations,,,International Electrotechnical Commission Standard 61400-3,structural engineering; electrical systems
deepseek-chat,OWF-REG-2023-001,Offshore,24,8,Spatial,Minimum 1km spacing required between turbine arrays and shipping lanes,US Outer Continental Shelf,1,km,BOEM Renewable Energy Regulations 30 CFR 585,navigation safety; marine spatial planning
deepseek-chat,OWF-REG-2023,Offshore,31,8,Environmental,All projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All offshore wind projects in US federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023,Offshore,31,8,Technical,Turbine foundations must withstand 1-in-50-year extreme wave conditions,Fixed-bottom offshore wind turbines in North Atlantic region,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,OWF-REG-2023,Offshore,31,8,Safety,All electrical systems must comply with IEC 61400-24 lightning protection standards,Offshore wind farm electrical infrastructure,,,International Electrotechnical Commission,electrical safety; operations
deepseek-chat,EWEA-2023-001,Offshore,39,8,Environmental,All offshore wind projects must conduct a full Environmental Impact Assessment (EIA) prior to construction,All projects in European Union waters,,,EU Directive 2014/52/EU,environmental; permitting
deepseek-chat,EWEA-2023-001,Offshore,39,8,Technical,Wind turbine foundations must withstand wave heights with a 100-year return period,All fixed-bottom offshore wind turbines in North Sea,30.1,meters,DNV-ST-0145,structural engineering; safety
deepseek-chat,NSOWF-2023-001,Offshore,45,8,Environmental,All turbine foundations must incorporate marine growth-friendly designs to promote biodiversity,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex V,environmental; structural
deepseek-chat,NSOWF-2023-001,Offshore,45,8,Technical,Substation platforms must withstand wave heights with a 100-year return period,All offshore installations in Dogger Bank zone,16.2,meters,IEC 61400-3-1,structural; safety
deepseek-chat,NSOWF-2023-001,Offshore,45,8,Spatial,Minimum 1km spacing between turbines in array clusters,UK territorial waters,1,kilometers,The Crown Estate Offshore Wind Leasing Round 4,layout; wake effects
deepseek-chat,OWF-2023-001,Offshore,59,8,Environmental,All offshore wind turbines must maintain a minimum distance of 500 meters from known marine mammal migratory paths.,North Atlantic offshore wind zones,500,meters,Marine Wildlife Protection Act (MWPA),environmental; safety
deepseek-chat,OWF-2023-001,Offshore,59,8,Technical,Wind turbine foundations must comply with ISO 19901-4 for offshore structural design.,Global offshore wind projects,,,International Organization for Standardization (ISO),technical; safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,62,8,Environmental,All turbine foundations must maintain a minimum 500m clearance from identified marine mammal migration routes,North Sea Exclusive Economic Zone,500,meters,OSPAR Commission Annex VII,environmental; siting
deepseek-chat,NSOW-REG-2023-0042,Offshore,62,8,Technical,Substation platforms shall comply with IEC 61400-3 design requirements for offshore structures,All electrical infrastructure,,,International Electrotechnical Commission,structural engineering; electrical systems
