model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWED-2023-001,Offshore,6,9,Environmental,Wind turbines must maintain a minimum distance of 1 km from known marine mammal migration routes.,North Atlantic offshore wind zones,1,km,Marine Wildlife Protection Act (MWPA),environmental; wildlife protection
deepseek-chat,OWED-2023-001,Offshore,6,9,Technical,All offshore wind turbine foundations must comply with ISO 19902 for structural integrity.,Global offshore wind projects,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,DOC-2023-001,Offshore,9,9,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind projects,1,km,EU Directive 2023/OSW-ENV,environmental; safety
deepseek-chat,DOC-2023-001,Offshore,9,9,Technical,Substation foundations must comply with ISO 19901-4 for offshore structures.,Global offshore wind projects,,,ISO 19901-4,technical; safety
deepseek-chat,DOC-2023-001,Offshore,19,9,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind farms,1,km,EU Directive 2021/1234,wildlife protection; project siting
deepseek-chat,DOC-2023-001,Offshore,19,9,Technical,Substation foundations must comply with ISO 19902 for offshore structures.,Global offshore wind projects,,,ISO 19902,structural engineering; safety
deepseek-chat,NS-OW-2023-01,Offshore,23,9,Environmental,All wind farm developments must conduct a full environmental impact assessment prior to construction,North Sea exclusive economic zone,,,OSPAR Convention Annex IV,environmental; planning
deepseek-chat,NS-OW-2023-01,Offshore,23,9,Technical,Turbine foundations must withstand wave heights of at least 25 meters,All offshore structures,25,meters,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OW-2023-01,Offshore,23,9,Spatial,Minimum distance between turbines shall be 5 times the rotor diameter,Wind farm layout,5,rotor diameters,DNV-ST-0145,layout optimization; wake effects
deepseek-chat,NS-OWF-2023-0042,Offshore,30,9,Environmental,All turbine foundations must undergo marine mammal impact assessments prior to installation,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; construction
deepseek-chat,NS-OWF-2023-0042,Offshore,30,9,Technical,Wind turbines must withstand 1-hour mean wind speeds of 50 m/s at hub height,All offshore installations in Category 1 wind zones,50,m/s,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,30,9,Spatial,Minimum 1 km spacing required between adjacent turbines,All new offshore wind farms,1,km,North Sea Wind Power Hub Agreement,layout optimization; wake effects
deepseek-chat,NSW-REG-2023-004,Offshore,31,9,Environmental,Wind turbines must maintain a minimum distance of 1 km from identified marine protected areas.,North Sea Exclusive Economic Zone (EEZ),1,km,North Sea Offshore Wind Authority (NSOWA),Environmental protection; Marine habitat conservation
deepseek-chat,NSW-REG-2023-004,Offshore,31,9,Technical,All offshore wind turbine foundations must comply with ISO 19901-4 for structural design.,Fixed and floating offshore wind structures,,,International Organization for Standardization (ISO),Structural engineering; Safety compliance
deepseek-chat,NSW-REG-2023-004,Offshore,31,9,Safety,Helicopter landing zones on offshore substations must have a minimum diameter of 25 meters.,Offshore substations in European waters,25,meters,European Maritime Safety Agency (EMSA),Aviation safety; Emergency response
deepseek-chat,EWF-2023-001,Offshore,32,9,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind projects,1,km,EU Marine Spatial Planning Directive 2021,wildlife protection; project siting
deepseek-chat,EWF-2023-001,Offshore,32,9,Technical,Substation foundations must comply with ISO 19902 for offshore structures.,Global offshore wind projects,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,NSOW-REG-2023-0042,Offshore,34,9,Environmental,All turbine foundations must maintain a minimum clearance of 25 meters from the seabed to allow marine life passage,North Sea Exclusive Economic Zone,25,meters,OSPAR Convention Annex VII,environmental; structural
deepseek-chat,NSOW-REG-2023-0042,Offshore,34,9,Technical,Substation platforms shall comply with IEC 61400-3 standards for offshore electrical installations,All offshore installations,,,International Electrotechnical Commission,electrical systems; safety
deepseek-chat,EWF-2023-001,Offshore,44,9,Environmental,Turbine foundations must avoid coral reef habitats within a 500-meter buffer zone.,North Sea offshore wind projects,500,meters,Marine Environmental Protection Agency (MEPA),ecological conservation; marine biology
