model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,Do I need a BOEM lease or other authorization to produce or support the production of electricity or other energy product from a renewable energy resource on the OCS?,Outer Continental Shelf (OCS),,,§ 585.104,permitting; renewable energy production
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,What are my responsibilities under this part?,General responsibilities for lease holders,,,§ 585.105,compliance; regulatory obligations
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,What happens if I fail to comply with this part?,Compliance consequences,,,§ 585.106,enforcement; compliance
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,Who can acquire or hold a lease or grant under this part?,Eligibility for lease holders,,,§ 585.107,eligibility; leasing
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,How do I show that I am qualified to be a lessee or grant holder?,Qualification criteria for lease holders,,,§ 585.108,qualification; leasing
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,When must I notify BOEM if an action has been filed alleging that I am insolvent or bankrupt?,Notification requirements for insolvency,,,§ 585.109,notification; financial compliance
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,"When must I notify BOEM of mergers, name changes, or changes of business form?",Notification requirements for business changes,,,§ 585.110,notification; business compliance
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,"How do I submit plans, applications, reports, or notices required by this part?",Submission procedures for required documents,,,§ 585.111,documentation; submission procedures
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,When and how does BOEM charge me processing fees on a case-by-case basis?,Fee structure for processing applications,,,§ 585.112,fees; financial obligations
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,How will data and information obtained by BOEM under this part be disclosed to the public?,Data disclosure policies,,,§ 585.114,data management; public disclosure
gpt-4o-mini,Part 585,Offshore,2,2,Jurisdictional,What are my appeal rights?,Rights of appeal for lessees,,,§ 585.118,appeals; legal rights
gpt-4o-mini,30 CFR Part 585,Offshore,4,2,Jurisdictional,BOEM will consult with relevant stakeholders before issuance of leases.,Outer Continental Shelf,,,30 CFR Part 585 § 585.203,stakeholder engagement; leasing process
gpt-4o-mini,30 CFR Part 585,Offshore,4,2,Jurisdictional,BOEM will identify areas available for leasing consideration.,Outer Continental Shelf,,,30 CFR Part 585 § 585.204,leasing process; spatial planning
gpt-4o-mini,30 CFR Part 585,Offshore,4,2,Jurisdictional,Leases will be mapped by BOEM.,Outer Continental Shelf,,,30 CFR Part 585 § 585.205,spatial planning; leasing process
gpt-4o-mini,30 CFR Part 585,Offshore,4,2,Jurisdictional,The lease size will be determined by BOEM.,Outer Continental Shelf,,,30 CFR Part 585 § 585.206,leasing process
