model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-REG-2023-001,Offshore,4,19,Environmental,Wind turbines must maintain a minimum distance of 1 km from protected marine habitats.,North Sea Exclusive Economic Zone (EEZ),1,km,Marine Conservation Authority (MCA),Environmental protection; Marine biodiversity
deepseek-chat,OWF-REG-2023-001,Offshore,4,19,Technical,All offshore wind turbine foundations must comply with ISO 19901-4 for structural integrity.,Offshore wind turbine foundations,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,OWF-REG-2023-001,Offshore,4,19,Safety,Helicopter landing zones on offshore platforms must have a minimum clearance of 30 meters in diameter.,Offshore wind farm helidecks,30,meters,International Civil Aviation Organization (ICAO),Aviation safety; Emergency response
deepseek-chat,BOEM-2023-OSW,Offshore,9,19,Technical,All offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW).,U.S. federal waters,22,meters,BOEM Regulation § 585.105,Navigational safety; Technical design
deepseek-chat,BOEM-2023-OSW,Offshore,9,19,Environmental,Construction activities must avoid marine mammal migration corridors between November and April.,U.S. offshore wind lease areas,,,NOAA guidelines,Environmental protection; Marine biology
deepseek-chat,BOEM-2023-OSW,Offshore,9,19,Technical,All electrical substations must comply with ISO 29400 standards for offshore structures.,Offshore wind substations,,,ISO 29400,Structural safety; Electrical compliance
deepseek-chat,OWED-2023-001,Offshore,10,19,Environmental,All offshore wind farms must conduct an Environmental Impact Assessment (EIA) before construction.,All offshore wind projects in U.S. federal waters,,,Bureau of Ocean Energy Management (BOEM),Environmental; Permitting
deepseek-chat,OWED-2023-001,Offshore,10,19,Technical,Wind turbine foundations must withstand a 1-in-50-year extreme wave event.,Fixed-bottom offshore wind turbines in the North Sea,50,years,International Electrotechnical Commission (IEC) 61400-3,Structural Engineering; Safety
deepseek-chat,DOC-OSW-2023-001,Offshore,12,19,Environmental,All projects must conduct a full environmental impact assessment prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,DOC-OSW-2023-001,Offshore,12,19,Technical,"Wind turbine foundations must withstand a 1,000-year return period storm event",Fixed-bottom offshore wind turbines,1000,year return period,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,DOC-OSW-2023-001,Offshore,12,19,Spatial,Minimum 1 nautical mile spacing between turbines,Wind farm array area,1,nautical mile,Federal Aviation Administration (FAA) Advisory Circular 70/7460-1L,aviation safety; layout optimization
deepseek-chat,OWED-2023-001,Offshore,31,19,Environmental,Wind turbines must maintain a minimum clearance of 500 meters from known marine mammal migratory paths.,North Atlantic offshore wind lease areas,500,meters,Marine Mammal Protection Act (MMPA),wildlife conservation; project siting
deepseek-chat,OWED-2023-001,Offshore,31,19,Technical,All offshore wind turbine foundations must comply with ISO 19901-4 for structural integrity.,Global offshore wind projects,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,OWF-REG-2023-001,Offshore,36,19,Environmental,All offshore wind projects must conduct a full environmental impact assessment prior to construction,All offshore wind projects in federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,OWF-REG-2023-001,Offshore,36,19,Technical,Wind turbine foundations must be designed to withstand 1-in-50-year extreme wave conditions,All fixed-bottom offshore wind turbines,50,year return period,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,41,19,Environmental,Turbine foundations must allow for marine organism colonization,All fixed-bottom foundations in North Sea,,,OSPAR Convention Annex VII,environmental; structural
deepseek-chat,NS-OWF-2023-0042,Offshore,41,19,Technical,Substation platforms must withstand wave heights with 100-year return period,All offshore substations,16.2,meters,IEC 61400-3-1,structural; safety
deepseek-chat,SI 2023 No. 456,Offshore,42,19,Environmental,Underwater noise during pile driving shall not exceed 160 dB re 1 μPa at 750 m from the source,UK territorial waters,160,dB re 1 μPa,Marine Management Organisation,marine mammals; construction
