model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,OWF-REG-2023-001,Offshore,5,6,Environmental,All turbine foundations must undergo environmental impact assessment prior to installation,North Sea development zone,,,Maritime Spatial Planning Directive 2014/89/EU,environmental; construction
deepseek-chat,OWF-REG-2023-001,Offshore,5,6,Technical,Substation platforms shall be designed to withstand 100-year return period wave loads,All offshore installations,100,years,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OWF-2023-05,Offshore,6,6,Environmental,Turbine foundations must avoid coral reefs by a minimum buffer zone of 500 meters.,North Sea Exclusive Economic Zone,500,meters,OSPAR Convention Annex VII,Marine ecosystems; Construction
deepseek-chat,NS-OWF-2023-05,Offshore,6,6,Technical,Substation transformers must comply with IEC 60076-16 for offshore applications.,All offshore wind projects,,,International Electrotechnical Commission (IEC),Electrical systems; Safety
deepseek-chat,NS-OWF-2023-05,Offshore,6,6,Spatial,Minimum 1 nautical mile spacing between turbines in arrays.,German Bight region,1,nautical miles,Bundesamt für Seeschifffahrt (BSH),Navigation safety; Turbine efficiency
deepseek-chat,NOW-REG-2023-0042,Offshore,9,6,Environmental,All offshore wind projects must conduct a full environmental impact assessment prior to construction,U.S. federal waters,,,Bureau of Ocean Energy Management (BOEM),environmental; permitting
deepseek-chat,NOW-REG-2023-0042,Offshore,9,6,Technical,Wind turbine foundations must withstand 1-in-50-year extreme wave conditions,All fixed-bottom offshore turbines,50,year return period,International Electrotechnical Commission (IEC) 61400-3,structural engineering; safety
deepseek-chat,NOW-REG-2023-0042,Offshore,9,6,Safety,Minimum clearance of 22 meters between lowest blade tip and highest astronomical tide,All offshore wind turbines,22,meters,International Maritime Organization (IMO) Guidelines,navigation safety; turbine design
deepseek-chat,EWF-2023-001,Offshore,20,6,Environmental,All wind turbines must maintain a minimum clearance of 1 km from known migratory bird pathways.,North Sea offshore wind projects,1,km,EU Marine Spatial Planning Directive 2021,wildlife protection; environmental impact
deepseek-chat,EWF-2023-001,Offshore,20,6,Technical,Offshore wind turbines must comply with IEC 61400-3 design standards for offshore structures.,Global offshore wind installations,,,International Electrotechnical Commission (IEC),structural integrity; safety
deepseek-chat,30 CFR § 585,Offshore,25,6,Safety,Offshore wind turbines must maintain a minimum clearance of 22 meters above mean high water.,U.S. federal waters,22,meters,30 CFR § 585,Navigational safety; Technical
