model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gemini-2.5-flash,Section 2.2.2.1,Offshore,45,21,Technical,Site-specific measured wind data over sufficiently long periods with minimal or no gaps should be applied.,Wind data for offshore wind farm planning and structural design,,,Document Section 2.2.2.1,wind resource assessment; data quality; structural design
gemini-2.5-flash,"10039663-HOU-01, Page 30",Offshore,51,21,Technical,"A deterministic design wave shall be specified by its height H, period T and direction θ.",Design purposes for offshore wind facilities,,,DNV GL – Document No.: 10039663-HOU-01,structural design; hydrodynamics; wave modeling
gemini-2.5-flash,"10039663-HOU-01, Page 30",Offshore,51,21,Technical,"Sea currents shall be assessed taking account of components associated with tidal, storm surge, wind generated, and wave induced surf currents, where these are relevant to the wind turbine site.",Offshore wind turbine site assessment,,,DNV GL – Document No.: 10039663-HOU-01,hydrodynamics; site assessment; structural loading
gemini-2.5-flash,10039663-HOU-01,Offshore,80,21,Technical,a sodar device shall be validated before deployment at a stand alone offshore location.,"Sodar devices deployed at offshore locations, prior to operation.",,,DNV GL – Document No.: 10039663-HOU-01,equipment validation; measurement systems; offshore operations
gemini-2.5-flash,,Offshore,81,21,Technical,A lidar device shall be validated before deployment at a stand-alone offshore location.,"Offshore wind farm projects, prior to deployment",,,,equipment validation; measurement accuracy; offshore wind farm planning
gemini-2.5-flash,"10039663-HOU-01, Page 53",Offshore,83,21,Technical,"Only FLDs that have reached a “Commercial” maturity stage, such as Scenarios E, F, and G in Table 3-1 below, should be used without undergoing a validation period with a trusted reference measurement system.",Floating Lidar Devices (FLDs) employed for wind resource assessment in offshore wind farm planning.,,,OWA roadmap for the commercial acceptance of floating LIDAR technology” (CTC819),wind resource assessment; measurement technology; data validation; project planning
gemini-2.5-flash,,Offshore,87,21,Technical,only mast wake free wind speeds should be used.,Offshore wind farm turbulence modelling and data collection for turbine wake loss calculations,,,Document guidance,wind resource assessment; turbulence modeling; turbine load assessment; site suitability
gemini-2.5-flash,3.2.2.4,Offshore,91,21,Technical,"All floaters shall contain an autonomous power supply to power both the instrumentation, data acquisition system and lighting.",Floating measurement platforms (floaters) used for wind farm site characterization.,,,Document text (description of floaters),Instrumentation; Power Supply; Data Acquisition; Safety
gemini-2.5-flash,10039663-HOU-01,Offshore,101,21,Technical,The requirements for data collection are set out in ISO 19901-1:2015.,Data collection for facility design and development,,,ISO 19901-1:2015,data collection; facility design; technical standards
gemini-2.5-flash,"10039663-HOU-01, Page 67",Offshore,105,21,Technical,"Following ISO 19901-1:2015 recommendations, ocean currents should be measured at fixed depths (or bins), and include at least three depths in shallow waters: near-surface, mid-depth, and near-bottom.",Ocean currents in shallow waters for wind farm site assessment,3.0,depths,ISO 19901-1:2015,metocean data collection; site assessment; instrumentation
gemini-2.5-flash,,Unspecified,115,21,Technical,"Numerical models used for metocean studies and site characterization shall be calibrated and compared with measurements to verify/justify choice of parametrizations, grid scale and/or domain sizes.",Numerical models applied in metocean studies for site condition characterization in both onshore and offshore wind industries.,,,,metocean studies; site assessment; numerical modeling; data validation
gemini-2.5-flash,"10039663-HOU-01, Page 84",Offshore,132,21,Technical,"In areas with bed forms such as sand dunes or banks, the resolution of the HD model shall be sufficiently detailed to describe the local variations.",Hydrodynamic (HD) models used for areas with bed forms (sand dunes or banks),,,DNV GL – Document No.: 10039663-HOU-01,hydrodynamic modeling; site assessment; environmental impact assessment
gemini-2.5-flash,"10039663-HOU-01, Page 94",Offshore,145,21,Technical,wind speeds shall be referred together with the associated averaging period and reference level.,Specification and reporting of wind speed data for wind turbine design and metocean criteria.,,,DNV GL – Document No.: 10039663-HOU-01,metocean data; wind turbine design; data reporting standards
gemini-2.5-flash,,Offshore,150,21,Technical,"According to DNVGL-RP-C205, this vertical mean wind speed profile is applicable for extreme wind speed with recurrence in excess of approximately 50 years, where the mean wind speed has the same return period as U 0 .","Wind farm design and assessment, specifically for extreme wind speed calculations using the specified vertical mean wind speed profile.",50.0,years,DNVGL-RP-C205,wind resource assessment; structural design; extreme weather conditions
gemini-2.5-flash,5.4.1,Offshore,170,21,Technical,"accurate estimates of “extreme” tides, including HAT and LAT, require at least one complete year of high-quality data from one location.","Site assessment and data collection for offshore wind farm planning and design, specifically for determining extreme tidal levels.",1.0,year,,site assessment; hydrography; structural design; operational planning
gemini-2.5-flash,10039663-HOU-01 (Page 119),Offshore,173,21,Technical,"Offshore wind turbines shall be designed for the combined ULS (Ultimate Limit State, defined for various recurrence periods) loads from waves, current, and wind.",Offshore wind turbines; Design phase,,,DNV GL – Document No.: 10039663-HOU-01,structural integrity; load calculations; design standards; ultimate limit state
gemini-2.5-flash,Section 5.6,Offshore,174,21,Technical,Extreme conditions... that shall be considered in any design of an offshore structure.,any design of an offshore structure,,,Section 5.6,structural integrity; design basis; load assessment
gemini-2.5-flash,Section 5.6,Offshore,174,21,Technical,"For design purposes, the conditions shall be derived per directional sectors, as a minimum.",design purposes for offshore structures,,,Section 5.6,design basis; metocean data analysis; load assessment
gemini-2.5-flash,Section 5.7.2,Offshore,180,21,Technical,"The sites which are selected in the pool shall be part of a homogeneous region, in terms of water depth, fetch limitation, and orientation of major storm track.",Sites selected for 'Grid point pooling methodology' to estimate cyclone conditions for wind farm planning/design.,,,Document Section 5.7.2,meteorological analysis; site assessment; design basis
gemini-2.5-flash,Section 5.7.2,Offshore,180,21,Technical,The sites shall also be spaced far enough (75 km) to reduce statistical dependency.,Sites selected for 'Grid point pooling methodology' to estimate cyclone conditions for wind farm planning/design.,75.0,km,Document Section 5.7.2,meteorological analysis; site assessment; design basis
gemini-2.5-flash,"10039663-HOU-01, Issue: D",Offshore,182,21,Technical,"The assessment of sea states requires wave modelling, a fetch limitation approach being not appropriate to represent correctly local topographic and bathymetric influences.",Assessment of sea states for offshore wind farm projects,,,"DNV GL – Document No.: 10039663-HOU-01, Issue: D, Status: FINAL",metocean conditions; wave modelling; site assessment; design phase
