model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,EWF-2023-001,Offshore,5,44,Environmental,All offshore wind turbines must maintain a minimum clearance of 1 km from migratory bird pathways.,North Sea offshore wind projects,1,km,EU Marine Spatial Planning Directive 2021,Wildlife protection; Siting
deepseek-chat,EWF-2023-001,Offshore,5,44,Technical,Substation foundations must comply with ISO 19901-4 for offshore structures.,Global offshore wind installations,,,ISO 19901-4,Structural engineering; Safety
deepseek-chat,BOEM-2023-001,Offshore,6,44,Technical,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW).,U.S. federal waters,22,meters,Bureau of Ocean Energy Management (BOEM),Navigational safety; Technical design
deepseek-chat,BOEM-2023-001,Offshore,6,44,Technical,All electrical systems must comply with IEC 61400-24 standards for lightning protection.,Global (applies to offshore wind farms),,,International Electrotechnical Commission (IEC),Electrical safety; Technical compliance
deepseek-chat,BOEM-2023-001,Offshore,6,44,Environmental,Underwater noise must not exceed 160 dB re 1 µPa during pile driving.,U.S. federal waters,160,dB re 1 µPa,Environmental Protection Agency (EPA),Marine life protection; Noise pollution
deepseek-chat,N/A (Example),Offshore,10,44,Safety,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW).,Navigable waters under BOEM jurisdiction,22,meters,Bureau of Ocean Energy Management (BOEM),Navigational safety; Technical design
deepseek-chat,N/A (Example),Offshore,10,44,Technical,Fatigue load analysis is mandated for turbine foundations in waters deeper than 30 meters.,Offshore wind turbines in deep water (>30m),30,meters,IEC 61400-3,Structural engineering; Turbine design
deepseek-chat,30 CFR Part 585,Offshore,11,44,Environmental,Lessees must conduct baseline environmental studies to assess potential impacts on marine ecosystems prior to construction.,U.S. federal waters,,,30 CFR § 585.601,environmental; planning
deepseek-chat,30 CFR Part 585,Offshore,11,44,Technical,Wind turbine foundations must comply with ISO 19901-4 for offshore structural design.,All offshore wind projects,,,ISO 19901-4,technical; safety
deepseek-chat,30 CFR Part 585,Offshore,11,44,Spatial,Wind farms must maintain a minimum distance of 1 nautical mile from shipping lanes.,U.S. federal waters,1,nautical mile,BOEM Lease Stipulations,safety; jurisdictional
deepseek-chat,N/A (Example Document),Offshore,18,44,Technical,Offshore wind turbines must maintain a minimum clearance of 22 meters above Mean High Water (MHW).,U.S. federal waters,22,meters,Bureau of Ocean Energy Management (BOEM),Safety; Navigation
deepseek-chat,N/A (Example Document),Offshore,18,44,Technical,Electrical systems must comply with IEC 61400-24 standards for lightning protection.,Offshore wind turbines,,,International Electrotechnical Commission (IEC),Technical; Safety
deepseek-chat,N/A (Example Document),Offshore,18,44,Environmental,Noise levels during construction must not exceed 160 dB re 1 µPa at 750 meters from the source.,Marine environments in U.S. waters,160,dB re 1 µPa,Environmental Protection Agency (EPA),Environmental; Marine Life Protection
deepseek-chat,NSW-2023-001,Offshore,23,44,Environmental,All turbines must maintain a minimum clearance of 1 km from marine protected areas.,North Sea offshore wind projects,1,km,North Sea Wind Regulatory Authority (NSWRA),environmental; spatial
