model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
gemini-2.5-pro,,Offshore,13,13,Environmental,consider all potentially significant impacts of development,Project development under NEPA jurisdiction,,,NEPA,environmental impact assessment; visual impact assessment; landscape impact assessment
gemini-2.5-pro,1,Offshore,18,13,Environmental,"In order for BOEM to consider a COP complete and sufficient pursuant to 30 CFR 585, the developer must submit a SLVIA with its COP.",Construction and Operations Plan (COP) for utility-scale offshore wind energy developments on the OCS.,,,30 CFR 585,environmental impact assessment; visual impact assessment; permitting
gemini-2.5-pro,1.6,Offshore,19,13,Environmental,"The methodology provided in this document is to be used for assessing the potential seascape, landscape, and visual impacts of proposed offshore wind energy developments on the OCS under BOEM’s authority.","Seascape, Landscape, and Visual Impact Assessment (SLVIA) for offshore wind energy developments on the Outer Continental Shelf (OCS).",,,BOEM,environmental impact assessment; visual impact assessment; seascape assessment; landscape assessment
gemini-2.5-pro,1.6,Offshore,19,13,Jurisdictional,"The SLVIA is not a substitute for, nor does it assess the same type of impacts as, a cultural resource impact assessment.",Cultural resource impact analysis for offshore wind projects under NEPA.,,,"BOEM (referencing Section 2.2, and Sullivan, Meyer, and O’Rourke 2018)",environmental impact assessment; cultural resource management; NEPA compliance
gemini-2.5-pro,8,Offshore,34,13,Jurisdictional,"If a project proponent’s final design does not stay within the approved range of design parameters in the Construction and Operations Plan (COP) that used a Project Design Envelope (PDE) approach, BOEM conducts further review before allowing construction to begin.",Offshore wind projects in the final design phase utilizing a Project Design Envelope (PDE) approach.,,,BOEM - Draft Guidance Regarding the Use of a Project Design Envelope in a Construction and Operations Plan (2018),project design; permitting; construction planning; regulatory compliance
gemini-2.5-pro,Section 3.2,Offshore,37,13,Technical,"The Construction and Operations Plan (COP) must provide a detailed description of the project, including its location, components, and physical properties sufficient to identify all possible sources of seascape/landscape and visual impacts and to determine the geographic scope of the impact assessment.",Construction and Operations Plan (COP) submission for all project phases.,,,BOEM,environmental impact assessment; project planning; visual impact assessment
gemini-2.5-pro,,Offshore,39,13,Environmental,Seascape character areas (SCAs) and any landscape character areas (LCAs) that may be affected [by visual impacts]... are included in the seascape and landscape impact assessment.,Seascape and Landscape Impact Assessment (SLIA),,,,environmental impact assessment; visual impact assessment; landscape planning
gemini-2.5-pro,,Offshore,39,13,Spatial,"For the SLIA, the geographic scope of the impact assessment covers the OCA and all SCAs and any LCAs from which the components would be visible, from the project itself out to a distance that would vary depending on the size of the wind turbines proposed for the project.",Geographic scope of the Seascape and Landscape Impact Assessment (SLIA),,,,environmental impact assessment; visual impact assessment; spatial planning
gemini-2.5-pro,"Pages 13-14, Sections 3.6-3.7",Offshore,44,13,Environmental,The impact assessment includes the effects of reasonably foreseeable planned actions (RFPAs).,"Impact assessment for landscape, seascape, and visual effects.",,,Chapter 8 (as referenced in the document),cumulative impact assessment; environmental impact assessment; visual impact assessment; seascape character
gemini-2.5-pro,Section 4,Offshore,45,13,Environmental,mitigation measures must be used in order to reduce the potential impacts of the project to a level acceptable for approval of the project.,"Project-level impacts, including seascape/landscape or visual resources, for both offshore and onshore components of offshore wind energy facilities.",,,Unnamed project approval authority,environmental impact assessment; project permitting; visual impact; mitigation
gemini-2.5-pro,,Offshore,49,13,Environmental,It may be necessary for a lessee to prepare a visual assessment for each end of its range of potential turbine sizes to account for multiple 'maximum design scenarios' for visual impacts.,Visual impact assessment (SLVIA) for offshore wind projects,,,draft PDE guidance (BOEM 2018),visual impact assessment; environmental impact assessment; project design envelope
