model_name,document_number,type_of_wind_farm,chunk_number,document_id,constraint_type,requirement,scope,numerical_value,unit,source,related_domains
deepseek-chat,NSW-REG-2023-04,Offshore,3,13,Environmental,All wind turbines must maintain a minimum distance of 1 km from known marine mammal migration routes.,North Sea offshore wind projects,1,km,North Sea Offshore Wind Authority (NSOWA),wildlife protection; marine ecology
deepseek-chat,NSW-REG-2023-04,Offshore,3,13,Technical,Substation platforms must comply with ISO 19901-4 for structural integrity.,Offshore wind substations,,,International Organization for Standardization (ISO),structural engineering; safety
deepseek-chat,NSW-REG-2023-04,Offshore,3,13,Safety,All personnel working on turbines above 50m must use fall arrest systems meeting EN 361 standards.,Offshore wind turbine maintenance,50,m,European Committee for Standardization (CEN),worker safety; construction
deepseek-chat,NS-OWF-2023-0042,Offshore,10,13,Environmental,All turbine foundations must demonstrate ≤0.5dB increase in underwater noise levels beyond 500m radius during construction,North Sea Exclusive Economic Zone,0.5,dB,OSPAR Convention Annex VII,marine life; construction standards
deepseek-chat,NS-OWF-2023-0042,Offshore,10,13,Technical,Substation platforms shall comply with IEC 61400-3 design requirements for offshore structures,All offshore electrical infrastructure,,,International Electrotechnical Commission,electrical systems; structural engineering
deepseek-chat,NSOW-2023-001,Offshore,68,13,Environmental,All wind farm developments must conduct a full environmental impact assessment prior to construction,North Sea region,,,OSPAR Convention,environmental; planning
deepseek-chat,NSOW-2023-001,Offshore,68,13,Technical,Turbine foundations must withstand 1-in-50-year storm conditions,All offshore installations,50,year return period,IEC 61400-3,structural engineering; safety
deepseek-chat,NSOW-2023-001,Offshore,68,13,Spatial,Minimum 1 km spacing between turbines,Offshore wind farms in German EEZ,1,kilometer,German Federal Maritime and Hydrographic Agency,layout; safety
deepseek-chat,OWED-2023-001,Offshore,71,13,Environmental,Wind turbines must maintain a minimum clearance of 1 km from identified marine mammal habitats.,North Atlantic offshore wind lease areas,1,km,Marine Mammal Protection Act (MMPA),Environmental impact; Wildlife protection
deepseek-chat,OWED-2023-001,Offshore,71,13,Technical,All offshore wind turbine foundations must comply with ISO 19901-4 for structural integrity.,Global offshore wind projects,,,International Organization for Standardization (ISO),Structural engineering; Safety
deepseek-chat,OWED-2023-001,Offshore,71,13,Safety,Navigation lights must be installed on all wind turbines with a minimum luminous intensity of 32.5 candela.,U.S. federal waters,32.5,candela,Bureau of Ocean Energy Management (BOEM),Aviation safety; Maritime navigation
deepseek-chat,EWEA-2023-001,Offshore,85,13,Environmental,All turbine foundations must undergo environmental impact assessment for seabed disturbance,North Sea development zones,,,OSPAR Convention Annex III,environmental; construction
deepseek-chat,EWEA-2023-001,Offshore,85,13,Technical,Wind turbines must withstand 1-year return period wave heights with 30% safety margin,All offshore installations,,,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OW-2023-001,Offshore,86,13,Environmental,All turbines must maintain a minimum clearance of 1 km from identified marine protected areas.,North Sea Exclusive Economic Zone,1,km,North Sea Offshore Wind Authority (NSOWA),environmental; spatial
deepseek-chat,NS-OW-2023-001,Offshore,86,13,Technical,Substation platforms must comply with IEC 61400-3 design standards for offshore wind structures.,Offshore wind substations,,,International Electrotechnical Commission (IEC),technical; safety
deepseek-chat,,Offshore,109,13,Spatial,All offshore wind turbines must maintain a minimum clearance of 22 nautical miles from shipping lanes.,U.S. federal waters,22,nautical miles,BOEM,Navigation safety; Maritime operations
deepseek-chat,,Offshore,109,13,Technical,Foundations must comply with ISO 19901-4 for offshore structural design.,Offshore wind turbine foundations,,,ISO 19901-4,Structural engineering; Safety
deepseek-chat,,Offshore,109,13,Environmental,BOEM requires an Environmental Impact Assessment (EIA) for all projects in federal waters.,U.S. federal waters,,,BOEM,Ecosystem impact; Regulatory compliance
deepseek-chat,NSWEA-2023-001,Offshore,111,13,Environmental,Noise levels during construction must not exceed 160 dB re 1 µPa at 750 m from the source.,North Sea offshore wind projects,160,dB re 1 µPa,OSPAR Commission Guidelines,Environmental impact; Marine life protection
deepseek-chat,NSWEA-2023-001,Offshore,111,13,Technical,Wind turbine foundations must comply with ISO 19901-4 for geotechnical design.,All offshore wind structures,,,International Organization for Standardization (ISO),Structural integrity; Engineering standards
deepseek-chat,NSWEA-2023-001,Offshore,111,13,Spatial,Wind farms must maintain a minimum distance of 5 nautical miles from shipping lanes.,North Sea designated zones,5,nautical miles,North Sea Maritime Safety Authority,Navigation safety; Maritime traffic
deepseek-chat,NS-OWF-2023-014,Offshore,114,13,Environmental,All turbines must maintain a minimum 1km clearance from identified seabird nesting areas,North Sea Exclusive Economic Zone,1,km,OSPAR Convention Annex VII,wildlife protection; siting
deepseek-chat,NS-OWF-2023-014,Offshore,114,13,Technical,Substation foundations shall comply with ISO 19901-4 for geotechnical design,All offshore structures,,,International Organization for Standardization,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,135,13,Environmental,All wind farm developments must conduct a full Environmental Impact Assessment (EIA) prior to construction,North Sea Exclusive Economic Zones,,,OSPAR Convention Annex IV,environmental; planning
deepseek-chat,NS-OWF-2023-0042,Offshore,135,13,Technical,Turbine foundations must withstand wave forces with a return period of 100 years,All offshore structures in water depths >30m,100,years,IEC 61400-3,structural engineering; safety
deepseek-chat,NS-OWF-2023-0042,Offshore,135,13,Spatial,Minimum 1km spacing between turbines in array,All North Sea wind farms,1,km,North Sea Wind Power Hub Agreement,layout optimization; wake effects
